EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Polk,111714,13819,10122,240
Linn,42343,3100,2538,94
Johnson,33519,4383,2060,26
Scott,30927,2321,1729,21
Black Hawk,29766,3929,3048,76
Story,25729,2776,1227,16
Woodbury,25044,4256,3665,56
Dubuque,24801,2132,1656,36
Dallas,21608,2449,1859,38
Pottawattamie,18047,1696,1431,34
Webster,10487,1065,651,9
Warren,10358,812,556,5
Cerro Gordo,9815,869,593,20
Marshall,9742,1694,1421,32
Buena Vista,8443,1844,1777,12
Pending Investigation,8285,23,0,0
Muscatine,8059,988,802,52
Clinton,8036,900,390,13
Des Moines,7147,601,170,5
Wapello,6988,1115,971,54
Jasper,6203,606,451,30
Sioux,5748,952,629,3
Marion,5464,554,229,2
Plymouth,5305,815,441,18
Lee,4995,470,110,6
Boone,4974,362,257,4
Carroll,4551,456,218,3
Dickinson,4507,438,370,6
Bremer,4356,368,220,7
Crawford,4264,862,725,3
Benton,4200,217,151,1
Henry,3870,349,124,4
Washington,3851,354,304,11
Mahaska,3850,247,163,18
Wright,3837,523,449,1
Tama,3827,646,524,29
Buchanan,3624,181,124,1
Fayette,3339,153,85,1
Floyd,3293,228,189,3
Jackson,3221,227,152,2
Winneshiek,3219,235,115,4
Delaware,3183,248,188,3
Hamilton,3178,290,243,2
Mills,3151,136,89,1
Jones,3133,183,135,2
Iowa,3114,121,96,1
Hardin,3090,244,179,1
Clay,3088,241,187,3
Cedar,3007,165,129,1
Poweshiek,2890,194,166,8
Madison,2879,169,123,2
Butler,2770,218,182,2
Clayton,2767,189,160,3
Union,2609,93,73,3
Kossuth,2602,123,84,0
Winnebago,2461,167,85,10
Allamakee,2418,184,152,5
Jefferson,2396,120,84,1
O'Brien,2382,218,133,8
Mitchell,2316,127,78,0
Grundy,2286,135,79,1
Page,2285,122,111,0
Franklin,2200,307,256,17
Hancock,2187,160,138,2
Guthrie,2172,176,135,5
Louisa,2145,399,363,14
Sac,2093,123,86,0
Cass,2092,117,105,2
Cherokee,2050,146,128,2
Chickasaw,2034,118,83,0
Harrison,2033,153,135,2
Appanoose,2023,89,72,3
Calhoun,2006,131,94,2
Shelby,1952,222,210,1
Clarke,1898,243,192,3
Humboldt,1850,153,95,2
Emmet,1845,226,191,8
Palo Alto,1743,120,82,0
Howard,1613,143,70,3
Montgomery,1612,82,69,5
Greene,1545,61,41,0
Pocahontas,1423,134,112,2
Monona,1378,108,92,1
Worth,1377,83,67,0
Lyon,1344,161,135,2
Keokuk,1312,70,33,1
Adair,1306,49,30,1
Lucas,1216,98,60,5
Decatur,1194,48,24,0
Ida,1165,48,29,0
Monroe,1114,119,65,8
Davis,1045,89,57,3
Taylor,1044,114,102,1
Van Buren,995,106,35,1
Ringgold,879,32,27,1
Audubon,879,39,27,1
Fremont,870,61,41,0
Wayne,775,60,34,2
Osceola,767,99,84,0
Adams,513,23,17,0
