County,IndTested,IndPositive,IndRec,Deaths,Date,Year,Month,Day,NewIndTested,NewIndPositive,NewIndRec,NewDeaths,PosTestRate,ID,PosTestRate14
Adair,3192,700,595,22,2021-01-28,2021,1,28,7,2,7,2,28.5714285714286,21285,0
Adams,1398,305,267,3,2021-01-28,2021,1,28,9,3,0,0,33.3333333333333,21284,0
Allamakee,5306,1318,1154,30,2021-01-28,2021,1,28,22,2,7,0,9.09090909090909,21283,0
Appanoose,5267,1139,945,40,2021-01-28,2021,1,28,32,6,4,0,18.75,21282,0
Audubon,2268,433,367,8,2021-01-28,2021,1,28,24,5,6,0,20.8333333333333,21281,0
Benton,11048,2160,1938,50,2021-01-28,2021,1,28,36,15,7,0,41.6666666666667,21280,0
Black Hawk,61705,14276,12773,246,2021-01-28,2021,1,28,310,80,52,3,25.8064516129032,21279,0
Boone,12007,2264,1909,18,2021-01-28,2021,1,28,54,11,29,0,20.3703703703704,21278,0
Bremer,10498,2520,2265,48,2021-01-28,2021,1,28,56,9,9,0,16.0714285714286,21277,0
Buchanan,8243,1642,1434,24,2021-01-28,2021,1,28,40,13,9,0,32.5,21276,0
Buena Vista,13552,3996,3709,31,2021-01-28,2021,1,28,38,17,13,0,44.7368421052632,21275,0
Butler,6137,1528,1273,26,2021-01-28,2021,1,28,22,2,13,2,9.09090909090909,21274,0
Calhoun,4793,1245,1167,9,2021-01-28,2021,1,28,13,4,1,0,30.7692307692308,21273,0
Carroll,10237,2593,2353,36,2021-01-28,2021,1,28,28,4,20,2,14.2857142857143,21272,0
Cass,5563,1162,1007,44,2021-01-28,2021,1,28,30,6,9,0,20,21271,0
Cedar,7944,1572,1381,19,2021-01-28,2021,1,28,23,3,8,0,13.0434782608696,21270,0
Cerro Gordo,21330,4789,4307,72,2021-01-28,2021,1,28,57,16,18,0,28.0701754385965,21269,0
Cherokee,5328,1409,1223,27,2021-01-28,2021,1,28,11,4,12,0,36.3636363636364,21268,0
Chickasaw,4728,1144,1046,12,2021-01-28,2021,1,28,25,4,6,0,16,21267,0
Clarke,4200,830,679,9,2021-01-28,2021,1,28,25,9,7,0,36,21266,0
Clay,7384,1747,1531,21,2021-01-28,2021,1,28,46,11,5,0,23.9130434782609,21265,0
Clayton,6163,1549,1364,49,2021-01-28,2021,1,28,25,2,15,0,8,21264,0
Clinton,19387,4658,4117,69,2021-01-28,2021,1,28,85,29,18,1,34.1176470588235,21263,0
Crawford,7893,2364,2109,24,2021-01-28,2021,1,28,29,9,5,0,31.0344827586207,21262,0
Dallas,47064,9249,7919,72,2021-01-28,2021,1,28,191,76,65,0,39.7905759162304,21261,0
Davis,2836,709,632,21,2021-01-28,2021,1,28,24,4,3,0,16.6666666666667,21260,0
Decatur,3034,504,433,4,2021-01-28,2021,1,28,7,2,5,0,28.5714285714286,21259,0
Delaware,7016,1778,1598,36,2021-01-28,2021,1,28,31,1,6,0,3.2258064516129,21258,0
Des Moines,18715,4000,3509,43,2021-01-28,2021,1,28,105,37,22,0,35.2380952380952,21257,0
Dickinson,9226,1905,1694,29,2021-01-28,2021,1,28,36,10,10,0,27.7777777777778,21256,0
Dubuque,51170,11760,10509,160,2021-01-28,2021,1,28,204,62,41,-1,30.3921568627451,21255,0
Emmet,4486,1113,981,32,2021-01-28,2021,1,28,28,1,2,0,3.57142857142857,21254,0
Fayette,8070,1687,1398,24,2021-01-28,2021,1,28,41,14,18,0,34.1463414634146,21253,0
Floyd,6788,1427,1256,37,2021-01-28,2021,1,28,19,6,5,1,31.5789473684211,21252,0
Franklin,4553,1048,889,18,2021-01-28,2021,1,28,21,7,10,0,33.3333333333333,21251,0
Fremont,2381,530,467,6,2021-01-28,2021,1,28,7,1,3,0,14.2857142857143,21250,0
Greene,3679,700,646,7,2021-01-28,2021,1,28,8,2,1,0,25,21249,0
Grundy,5056,1239,1097,28,2021-01-28,2021,1,28,17,5,9,0,29.4117647058824,21248,0
Guthrie,4970,1050,937,24,2021-01-28,2021,1,28,12,2,6,0,16.6666666666667,21247,0
Hamilton,6617,1638,1464,30,2021-01-28,2021,1,28,27,8,3,0,29.6296296296296,21246,0
Hancock,5245,1343,1167,24,2021-01-28,2021,1,28,30,11,11,0,36.6666666666667,21245,0
Hardin,7329,1598,1440,31,2021-01-28,2021,1,28,38,9,4,0,23.6842105263158,21244,0
Harrison,5816,1600,1386,63,2021-01-28,2021,1,28,20,8,9,1,40,21243,0
Henry,9791,2711,2446,32,2021-01-28,2021,1,28,25,8,9,1,32,21242,0
Howard,3874,880,710,19,2021-01-28,2021,1,28,20,14,15,0,70,21241,0
Humboldt,4255,1082,963,19,2021-01-28,2021,1,28,11,3,5,0,27.2727272727273,21240,0
Ida,2857,776,673,30,2021-01-28,2021,1,28,23,7,7,0,30.4347826086957,21239,0
Iowa,7166,1300,1127,22,2021-01-28,2021,1,28,29,14,4,0,48.2758620689655,21238,0
Jackson,7941,1976,1759,32,2021-01-28,2021,1,28,25,9,11,0,36,21237,0
Jasper,15664,3374,2867,61,2021-01-28,2021,1,28,65,20,49,2,30.7692307692308,21236,0
Jefferson,6650,1233,1021,25,2021-01-28,2021,1,28,15,3,14,0,20,21235,0
Johnson,70023,12404,11032,55,2021-01-28,2021,1,28,219,43,76,1,19.634703196347,21234,0
Jones,8782,2768,2564,50,2021-01-28,2021,1,28,48,13,10,0,27.0833333333333,21233,0
Keokuk,3600,864,780,26,2021-01-28,2021,1,28,9,0,2,0,0,21232,0
Kossuth,6924,1838,1528,44,2021-01-28,2021,1,28,39,16,2,0,41.025641025641,21231,0
Lee,14061,3328,2860,34,2021-01-28,2021,1,28,106,56,23,1,52.8301886792453,21230,0
Linn,102664,18329,16396,281,2021-01-28,2021,1,28,499,134,64,1,26.8537074148297,21229,0
Louisa,4844,1177,1042,31,2021-01-28,2021,1,28,27,8,5,0,29.6296296296296,21228,0
Lucas,3341,674,572,11,2021-01-28,2021,1,28,16,3,8,1,18.75,21227,0
Lyon,4089,1392,1238,33,2021-01-28,2021,1,28,17,7,11,0,41.1764705882353,21226,0
Madison,6651,1276,970,10,2021-01-28,2021,1,28,43,10,12,0,23.2558139534884,21225,0
Mahaska,9202,2019,1710,37,2021-01-28,2021,1,28,37,18,23,0,48.6486486486487,21224,0
Marion,13658,3145,2711,53,2021-01-28,2021,1,28,119,17,32,0,14.2857142857143,21223,0
Marshall,18320,4358,4043,62,2021-01-28,2021,1,28,92,22,15,0,23.9130434782609,21222,0
Mills,6958,1395,1274,17,2021-01-28,2021,1,28,12,3,10,0,25,21221,0
Mitchell,4941,1175,1018,37,2021-01-28,2021,1,28,12,1,4,0,8.33333333333333,21220,0
Monona,3301,716,540,18,2021-01-28,2021,1,28,11,4,5,0,36.3636363636364,21219,0
Monroe,2965,833,657,20,2021-01-28,2021,1,28,12,3,19,0,25,21218,0
Montgomery,3868,907,752,25,2021-01-28,2021,1,28,34,6,10,1,17.6470588235294,21217,0
Muscatine,18914,3987,3509,81,2021-01-28,2021,1,28,58,11,15,2,18.9655172413793,21216,0
O'Brien,5930,1721,1551,55,2021-01-28,2021,1,28,18,2,10,0,11.1111111111111,21215,0
Osceola,2172,652,606,11,2021-01-28,2021,1,28,8,2,3,0,25,21214,0
Page,5378,1492,1376,15,2021-01-28,2021,1,28,20,1,15,0,5,21213,0
Palo Alto,3972,929,807,11,2021-01-28,2021,1,28,19,3,5,0,15.7894736842105,21212,0
Plymouth,11928,3549,3298,70,2021-01-28,2021,1,28,39,7,17,0,17.948717948718,21211,0
Pocahontas,3154,789,708,11,2021-01-28,2021,1,28,7,1,7,0,14.2857142857143,21210,0
Polk,238576,47536,41296,468,2021-01-28,2021,1,28,985,284,268,3,28.8324873096447,21209,0
Pottawattamie,42350,9254,8238,115,2021-01-28,2021,1,28,120,43,65,0,35.8333333333333,21208,0
Poweshiek,7743,1377,1196,24,2021-01-28,2021,1,28,262,14,7,0,5.34351145038168,21207,0
Ringgold,2120,466,358,11,2021-01-28,2021,1,28,10,3,3,0,30,21206,0
Sac,4754,1139,1034,15,2021-01-28,2021,1,28,21,6,3,0,28.5714285714286,21205,0
Scott,75946,16096,14221,173,2021-01-28,2021,1,28,196,63,96,1,32.1428571428572,21204,0
Shelby,4687,1093,925,27,2021-01-28,2021,1,28,27,13,12,0,48.1481481481482,21203,0
Sioux,14142,4619,4288,59,2021-01-28,2021,1,28,42,10,14,2,23.8095238095238,21202,0
Story,49291,8941,8023,38,2021-01-28,2021,1,28,226,67,40,0,29.6460176991151,21201,0
Tama,7486,1930,1719,59,2021-01-28,2021,1,28,31,10,5,0,32.258064516129,21200,0
Taylor,2261,607,547,9,2021-01-28,2021,1,28,5,1,4,0,20,21199,0
Union,5915,1132,1013,24,2021-01-28,2021,1,28,20,5,8,1,25,21198,0
Van Buren,2370,510,442,16,2021-01-28,2021,1,28,12,2,-1,1,16.6666666666667,21197,0
