County,IndTested,IndPositive,IndRec,Deaths,Date,Year,Month,Day,NewIndTested,NewIndPositive,NewIndRec,NewDeaths,PosTestRate,ID,PosTestRate14
Adair,11756,957,786,32,2021-04-02,2021,4,2,61,0,1,0,0,27522,0
Adams,5179,330,316,4,2021-04-02,2021,4,2,11,0,1,0,0,27521,0
Allamakee,20062,1536,1393,49,2021-04-02,2021,4,2,48,0,5,0,0,27520,0
Appanoose,16806,1427,1187,47,2021-04-02,2021,4,2,39,6,0,0,15.3846153846154,27519,0
Audubon,11298,507,465,9,2021-04-02,2021,4,2,25,1,3,0,4,27518,0
Benton,35078,2634,2356,54,2021-04-02,2021,4,2,92,4,4,0,4.34782608695652,27517,0
Black Hawk,201559,16706,14669,302,2021-04-02,2021,4,2,564,10,20,1,1.77304964539007,27516,0
Boone,41730,2708,2414,31,2021-04-02,2021,4,2,74,1,7,0,1.35135135135135,27515,0
Bremer,36784,2900,2643,58,2021-04-02,2021,4,2,168,4,6,0,2.38095238095238,27514,0
Buchanan,28890,1949,1745,31,2021-04-02,2021,4,2,86,9,4,0,10.4651162790698,27513,0
Buena Vista,42713,4828,4086,39,2021-04-02,2021,4,2,193,3,0,0,1.55440414507772,27512,0
Butler,28002,1701,1555,33,2021-04-02,2021,4,2,49,0,2,0,0,27511,0
Calhoun,17401,1374,1284,11,2021-04-02,2021,4,2,42,1,1,0,2.38095238095238,27510,0
Carroll,34150,2941,2623,49,2021-04-02,2021,4,2,64,0,0,0,0,27509,0
Cass,19706,1403,1243,54,2021-04-02,2021,4,2,96,1,2,0,1.04166666666667,27508,0
Cedar,28743,1884,1702,23,2021-04-02,2021,4,2,69,11,-1,0,15.9420289855072,27507,0
Cerro Gordo,71905,5501,4924,85,2021-04-02,2021,4,2,177,6,7,0,3.38983050847458,27506,0
Cherokee,19778,1648,1418,37,2021-04-02,2021,4,2,107,1,5,0,0.934579439252336,27505,0
Chickasaw,16481,1278,1191,15,2021-04-02,2021,4,2,50,3,4,0,6,27504,0
Clarke,12616,1036,929,23,2021-04-02,2021,4,2,25,0,2,0,0,27503,0
Clay,27894,2141,1820,25,2021-04-02,2021,4,2,149,5,4,0,3.35570469798658,27502,0
Clayton,23356,1711,1556,55,2021-04-02,2021,4,2,78,1,1,0,1.28205128205128,27501,0
Clinton,58500,5687,4947,87,2021-04-02,2021,4,2,279,14,7,0,5.01792114695341,27500,0
Crawford,26101,2834,2510,37,2021-04-02,2021,4,2,75,2,6,0,2.66666666666667,27499,0
Dallas,120208,11988,10130,95,2021-04-02,2021,4,2,289,13,12,0,4.49826989619377,27498,0
Davis,10365,858,741,24,2021-04-02,2021,4,2,27,0,0,0,0,27497,0
Decatur,9957,597,569,9,2021-04-02,2021,4,2,15,0,2,0,0,27496,0
Delaware,25863,2004,1820,39,2021-04-02,2021,4,2,236,5,1,0,2.11864406779661,27495,0
Des Moines,52817,4693,4230,64,2021-04-02,2021,4,2,111,8,2,0,7.20720720720721,27494,0
Dickinson,24584,2468,2002,41,2021-04-02,2021,4,2,74,10,8,0,13.5135135135135,27493,0
Dubuque,176647,13993,12242,201,2021-04-02,2021,4,2,484,36,11,0,7.43801652892562,27492,0
Emmet,15706,1313,1111,40,2021-04-02,2021,4,2,44,6,3,0,13.6363636363636,27491,0
Fayette,33320,1897,1757,39,2021-04-02,2021,4,2,170,1,3,0,0.588235294117647,27490,0
Floyd,23964,1692,1440,41,2021-04-02,2021,4,2,55,5,2,0,9.09090909090909,27489,0
Franklin,18586,1215,1068,21,2021-04-02,2021,4,2,36,0,2,0,0,27488,0
Fremont,6866,620,548,10,2021-04-02,2021,4,2,35,0,0,0,0,27487,0
Greene,14035,804,722,10,2021-04-02,2021,4,2,56,3,2,0,5.35714285714286,27486,0
Grundy,18329,1417,1292,31,2021-04-02,2021,4,2,84,2,0,0,2.38095238095238,27485,0
Guthrie,17173,1238,1078,28,2021-04-02,2021,4,2,71,0,3,0,0,27484,0
Hamilton,22300,1951,1697,46,2021-04-02,2021,4,2,66,4,1,0,6.06060606060606,27483,0
Hancock,19886,1505,1348,33,2021-04-02,2021,4,2,66,0,0,0,0,27482,0
Hardin,32435,1887,1665,40,2021-04-02,2021,4,2,154,0,3,0,0,27481,0
Harrison,20100,1846,1605,71,2021-04-02,2021,4,2,69,7,1,0,10.1449275362319,27480,0
Henry,34206,2982,2764,37,2021-04-02,2021,4,2,41,6,1,0,14.6341463414634,27479,0
Howard,15957,1062,974,22,2021-04-02,2021,4,2,32,0,0,0,0,27478,0
Humboldt,14682,1223,1112,26,2021-04-02,2021,4,2,17,0,1,0,0,27477,0
Ida,11710,986,777,32,2021-04-02,2021,4,2,43,1,3,0,2.32558139534884,27476,0
Iowa,27895,1502,1381,23,2021-04-02,2021,4,2,84,4,5,0,4.76190476190476,27475,0
Jackson,24114,2280,2063,42,2021-04-02,2021,4,2,44,5,4,0,11.3636363636364,27474,0
Jasper,48532,4366,3826,69,2021-04-02,2021,4,2,121,0,5,0,0,27473,0
Jefferson,19316,1411,1262,35,2021-04-02,2021,4,2,100,0,-1,0,0,27472,0
Johnson,196527,14405,13061,79,2021-04-02,2021,4,2,801,26,14,0,3.24594257178527,27471,0
Jones,24266,3010,2795,55,2021-04-02,2021,4,2,83,6,1,0,7.2289156626506,27470,0
Keokuk,14755,1004,897,30,2021-04-02,2021,4,2,39,0,0,0,0,27469,0
Kossuth,24449,2199,1935,58,2021-04-02,2021,4,2,121,6,0,0,4.95867768595041,27468,0
Lee,50910,3877,3575,55,2021-04-02,2021,4,2,82,4,0,0,4.87804878048781,27467,0
Linn,271105,21232,19157,325,2021-04-02,2021,4,2,801,18,18,0,2.24719101123596,27466,0
Louisa,16285,1315,1182,48,2021-04-02,2021,4,2,24,3,0,0,12.5,27465,0
Lucas,8795,775,700,22,2021-04-02,2021,4,2,20,1,3,0,5,27464,0
Lyon,14608,1513,1419,41,2021-04-02,2021,4,2,58,0,1,0,0,27463,0
Madison,19267,1641,1439,19,2021-04-02,2021,4,2,38,0,1,0,0,27462,0
Mahaska,28956,2306,2101,49,2021-04-02,2021,4,2,54,4,1,0,7.40740740740741,27461,0
Marion,39476,3715,3357,75,2021-04-02,2021,4,2,165,4,7,0,2.42424242424242,27460,0
Marshall,77501,5096,4582,74,2021-04-02,2021,4,2,273,0,11,0,0,27459,0
Mills,20270,1716,1468,20,2021-04-02,2021,4,2,22,1,1,0,4.54545454545455,27458,0
Mitchell,16824,1358,1178,41,2021-04-02,2021,4,2,82,0,1,0,0,27457,0
Monona,17214,852,741,30,2021-04-02,2021,4,2,107,5,2,0,4.67289719626168,27456,0
Monroe,9167,959,871,28,2021-04-02,2021,4,2,17,0,2,0,0,27455,0
Montgomery,13491,1063,932,37,2021-04-02,2021,4,2,61,3,1,0,4.91803278688525,27454,0
Muscatine,51036,4773,4174,96,2021-04-02,2021,4,2,84,10,9,0,11.9047619047619,27453,0
O'Brien,24382,2077,1780,58,2021-04-02,2021,4,2,51,6,3,0,11.7647058823529,27452,0
