County,IndTested,IndPositive,IndRec,Deaths,Date,Year,Month,Day,NewIndTested,NewIndPositive,NewIndRec,NewDeaths,PosTestRate,ID
Adair,875,20,16,0,2020-07-30,2020,7,30,6,0,0,0,0,3960
Adams,394,15,10,0,2020-07-30,2020,7,30,3,0,1,0,0,3959
Allamakee,1948,146,129,4,2020-07-30,2020,7,30,8,0,5,0,0,3958
Appanoose,1324,39,31,3,2020-07-30,2020,7,30,5,2,0,0,40,3957
Audubon,665,27,15,1,2020-07-30,2020,7,30,5,0,0,0,0,3956
Benton,3067,121,85,1,2020-07-30,2020,7,30,12,1,1,0,8.33333333333333,3955
Black Hawk,22916,2930,2181,62,2020-07-30,2020,7,30,120,12,38,0,10,3954
Boone,3714,224,145,2,2020-07-30,2020,7,30,28,3,3,0,10.7142857142857,3953
Bremer,3233,175,88,7,2020-07-30,2020,7,30,12,1,4,0,8.33333333333333,3952
Buchanan,2666,100,53,1,2020-07-30,2020,7,30,24,5,2,0,20.8333333333333,3951
Buena Vista,7720,1781,1704,12,2020-07-30,2020,7,30,14,2,6,0,14.2857142857143,3950
Butler,2095,103,83,2,2020-07-30,2020,7,30,17,1,0,0,5.88235294117647,3949
Calhoun,1479,80,68,2,2020-07-30,2020,7,30,15,2,0,0,13.3333333333333,3948
Carroll,3128,174,144,1,2020-07-30,2020,7,30,83,1,8,0,1.20481927710843,3947
Cass,1292,39,31,0,2020-07-30,2020,7,30,16,2,0,0,12.5,3946
Cedar,2261,114,82,1,2020-07-30,2020,7,30,6,0,1,0,0,3945
Cerro Gordo,7532,566,213,17,2020-07-30,2020,7,30,54,8,16,0,14.8148148148148,3944
Cherokee,1604,97,81,1,2020-07-30,2020,7,30,8,0,3,0,0,3943
Chickasaw,1491,48,44,0,2020-07-30,2020,7,30,19,0,0,0,0,3942
Clarke,1408,171,127,3,2020-07-30,2020,7,30,22,5,3,0,22.7272727272727,3941
Clay,2406,168,132,1,2020-07-30,2020,7,30,8,0,4,0,0,3940
Clayton,2057,89,63,3,2020-07-30,2020,7,30,19,5,4,0,26.3157894736842,3939
Clinton,5170,273,107,2,2020-07-30,2020,7,30,33,4,1,0,12.1212121212121,3938
Crawford,3478,708,670,3,2020-07-30,2020,7,30,32,8,4,0,25,3937
Dallas,15697,1720,1233,34,2020-07-30,2020,7,30,149,18,21,0,12.0805369127517,3936
Davis,750,49,39,1,2020-07-30,2020,7,30,5,0,1,0,0,3935
Decatur,571,20,11,0,2020-07-30,2020,7,30,6,3,0,0,50,3934
Delaware,1985,82,65,1,2020-07-30,2020,7,30,14,1,4,0,7.14285714285714,3933
Des Moines,3979,136,87,2,2020-07-30,2020,7,30,45,5,0,0,11.1111111111111,3932
Dickinson,3639,367,256,4,2020-07-30,2020,7,30,6,2,3,0,33.3333333333333,3931
Dubuque,19128,1441,612,28,2020-07-30,2020,7,30,146,26,32,2,17.8082191780822,3930
Emmet,1422,170,82,1,2020-07-30,2020,7,30,5,9,3,0,180,3929
Fayette,2485,75,40,0,2020-07-30,2020,7,30,11,0,5,0,0,3928
Floyd,2412,103,88,2,2020-07-30,2020,7,30,14,3,18,0,21.4285714285714,3927
Franklin,1644,202,112,4,2020-07-30,2020,7,30,16,19,12,0,118.75,3926
Fremont,628,30,8,0,2020-07-30,2020,7,30,15,3,1,0,20,3925
Greene,1164,37,31,0,2020-07-30,2020,7,30,13,0,2,0,0,3924
