County,IndTested,IndPositive,IndRec,Deaths,Date,Year,Month,Day,NewIndTested,NewIndPositive,NewIndRec,NewDeaths,PosTestRate,ID,PosTestRate14
Adair,2666,453,267,9,2020-12-03,2020,12,3,10,5,14,1,50,15741,0
Adams,1134,181,97,2,2020-12-03,2020,12,3,10,2,4,0,20,15740,0
Allamakee,4386,884,488,13,2020-12-03,2020,12,3,18,14,25,2,77.7777777777778,15739,0
Appanoose,4322,816,410,13,2020-12-03,2020,12,3,23,9,71,1,39.1304347826087,15738,0
Audubon,1861,311,222,2,2020-12-03,2020,12,3,29,6,8,0,20.6896551724138,15737,0
Benton,9541,1755,979,23,2020-12-03,2020,12,3,45,15,136,2,33.3333333333333,15736,0
Black Hawk,53118,11288,7602,147,2020-12-03,2020,12,3,257,94,519,10,36.5758754863813,15735,0
Boone,9628,1449,917,12,2020-12-03,2020,12,3,59,25,54,1,42.3728813559322,15734,0
Bremer,8769,2027,1103,13,2020-12-03,2020,12,3,55,26,139,1,47.2727272727273,15733,0
Buchanan,7059,1234,692,10,2020-12-03,2020,12,3,34,15,72,0,44.1176470588235,15732,0
Buena Vista,11958,3166,2487,14,2020-12-03,2020,12,3,63,35,72,0,55.5555555555556,15731,0
Butler,5162,1074,577,8,2020-12-03,2020,12,3,28,17,51,2,60.7142857142857,15730,0
Calhoun,4301,1098,635,7,2020-12-03,2020,12,3,20,8,222,0,40,15729,0
Carroll,8821,2044,1398,25,2020-12-03,2020,12,3,25,9,77,3,36,15728,0
Cass,4618,846,554,25,2020-12-03,2020,12,3,47,11,27,1,23.4042553191489,15727,0
Cedar,6664,1146,648,14,2020-12-03,2020,12,3,63,21,45,1,33.3333333333333,15726,0
Cerro Gordo,18027,3732,2036,52,2020-12-03,2020,12,3,167,56,191,4,33.5329341317365,15725,0
Cherokee,4345,967,535,4,2020-12-03,2020,12,3,47,20,40,0,42.5531914893617,15724,0
Chickasaw,4012,919,735,5,2020-12-03,2020,12,3,16,11,6,1,68.75,15723,0
Clarke,3326,506,390,4,2020-12-03,2020,12,3,18,6,8,0,33.3333333333333,15722,0
Clay,6140,1250,716,5,2020-12-03,2020,12,3,46,25,61,1,54.3478260869565,15721,0
Clayton,5132,1155,668,10,2020-12-03,2020,12,3,32,16,20,2,50,15720,0
