EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Polk,74211,8773,5739,191
Linn,27865,1699,1345,87
Black Hawk,21368,2767,1978,61
Johnson,21364,1688,1095,10
Scott,20685,1390,668,11
Woodbury,19464,3510,3160,47
Dubuque,18071,1290,486,26
Dallas,14519,1616,1127,34
Pottawattamie,12838,975,724,18
Story,11015,992,676,10
Buena Vista,7577,1765,1675,12
Marshall,7294,1237,986,21
Cerro Gordo,6813,484,125,16
Warren,6689,430,240,1
Webster,6268,565,208,5
Muscatine,5960,746,649,45
Wapello,4990,772,694,31
Pending Investigation,4603,5,0,0
Clinton,4578,193,89,2
Jasper,4134,416,304,20
Des Moines,3637,125,85,2
Sioux,3596,548,446,1
Plymouth,3587,397,289,6
Boone,3474,199,133,1
Dickinson,3433,350,235,4
Crawford,3335,689,655,3
Bremer,3041,152,79,7
Wright,3004,425,362,1
Tama,2917,514,418,29
Washington,2801,275,237,9
Benton,2800,102,81,1
Marion,2799,113,84,0
Carroll,2743,149,118,1
Buchanan,2492,83,44,1
Lee,2439,66,46,2
Mills,2412,63,32,0
Hamilton,2350,215,204,1
Fayette,2338,67,31,0
Iowa,2301,69,50,1
Clay,2263,162,114,1
Floyd,2256,96,68,2
Henry,2254,101,78,3
Hardin,2245,117,60,0
Jackson,2209,108,26,0
Cedar,2134,105,73,1
Jones,2112,103,60,1
Butler,1961,88,70,2
Winneshiek,1947,66,46,1
Clayton,1901,67,47,3
Madison,1864,79,40,2
Allamakee,1863,144,122,4
Delaware,1826,70,58,1
Union,1808,59,29,1
Mahaska,1799,131,103,17
Kossuth,1712,72,32,0
Louisa,1699,374,345,13
Poweshiek,1631,118,101,8
Mitchell,1615,73,49,0
Jefferson,1587,68,51,0
Grundy,1554,60,31,1
Sac,1549,75,60,0
O'Brien,1548,110,81,1
Hancock,1548,94,61,2
Cherokee,1544,93,74,1
Franklin,1530,157,79,3
Page,1513,38,21,0
Guthrie,1509,114,66,5
Calhoun,1409,72,62,2
Chickasaw,1400,41,35,0
Harrison,1370,72,59,0
Shelby,1349,127,124,0
Winnebago,1327,62,27,0
Clarke,1313,155,119,3
Emmet,1305,125,75,0
Palo Alto,1296,62,45,0
Appanoose,1210,34,25,3
Cass,1155,32,28,0
Humboldt,1130,72,64,1
Howard,1103,45,24,0
Greene,1100,37,29,0
Pocahontas,1096,110,60,1
Monona,1050,84,67,0
Montgomery,1049,27,17,2
Keokuk,950,26,20,1
Worth,940,47,11,0
Lyon,902,84,65,0
Ida,813,27,21,0
Taylor,771,85,79,0
Adair,752,22,16,0
Davis,712,47,36,1
Monroe,692,64,43,7
Lucas,679,39,27,4
Ringgold,638,21,15,1
Audubon,605,22,15,1
Van Buren,559,22,18,1
Osceola,558,72,50,0
Fremont,552,16,6,0
Decatur,529,17,11,0
Wayne,404,12,10,1
Adams,365,12,9,0
