EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Polk,109949,13547,9947,226
Linn,41796,3018,2487,94
Johnson,32835,4164,2010,26
Scott,30456,2259,1692,21
Black Hawk,29340,3843,3010,76
Story,25135,2584,1193,16
Woodbury,24675,4177,3638,56
Dubuque,24425,2064,1604,36
Dallas,21273,2397,1825,38
Pottawattamie,17825,1666,1394,34
Webster,10391,1048,651,9
Warren,10192,792,548,5
Cerro Gordo,9632,848,578,20
Marshall,9614,1667,1409,32
Buena Vista,8381,1830,1775,12
Pending Investigation,8038,8,0,0
Muscatine,7974,976,798,52
Clinton,7844,857,360,10
Des Moines,6957,581,150,5
Wapello,6870,1095,947,51
Jasper,6072,592,443,30
Sioux,5630,917,616,3
Marion,5284,511,210,1
Plymouth,5126,772,440,18
Boone,4922,350,240,4
Lee,4856,447,104,5
Dickinson,4443,431,370,6
Carroll,4412,429,217,3
Bremer,4298,355,197,7
Crawford,4181,841,722,3
Benton,4136,211,147,1
Wright,3802,520,442,1
Washington,3784,349,299,11
Tama,3762,629,518,29
Mahaska,3757,230,157,18
Henry,3662,296,116,4
Buchanan,3573,176,121,1
Fayette,3303,144,83,1
Floyd,3246,220,183,3
Winneshiek,3180,224,115,4
Jackson,3171,219,147,1
Hamilton,3155,286,242,2
Delaware,3124,231,172,3
Mills,3117,132,86,1
Jones,3092,176,133,2
Iowa,3090,116,92,1
Hardin,3050,232,173,1
Clay,3045,238,176,3
Cedar,2959,155,125,1
Madison,2839,167,115,2
Poweshiek,2825,185,163,8
Clayton,2746,184,153,3
Butler,2733,213,170,2
Union,2577,92,71,3
Kossuth,2556,122,83,0
Winnebago,2432,166,80,9
Allamakee,2394,184,149,5
Jefferson,2369,120,80,0
O'Brien,2345,204,132,7
Mitchell,2269,114,78,0
Grundy,2264,133,74,1
Page,2254,114,108,0
Franklin,2179,303,256,17
Hancock,2152,158,134,2
Guthrie,2148,174,133,5
Louisa,2133,396,363,14
Cass,2063,112,102,2
Sac,2031,121,84,0
Cherokee,2006,141,127,2
Harrison,2002,150,128,2
Chickasaw,2002,112,83,0
Calhoun,1979,130,93,2
Appanoose,1964,87,66,3
Shelby,1910,219,207,1
Clarke,1861,241,189,3
Humboldt,1836,152,94,2
Emmet,1809,223,186,8
Palo Alto,1727,119,80,0
Howard,1593,137,71,2
Montgomery,1574,82,66,5
Greene,1518,58,39,0
Pocahontas,1407,131,111,2
Monona,1359,107,92,1
Worth,1337,80,66,0
Lyon,1320,152,133,2
Keokuk,1299,69,32,1
Adair,1278,49,24,1
Lucas,1171,97,53,5
Decatur,1167,47,24,0
Ida,1124,45,29,0
Monroe,1073,114,63,8
Taylor,1036,113,102,1
Davis,1023,86,56,3
Van Buren,973,103,33,1
Ringgold,862,31,27,1
Fremont,861,61,37,0
Audubon,860,39,27,1
Osceola,758,99,80,0
Wayne,740,54,33,2
Adams,502,22,17,0
