County,IndTested,IndPositive,IndRec,Deaths,Date,Year,Month,Day,NewIndTested,NewIndPositive,NewIndRec,NewDeaths,PosTestRate,ID,PosTestRate14
Adair,12441,983,811,32,2021-05-08,2021,5,8,9,1,0,0,11.1111111111111,30987,0
Adams,5759,350,324,4,2021-05-08,2021,5,8,5,0,0,0,0,30986,0
Allamakee,21680,1564,1442,51,2021-05-08,2021,5,8,68,4,1,0,5.88235294117647,30985,0
Appanoose,18339,1453,1211,48,2021-05-08,2021,5,8,106,0,0,0,0,30984,0
Audubon,12412,526,480,10,2021-05-08,2021,5,8,8,0,2,0,0,30983,0
Benton,37847,2712,2438,55,2021-05-08,2021,5,8,45,2,2,0,4.44444444444444,30982,0
Black Hawk,217708,17236,15171,308,2021-05-08,2021,5,8,311,9,17,0,2.89389067524116,30981,0
Boone,44950,2813,2530,34,2021-05-08,2021,5,8,44,2,0,0,4.54545454545455,30980,0
Bremer,39963,2963,2721,60,2021-05-08,2021,5,8,37,0,1,0,0,30979,0
Buchanan,31828,2008,1844,31,2021-05-08,2021,5,8,56,0,8,0,0,30978,0
Buena Vista,45630,4891,4172,40,2021-05-08,2021,5,8,14,0,3,0,0,30977,0
Butler,29932,1738,1582,34,2021-05-08,2021,5,8,29,3,1,0,10.3448275862069,30976,0
Calhoun,18758,1423,1319,13,2021-05-08,2021,5,8,45,4,0,0,8.88888888888889,30975,0
Carroll,37194,3063,2724,52,2021-05-08,2021,5,8,108,2,2,0,1.85185185185185,30974,0
Cass,21047,1461,1291,54,2021-05-08,2021,5,8,17,1,1,0,5.88235294117647,30973,0
Cedar,31940,1982,1797,23,2021-05-08,2021,5,8,39,2,3,0,5.12820512820513,30972,0
Cerro Gordo,77798,5782,5098,89,2021-05-08,2021,5,8,124,2,6,0,1.61290322580645,30971,0
Cherokee,21200,1685,1524,38,2021-05-08,2021,5,8,18,0,2,0,0,30970,0
Chickasaw,17845,1305,1212,15,2021-05-08,2021,5,8,39,0,2,0,0,30969,0
Clarke,13675,1057,958,24,2021-05-08,2021,5,8,19,0,0,0,0,30968,0
Clay,31231,2257,2061,25,2021-05-08,2021,5,8,30,2,4,0,6.66666666666667,30967,0
Clayton,25637,1780,1604,56,2021-05-08,2021,5,8,74,1,1,0,1.35135135135135,30966,0
Clinton,64671,5998,5223,92,2021-05-08,2021,5,8,100,3,12,0,3,30965,0
Crawford,28429,2901,2576,40,2021-05-08,2021,5,8,112,0,1,0,0,30964,0
Dallas,130111,12455,10736,98,2021-05-08,2021,5,8,189,12,13,0,6.34920634920635,30963,0
Davis,11374,893,774,24,2021-05-08,2021,5,8,32,1,0,0,3.125,30962,0
Decatur,10537,621,586,9,2021-05-08,2021,5,8,4,1,1,0,25,30961,0
Delaware,29294,2128,1969,40,2021-05-08,2021,5,8,214,3,7,0,1.4018691588785,30960,0
Des Moines,57092,4884,4337,66,2021-05-08,2021,5,8,86,7,7,0,8.13953488372093,30959,0
Dickinson,27292,2665,2347,43,2021-05-08,2021,5,8,20,1,5,0,5,30958,0
Dubuque,194380,14623,12804,209,2021-05-08,2021,5,8,312,13,32,0,4.16666666666667,30957,0
Emmet,17354,1412,1232,40,2021-05-08,2021,5,8,14,0,1,0,0,30956,0
Fayette,36983,1927,1791,41,2021-05-08,2021,5,8,51,0,1,0,0,30955,0
Floyd,26180,1779,1501,42,2021-05-08,2021,5,8,33,3,1,0,9.09090909090909,30954,0
Franklin,19899,1279,1101,21,2021-05-08,2021,5,8,53,1,1,0,1.88679245283019,30953,0
Fremont,7447,657,602,9,2021-05-08,2021,5,8,27,0,2,0,0,30952,0
Greene,15199,824,754,10,2021-05-08,2021,5,8,41,0,1,0,0,30951,0
Grundy,19607,1441,1317,33,2021-05-08,2021,5,8,25,1,0,0,4,30950,0
Guthrie,18886,1291,1146,29,2021-05-08,2021,5,8,19,1,1,0,5.26315789473684,30949,0
Hamilton,23699,1979,1729,49,2021-05-08,2021,5,8,17,0,4,0,0,30948,0
Hancock,21824,1567,1395,34,2021-05-08,2021,5,8,30,0,3,0,0,30947,0
Hardin,35537,1979,1746,43,2021-05-08,2021,5,8,89,1,5,0,1.12359550561798,30946,0
Harrison,21692,1924,1675,73,2021-05-08,2021,5,8,16,0,2,0,0,30945,0
Henry,36810,3058,2816,37,2021-05-08,2021,5,8,86,2,0,0,2.32558139534884,30944,0
Howard,17141,1088,1005,22,2021-05-08,2021,5,8,33,1,0,0,3.03030303030303,30943,0
Humboldt,15638,1235,1154,26,2021-05-08,2021,5,8,11,0,0,0,0,30942,0
Ida,12771,1013,850,34,2021-05-08,2021,5,8,33,0,4,0,0,30941,0
Iowa,30195,1545,1426,24,2021-05-08,2021,5,8,54,0,-1,0,0,30940,0
Jackson,26123,2341,2133,42,2021-05-08,2021,5,8,42,3,1,0,7.14285714285714,30939,0
Jasper,52901,4518,4033,71,2021-05-08,2021,5,8,209,3,5,0,1.43540669856459,30938,0
Jefferson,20871,1440,1280,35,2021-05-08,2021,5,8,20,0,0,0,0,30937,0
Johnson,214536,15293,13739,83,2021-05-08,2021,5,8,307,18,31,0,5.86319218241042,30936,0
Jones,27008,3094,2866,57,2021-05-08,2021,5,8,46,0,1,0,0,30935,0
Keokuk,16008,1024,916,31,2021-05-08,2021,5,8,20,1,1,0,5,30934,0
Kossuth,26698,2270,2055,64,2021-05-08,2021,5,8,27,0,2,0,0,30933,0
Lee,54689,3980,3627,55,2021-05-08,2021,5,8,63,4,2,0,6.34920634920635,30932,0
Linn,297086,22135,19806,334,2021-05-08,2021,5,8,682,18,38,0,2.63929618768328,30931,0
Louisa,17611,1340,1217,49,2021-05-08,2021,5,8,23,0,1,0,0,30930,0
Lucas,9548,799,728,23,2021-05-08,2021,5,8,24,0,0,0,0,30929,0
Lyon,16804,1581,1496,41,2021-05-08,2021,5,8,22,0,5,0,0,30928,0
Madison,21134,1753,1506,19,2021-05-08,2021,5,8,46,6,4,0,13.0434782608696,30927,0
Mahaska,31909,2405,2175,51,2021-05-08,2021,5,8,146,0,6,0,0,30926,0
Marion,43066,3812,3482,75,2021-05-08,2021,5,8,75,0,3,0,0,30925,0
