County,IndTested,IndPositive,IndRec,Deaths,Date,Year,Month,Day,NewIndTested,NewIndPositive,NewIndRec,NewDeaths,PosTestRate,ID,PosTestRate14
Adair,12901,996,842,32,2021-07-03,2021,7,3,6,0,0,0,0,36036,0
Adams,6293,360,342,4,2021-07-03,2021,7,3,20,1,0,0,5,36035,0
Allamakee,23040,1591,1473,52,2021-07-03,2021,7,3,14,1,1,0,7.14285714285714,36034,0
Appanoose,19475,1469,1243,49,2021-07-03,2021,7,3,11,0,2,0,0,36033,0
Audubon,14075,555,518,11,2021-07-03,2021,7,3,4,0,9,0,0,36032,0
Benton,40709,2786,2525,55,2021-07-03,2021,7,3,31,1,0,0,3.2258064516129,36031,0
Black Hawk,232100,17860,15678,316,2021-07-03,2021,7,3,279,10,6,0,3.584229390681,36030,0
Boone,47037,2874,2652,34,2021-07-03,2021,7,3,9,0,1,0,0,36029,0
Bremer,43300,3035,2810,62,2021-07-03,2021,7,3,54,0,1,0,0,36028,0
Buchanan,34118,2060,1893,34,2021-07-03,2021,7,3,29,1,3,0,3.44827586206897,36027,0
Buena Vista,47510,4980,4222,40,2021-07-03,2021,7,3,10,0,0,0,0,36026,0
Butler,31481,1763,1622,35,2021-07-03,2021,7,3,16,2,0,0,12.5,36025,0
Calhoun,19924,1449,1376,13,2021-07-03,2021,7,3,13,0,0,0,0,36024,0
Carroll,39429,3089,2819,52,2021-07-03,2021,7,3,22,0,0,0,0,36023,0
Cass,21924,1478,1341,55,2021-07-03,2021,7,3,8,0,0,0,0,36022,0
Cedar,34143,2018,1889,23,2021-07-03,2021,7,3,25,0,0,0,0,36021,0
Cerro Gordo,84867,6010,5413,97,2021-07-03,2021,7,3,89,2,2,0,2.24719101123596,36020,0
Cherokee,22465,1703,1554,38,2021-07-03,2021,7,3,5,0,0,0,0,36019,0
Chickasaw,18985,1323,1234,17,2021-07-03,2021,7,3,15,0,0,0,0,36018,0
Clarke,14499,1076,986,24,2021-07-03,2021,7,3,6,0,1,0,0,36017,0
Clay,33091,2281,2137,27,2021-07-03,2021,7,3,26,0,1,0,0,36016,0
Clayton,27556,1800,1659,57,2021-07-03,2021,7,3,33,0,1,0,0,36015,0
Clinton,70104,6100,5520,93,2021-07-03,2021,7,3,29,1,0,0,3.44827586206897,36014,0
Crawford,30125,2936,2647,41,2021-07-03,2021,7,3,10,2,0,0,20,36013,0
Dallas,137745,12654,11169,99,2021-07-03,2021,7,3,100,5,3,0,5,36012,0
Davis,12109,927,825,25,2021-07-03,2021,7,3,4,0,0,0,0,36011,0
Decatur,11121,639,610,9,2021-07-03,2021,7,3,42,1,0,0,2.38095238095238,36010,0
Delaware,31443,2158,2064,43,2021-07-03,2021,7,3,12,0,0,0,0,36009,0
Des Moines,62401,5072,4604,73,2021-07-03,2021,7,3,31,1,3,0,3.2258064516129,36008,0
Dickinson,29347,2691,2452,45,2021-07-03,2021,7,3,62,1,-1,1,1.61290322580645,36007,0
Dubuque,206492,14859,13264,213,2021-07-03,2021,7,3,72,2,1,1,2.77777777777778,36006,0
Emmet,18243,1441,1313,41,2021-07-03,2021,7,3,8,3,0,0,37.5,36005,0
Fayette,38877,1961,1822,43,2021-07-03,2021,7,3,18,0,1,0,0,36004,0
Floyd,28007,1819,1585,42,2021-07-03,2021,7,3,17,0,1,0,0,36003,0
Franklin,21859,1349,1206,23,2021-07-03,2021,7,3,15,0,1,0,0,36002,0
Fremont,8078,664,621,10,2021-07-03,2021,7,3,9,0,0,0,0,36001,0
Greene,15887,830,770,11,2021-07-03,2021,7,3,11,0,0,0,0,36000,0
Grundy,20470,1456,1338,33,2021-07-03,2021,7,3,9,0,0,0,0,35999,0
Guthrie,20157,1322,1202,32,2021-07-03,2021,7,3,16,4,0,0,25,35998,0
Hamilton,24810,2016,1766,51,2021-07-03,2021,7,3,11,1,0,0,9.09090909090909,35997,0
Hancock,23611,1605,1464,34,2021-07-03,2021,7,3,7,2,0,0,28.5714285714286,35996,0
Hardin,38070,2019,1832,44,2021-07-03,2021,7,3,48,0,0,0,0,35995,0
Harrison,22521,1939,1727,73,2021-07-03,2021,7,3,6,0,2,0,0,35994,0
Henry,39311,3111,2906,37,2021-07-03,2021,7,3,28,2,1,0,7.14285714285714,35993,0
Howard,18017,1103,1024,22,2021-07-03,2021,7,3,16,0,0,0,0,35992,0
Humboldt,16461,1256,1170,26,2021-07-03,2021,7,3,30,1,0,0,3.33333333333333,35991,0
Ida,13338,1030,876,35,2021-07-03,2021,7,3,10,0,0,0,0,35990,0
Iowa,31850,1563,1478,24,2021-07-03,2021,7,3,39,0,0,0,0,35989,0
Jackson,28156,2386,2213,42,2021-07-03,2021,7,3,8,1,1,0,12.5,35988,0
Jasper,55901,4571,4140,73,2021-07-03,2021,7,3,30,1,1,0,3.33333333333333,35987,0
Jefferson,23085,1466,1308,35,2021-07-03,2021,7,3,92,0,0,0,0,35986,0
Johnson,229330,15540,14506,85,2021-07-03,2021,7,3,207,2,1,0,0.966183574879227,35985,0
Jones,28809,3143,2953,57,2021-07-03,2021,7,3,23,0,0,0,0,35984,0
Keokuk,16820,1040,933,32,2021-07-03,2021,7,3,22,0,0,0,0,35983,0
Kossuth,28224,2288,2104,66,2021-07-03,2021,7,3,13,0,0,0,0,35982,0
Lee,59489,4108,3763,57,2021-07-03,2021,7,3,48,0,3,0,0,35981,0
Linn,317554,22725,20788,341,2021-07-03,2021,7,3,241,9,11,0,3.7344398340249,35980,0
Louisa,18978,1369,1250,49,2021-07-03,2021,7,3,126,0,1,0,0,35979,0
Lucas,10241,808,759,23,2021-07-03,2021,7,3,3,0,0,0,0,35978,0
