County,IndTested,IndPositive,IndRec,Deaths,Date,Year,Month,Day,NewIndTested,NewIndPositive,NewIndRec,NewDeaths,PosTestRate,ID
Adair,851,20,16,0,2020-07-26,2020,7,26,67,0,0,0,0,3762
Adams,380,13,9,0,2020-07-26,2020,7,26,3,1,0,0,33.3333333333333,3761
Allamakee,1911,145,122,4,2020-07-26,2020,7,26,15,1,0,0,6.66666666666667,3760
Appanoose,1289,36,30,3,2020-07-26,2020,7,26,29,2,0,0,6.89655172413793,3759
Audubon,633,25,15,1,2020-07-26,2020,7,26,2,0,0,0,0,3758
Benton,2929,113,82,1,2020-07-26,2020,7,26,38,4,1,0,10.5263157894737,3757
Black Hawk,22067,2850,2028,61,2020-07-26,2020,7,26,191,20,6,0,10.4712041884817,3756
Boone,3590,214,134,1,2020-07-26,2020,7,26,40,4,0,0,10,3755
Bremer,3129,165,79,7,2020-07-26,2020,7,26,20,2,0,0,10,3754
Buchanan,2569,90,44,1,2020-07-26,2020,7,26,23,2,0,0,8.69565217391304,3753
Buena Vista,7653,1775,1682,12,2020-07-26,2020,7,26,36,1,3,0,2.77777777777778,3752
Butler,2020,97,78,2,2020-07-26,2020,7,26,11,5,0,0,45.4545454545455,3751
Calhoun,1432,73,63,2,2020-07-26,2020,7,26,13,1,0,0,7.69230769230769,3750
Carroll,2919,169,120,1,2020-07-26,2020,7,26,65,8,0,0,12.3076923076923,3749
Cass,1233,37,29,0,2020-07-26,2020,7,26,24,1,0,0,4.16666666666667,3748
Cedar,2205,109,77,1,2020-07-26,2020,7,26,26,2,0,0,7.69230769230769,3747
Cerro Gordo,7186,535,138,16,2020-07-26,2020,7,26,96,16,4,0,16.6666666666667,3746
Cherokee,1575,96,75,1,2020-07-26,2020,7,26,15,2,0,0,13.3333333333333,3745
Chickasaw,1426,45,37,0,2020-07-26,2020,7,26,9,1,0,0,11.1111111111111,3744
Clarke,1357,161,119,3,2020-07-26,2020,7,26,11,1,0,0,9.09090909090909,3743
Clay,2341,166,121,1,2020-07-26,2020,7,26,32,1,3,0,3.125,3742
Clayton,1965,79,52,3,2020-07-26,2020,7,26,18,1,0,0,5.55555555555556,3741
Clinton,4878,235,97,2,2020-07-26,2020,7,26,129,16,3,0,12.4031007751938,3740
Crawford,3395,697,663,3,2020-07-26,2020,7,26,25,5,1,0,20,3739
Dallas,15107,1670,1145,34,2020-07-26,2020,7,26,216,28,5,0,12.962962962963,3738
Davis,738,48,36,1,2020-07-26,2020,7,26,11,0,0,0,0,3737
Decatur,546,17,11,0,2020-07-26,2020,7,26,6,0,0,0,0,3736
Delaware,1893,78,59,1,2020-07-26,2020,7,26,21,3,0,0,14.2857142857143,3735
Des Moines,3789,127,85,2,2020-07-26,2020,7,26,42,0,0,0,0,3734
Dickinson,3568,357,237,4,2020-07-26,2020,7,26,70,2,0,0,2.85714285714286,3733
Dubuque,18480,1355,496,26,2020-07-26,2020,7,26,123,21,1,0,17.0731707317073,3732
Emmet,1362,144,76,1,2020-07-26,2020,7,26,26,5,0,0,19.2307692307692,3731
Fayette,2394,71,33,0,2020-07-26,2020,7,26,20,1,1,0,5,3730
Floyd,2333,95,68,2,2020-07-26,2020,7,26,21,0,0,0,0,3729
Franklin,1583,170,82,3,2020-07-26,2020,7,26,20,4,1,0,20,3728
Fremont,580,24,7,0,2020-07-26,2020,7,26,6,1,0,0,16.6666666666667,3727
Greene,1139,37,29,0,2020-07-26,2020,7,26,10,0,0,0,0,3726
Grundy,1611,65,33,1,2020-07-26,2020,7,26,9,1,0,0,11.1111111111111,3725
Guthrie,1585,119,69,5,2020-07-26,2020,7,26,26,3,3,0,11.5384615384615,3724
Hamilton,2391,217,211,1,2020-07-26,2020,7,26,16,1,8,0,6.25,3723
Hancock,1624,105,67,2,2020-07-26,2020,7,26,18,4,0,0,22.2222222222222,3722
Hardin,2316,138,68,0,2020-07-26,2020,7,26,25,13,0,0,52,3721
Harrison,1432,83,59,0,2020-07-26,2020,7,26,7,2,0,0,28.5714285714286,3720
Henry,2356,104,78,3,2020-07-26,2020,7,26,20,0,0,0,0,3719
Howard,1152,44,26,0,2020-07-26,2020,7,26,16,0,0,0,0,3718
Humboldt,1165,72,64,1,2020-07-26,2020,7,26,21,0,0,0,0,3717
Ida,832,29,21,0,2020-07-26,2020,7,26,5,1,0,0,20,3716
Iowa,2382,75,50,1,2020-07-26,2020,7,26,20,3,0,0,15,3715
Jackson,2368,123,26,0,2020-07-26,2020,7,26,28,4,0,0,14.2857142857143,3714
Jasper,4287,438,312,22,2020-07-26,2020,7,26,60,12,1,0,20,3713
Jefferson,1655,71,51,0,2020-07-26,2020,7,26,19,1,0,0,5.26315789473684,3712
Johnson,22141,1751,1165,10,2020-07-26,2020,7,26,258,23,21,0,8.91472868217054,3711
Jones,2205,107,60,1,2020-07-26,2020,7,26,36,1,0,0,2.77777777777778,3710
Keokuk,976,28,20,1,2020-07-26,2020,7,26,7,1,0,0,14.2857142857143,3709
Kossuth,1790,72,32,0,2020-07-26,2020,7,26,21,0,0,0,0,3708
Lee,2526,76,47,2,2020-07-26,2020,7,26,27,4,0,0,14.8148148148148,3707
Linn,29327,1826,1369,87,2020-07-26,2020,7,26,577,40,0,0,6.93240901213172,3706
Louisa,1720,374,346,13,2020-07-26,2020,7,26,9,0,0,0,0,3705
Lucas,698,40,27,4,2020-07-26,2020,7,26,6,1,0,0,16.6666666666667,3704
Lyon,936,90,73,0,2020-07-26,2020,7,26,6,3,4,0,50,3703
Madison,1950,85,40,2,2020-07-26,2020,7,26,28,1,0,0,3.57142857142857,3702
Mahaska,1859,132,103,17,2020-07-26,2020,7,26,24,0,0,0,0,3701
Marion,2956,136,88,0,2020-07-26,2020,7,26,59,9,1,0,15.2542372881356,3700
Marshall,7512,1298,993,23,2020-07-26,2020,7,26,96,17,2,1,17.7083333333333,3699
Mills,2528,68,34,0,2020-07-26,2020,7,26,32,2,2,0,6.25,3698
Mitchell,1703,76,59,0,2020-07-26,2020,7,26,34,3,2,0,8.82352941176471,3697
Monona,1077,86,70,0,2020-07-26,2020,7,26,14,0,1,0,0,3696
Monroe,730,65,43,7,2020-07-26,2020,7,26,9,0,0,0,0,3695
Montgomery,1097,38,18,2,2020-07-26,2020,7,26,20,7,0,0,35,3694
Muscatine,6158,770,678,46,2020-07-26,2020,7,26,57,7,4,0,12.280701754386,3693
O'Brien,1592,111,82,1,2020-07-26,2020,7,26,12,1,0,0,8.33333333333333,3692
Osceola,580,75,52,0,2020-07-26,2020,7,26,6,1,0,0,16.6666666666667,3691
Page,1621,56,28,0,2020-07-26,2020,7,26,35,15,1,0,42.8571428571429,3690
Palo Alto,1320,63,45,0,2020-07-26,2020,7,26,6,1,0,0,16.6666666666667,3689
Plymouth,3738,411,298,7,2020-07-26,2020,7,26,76,3,1,1,3.94736842105263,3688
