EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Polk,95006,10983,8356,211
Linn,36660,2549,2037,89
Scott,26865,1853,1343,15
Johnson,26610,2191,1664,21
Black Hawk,26089,3297,2652,66
Woodbury,22648,3807,3438,54
Dubuque,21877,1797,1202,31
Story,21040,1398,979,15
Dallas,18667,1990,1538,35
Pottawattamie,16272,1426,1057,29
Marshall,8906,1509,1186,27
Warren,8837,603,421,2
Cerro Gordo,8547,686,446,19
Buena Vista,8081,1804,1744,12
Webster,7474,884,638,8
Muscatine,7226,891,741,48
Pending Investigation,6540,0,0,0
Clinton,6466,508,185,4
Wapello,6174,955,818,37
Jasper,5254,498,396,28
Des Moines,4998,250,113,2
Sioux,4806,693,535,3
Boone,4346,293,189,3
Plymouth,4317,509,384,12
Dickinson,4088,390,336,4
Marion,3874,209,156,0
Bremer,3828,243,133,7
Crawford,3827,754,687,3
Benton,3664,171,108,1
Carroll,3615,223,166,2
Tama,3465,562,483,29
Wright,3456,496,420,1
Lee,3410,154,63,5
Washington,3309,309,276,10
Buchanan,3138,150,72,1
Henry,2899,166,97,4
Mills,2859,98,58,1
Fayette,2845,102,65,0
Floyd,2840,178,137,3
Jackson,2832,169,100,1
Iowa,2829,99,66,1
Clay,2765,215,161,1
Hardin,2743,194,125,0
Jones,2742,139,100,2
Hamilton,2703,262,244,1
Cedar,2612,137,102,1
Delaware,2588,136,106,1
Winneshiek,2566,109,81,1
Madison,2486,134,82,2
Butler,2403,140,116,2
Clayton,2383,120,93,3
Union,2312,88,54,2
Poweshiek,2274,163,120,8
Mahaska,2247,146,117,17
Kossuth,2247,106,69,0
Allamakee,2182,163,139,4
Page,2097,101,85,0
Jefferson,2091,91,67,0
O'Brien,2071,149,111,5
Mitchell,2006,83,69,0
Winnebago,1962,119,62,0
Grundy,1945,91,56,1
Louisa,1932,378,357,14
Hancock,1926,127,116,2
Guthrie,1901,147,110,5
Franklin,1899,265,211,13
Cass,1839,94,65,2
Cherokee,1815,113,101,1
Sac,1805,90,74,0
Chickasaw,1742,68,53,0
Shelby,1737,194,176,1
Harrison,1719,117,94,1
Calhoun,1666,95,78,2
Appanoose,1650,56,44,3
Emmet,1627,199,142,4
Clarke,1609,212,149,3
Palo Alto,1561,102,63,0
Montgomery,1444,64,51,4
Humboldt,1397,133,90,1
Howard,1357,65,42,0
Greene,1317,42,38,0
Pocahontas,1259,122,108,2
Monona,1222,93,81,1
Worth,1188,71,46,0
Lyon,1174,128,108,2
Keokuk,1158,43,23,1
Adair,1121,38,20,0
Ida,982,34,25,0
Taylor,941,104,90,0
Lucas,938,75,34,4
Davis,890,65,45,2
Monroe,885,78,54,8
Van Buren,800,42,22,1
Audubon,761,30,21,1
Fremont,752,46,19,0
Ringgold,748,24,20,1
Osceola,683,89,73,0
Decatur,639,29,23,0
Wayne,540,25,14,1
Adams,443,17,16,0
