EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Polk,90062,10489,7954,208
Linn,35306,2439,1868,88
Scott,25775,1754,1280,14
Johnson,25706,2122,1593,20
Black Hawk,25158,3173,2566,66
Woodbury,21917,3750,3394,52
Dubuque,21098,1719,1106,31
Dallas,17692,1904,1480,35
Story,16691,1175,913,15
Pottawattamie,15561,1344,1006,29
Marshall,8580,1452,1136,26
Warren,8300,577,388,1
Cerro Gordo,8277,642,394,17
Buena Vista,7961,1797,1736,12
Webster,6985,839,526,8
Muscatine,6924,854,738,48
Clinton,6135,421,160,4
Pending Investigation,6114,3,0,0
Wapello,6000,925,789,33
Jasper,5010,483,383,27
Des Moines,4648,193,107,2
Sioux,4366,648,528,3
Plymouth,4153,473,371,12
Boone,4142,263,178,3
Dickinson,3984,385,313,4
Crawford,3716,736,684,3
Bremer,3672,230,120,7
Marion,3594,176,152,0
Benton,3539,160,101,1
Carroll,3449,195,164,2
Wright,3324,478,417,1
Tama,3318,555,475,29
Washington,3200,305,274,10
Lee,3187,121,54,4
Buchanan,3021,130,67,1
Mills,2784,92,54,1
Henry,2768,136,93,4
Iowa,2741,97,64,1
Jackson,2739,158,88,1
Fayette,2738,86,65,0
Floyd,2723,160,126,3
Hardin,2667,185,109,0
Clay,2642,203,155,1
Hamilton,2640,252,241,1
Jones,2629,133,89,2
Cedar,2528,134,102,1
Delaware,2491,121,90,1
Winneshiek,2398,97,77,1
Madison,2369,126,70,2
Butler,2313,125,109,2
Clayton,2292,106,90,3
Union,2231,78,53,1
Poweshiek,2165,159,112,8
Mahaska,2159,142,116,17
Allamakee,2117,158,136,4
Kossuth,2095,95,62,0
Page,2034,95,73,0
Jefferson,1997,87,64,0
O'Brien,1981,142,106,5
Mitchell,1947,80,67,0
Grundy,1887,81,54,1
Louisa,1861,378,355,14
Hancock,1857,123,110,2
Franklin,1834,248,198,12
Guthrie,1810,137,106,5
Cherokee,1750,110,96,1
Sac,1744,86,71,0
Cass,1695,79,47,1
Chickasaw,1675,56,53,0
Winnebago,1672,89,53,0
Shelby,1658,187,166,1
Harrison,1645,109,88,1
Calhoun,1599,86,77,2
Emmet,1592,193,130,4
Clarke,1560,205,147,3
Appanoose,1544,51,40,3
Palo Alto,1495,90,58,0
Montgomery,1396,60,41,4
Humboldt,1333,119,87,1
Howard,1300,50,40,0
Greene,1274,42,37,0
Pocahontas,1219,118,107,2
Monona,1185,91,80,0
Worth,1147,67,36,0
Keokuk,1114,38,23,1
Lyon,1109,117,100,2
Adair,1010,31,20,0
Ida,915,31,24,0
Taylor,913,100,90,0
Lucas,886,73,33,4
Monroe,860,74,50,8
Davis,845,61,43,2
Van Buren,757,36,22,1
Ringgold,737,23,20,1
Audubon,736,29,18,1
Fremont,721,43,19,0
Osceola,657,84,71,0
Decatur,626,26,22,0
Wayne,511,20,14,1
Adams,434,17,15,0
