EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Polk,97106,11197,8653,212
Linn,37306,2613,2166,90
Scott,27344,1893,1428,17
Johnson,27266,2271,1719,22
Black Hawk,26589,3375,2717,67
Woodbury,22992,3849,3480,54
Dubuque,22323,1844,1281,33
Story,21631,1422,1021,16
Dallas,19042,2014,1596,35
Pottawattamie,16528,1459,1122,30
Warren,9046,611,442,3
Marshall,9023,1525,1248,28
Cerro Gordo,8711,671,488,20
Webster,8199,682,555,8
Buena Vista,8128,1808,1752,12
Muscatine,7354,901,744,48
Pending Investigation,6764,2,0,0
Clinton,6652,555,199,4
Wapello,6283,969,853,39
Jasper,5370,507,401,29
Des Moines,5194,303,121,2
Sioux,4913,712,548,3
Boone,4453,298,204,3
Plymouth,4417,541,394,14
Dickinson,4128,392,343,5
Marion,3984,221,163,0
Bremer,3894,248,146,7
Crawford,3887,765,689,3
Benton,3738,178,117,1
Carroll,3718,244,174,2
Lee,3673,182,68,5
Wright,3511,485,424,1
Tama,3509,570,486,29
Washington,3356,312,284,10
Buchanan,3212,152,83,1
Henry,2984,178,99,4
Fayette,2927,113,68,0
Floyd,2914,171,144,3
Mills,2895,103,63,1
Jackson,2888,173,110,1
Iowa,2866,101,70,1
Clay,2826,221,163,1
Hamilton,2795,239,226,1
Jones,2793,140,105,2
Hardin,2774,195,135,1
Winneshiek,2705,120,86,1
Delaware,2678,147,117,2
Cedar,2656,139,105,1
Madison,2537,140,86,2
Clayton,2471,132,96,3
Butler,2441,143,123,2
Union,2335,89,56,3
Poweshiek,2316,167,127,8
Kossuth,2311,106,74,0
Mahaska,2295,150,120,17
Allamakee,2216,163,140,4
Page,2135,104,95,0
Jefferson,2133,95,68,0
O'Brien,2113,155,120,6
Mitchell,2031,84,71,0
Winnebago,2015,119,65,1
Grundy,1992,96,60,1
Louisa,1963,379,358,14
Hancock,1954,126,116,2
Franklin,1940,267,218,16
Guthrie,1935,150,113,5
Cass,1865,96,75,2
Cherokee,1848,120,102,1
Sac,1830,94,74,0
Chickasaw,1781,74,62,0
Shelby,1770,199,180,1
Harrison,1758,124,100,1
Calhoun,1726,92,72,2
Appanoose,1698,59,46,3
Clarke,1656,213,153,3
Emmet,1655,206,151,5
Palo Alto,1587,101,64,0
Humboldt,1508,97,75,2
Montgomery,1470,66,55,4
Howard,1385,69,45,0
Greene,1348,43,38,0
Pocahontas,1293,119,106,2
Monona,1247,93,84,1
Worth,1205,71,49,0
Lyon,1203,132,114,2
Keokuk,1182,46,25,1
Adair,1142,42,20,1
Ida,1027,34,26,0
Lucas,966,78,35,4
Taylor,954,104,91,0
Davis,912,72,48,2
Monroe,911,82,56,8
Van Buren,819,42,22,1
Fremont,788,46,22,0
Decatur,779,31,24,0
Audubon,772,30,21,1
Ringgold,772,25,21,1
Osceola,698,90,75,0
Wayne,568,27,19,2
Adams,448,17,16,0
