EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Polk,119606,14556,10869,251
Linn,45158,3473,2736,100
Johnson,35955,4784,2198,26
Scott,33036,2504,1877,25
Black Hawk,31575,4161,3244,81
Story,27636,3100,1366,17
Woodbury,26611,4496,3779,58
Dubuque,26434,2368,1784,37
Dallas,23219,2576,1978,38
Pottawattamie,19068,1796,1540,36
Warren,11327,902,597,6
Webster,11070,1143,691,14
Cerro Gordo,10390,930,651,21
Marshall,10165,1738,1483,32
Buena Vista,8741,1893,1790,12
Clinton,8662,980,516,16
Muscatine,8634,1029,849,52
Des Moines,7795,679,272,6
Wapello,7490,1182,1013,56
Jasper,6824,672,476,31
Sioux,6162,1063,701,3
Marion,6106,647,367,3
Plymouth,5759,909,504,20
Lee,5524,544,168,6
Boone,5389,405,287,5
Carroll,4929,524,239,5
Dickinson,4703,449,385,6
Bremer,4658,420,239,7
Crawford,4521,896,752,4
Benton,4470,239,171,1
Henry,4445,459,162,4
Washington,4264,388,318,11
Mahaska,4257,289,184,18
Tama,4069,668,542,30
Wright,4008,539,481,1
Buchanan,3848,206,147,1
Fayette,3537,167,102,1
Winneshiek,3506,259,148,5
Floyd,3500,259,205,3
Jackson,3447,260,170,2
Iowa,3444,157,100,1
Delaware,3436,280,244,3
Jones,3433,214,146,3
Hamilton,3372,305,246,3
Cedar,3331,199,136,1
Mills,3302,145,100,1
Clay,3279,251,217,3
Hardin,3278,258,189,1
Poweshiek,3124,215,173,8
Madison,3105,182,145,2
Butler,2943,239,212,2
Clayton,2932,214,179,3
Kossuth,2875,162,105,0
Union,2757,103,83,3
Winnebago,2642,193,113,10
Allamakee,2593,215,159,5
O'Brien,2536,247,148,8
Jefferson,2535,126,92,1
Mitchell,2492,161,82,0
Grundy,2463,173,90,2
Page,2434,132,118,0
Guthrie,2369,198,147,5
Hancock,2336,168,148,2
Franklin,2319,321,269,17
Appanoose,2283,109,91,3
Chickasaw,2273,184,88,0
Sac,2266,139,91,0
Cherokee,2256,159,131,2
Cass,2256,122,113,2
Louisa,2255,404,363,14
Harrison,2213,160,142,2
Calhoun,2172,148,101,2
Shelby,2115,233,221,1
Clarke,2022,249,209,3
Humboldt,2012,164,99,2
Emmet,1967,235,195,9
Palo Alto,1892,136,102,0
Howard,1803,170,81,4
Montgomery,1687,83,78,5
Greene,1627,70,42,0
Pocahontas,1532,144,115,2
Monona,1497,114,93,1
Worth,1464,95,72,0
Lyon,1457,182,152,3
Keokuk,1451,80,40,1
Pending Investigation,1433,34,0,0
Adair,1399,56,39,1
Lucas,1375,117,72,6
Decatur,1311,53,29,0
Ida,1290,66,34,0
Monroe,1212,130,74,8
Davis,1121,106,66,4
Taylor,1110,114,108,1
Van Buren,1100,108,40,1
Ringgold,1004,37,30,2
Wayne,953,72,44,2
Audubon,943,43,29,1
Fremont,941,65,45,0
Osceola,798,104,90,0
Adams,559,26,21,0
