County,IndTested,IndPositive,IndRec,Deaths,Date,Year,Month,Day,NewIndTested,NewIndPositive,NewIndRec,NewDeaths,PosTestRate,ID,PosTestRate14
Adair,10694,916,674,26,2021-02-25,2021,2,25,65,5,1,0,7.69230769230769,23958,0
Adams,4546,326,303,4,2021-02-25,2021,2,25,16,1,0,0,6.25,23957,0
Allamakee,17901,1436,1279,45,2021-02-25,2021,2,25,102,0,0,1,0,23956,0
Appanoose,15285,1381,1104,47,2021-02-25,2021,2,25,60,2,1,0,3.33333333333333,23955,0
Audubon,9945,483,420,9,2021-02-25,2021,2,25,60,0,3,0,0,23954,0
Benton,30879,2507,2113,54,2021-02-25,2021,2,25,145,14,10,0,9.6551724137931,23953,0
Black Hawk,182363,16191,14009,287,2021-02-25,2021,2,25,951,21,41,1,2.20820189274448,23952,0
Boone,37816,2582,2247,30,2021-02-25,2021,2,25,123,4,16,0,3.2520325203252,23951,0
Bremer,31485,2768,2469,54,2021-02-25,2021,2,25,102,7,10,0,6.86274509803922,23950,0
Buchanan,25305,1838,1617,30,2021-02-25,2021,2,25,104,6,7,0,5.76923076923077,23949,0
Buena Vista,39127,4701,3969,36,2021-02-25,2021,2,25,144,4,8,0,2.77777777777778,23948,0
Butler,24712,1657,1497,31,2021-02-25,2021,2,25,83,0,1,0,0,23947,0
Calhoun,15787,1331,1235,11,2021-02-25,2021,2,25,55,0,2,1,0,23946,0
Carroll,31176,2848,2552,48,2021-02-25,2021,2,25,99,2,2,0,2.02020202020202,23945,0
Cass,17909,1326,1119,48,2021-02-25,2021,2,25,67,5,7,0,7.46268656716418,23944,0
Cedar,25580,1759,1551,22,2021-02-25,2021,2,25,101,4,5,0,3.96039603960396,23943,0
Cerro Gordo,65923,5318,4727,80,2021-02-25,2021,2,25,315,7,12,0,2.22222222222222,23942,0
Cherokee,17274,1534,1376,35,2021-02-25,2021,2,25,29,0,4,0,0,23941,0
Chickasaw,15038,1245,1139,13,2021-02-25,2021,2,25,49,0,1,0,0,23940,0
Clarke,11586,994,810,20,2021-02-25,2021,2,25,114,5,5,0,4.3859649122807,23939,0
Clay,25121,1929,1726,25,2021-02-25,2021,2,25,113,1,3,0,0.88495575221239,23938,0
Clayton,20845,1678,1506,53,2021-02-25,2021,2,25,134,1,2,0,0.746268656716418,23937,0
Clinton,52421,5412,4586,83,2021-02-25,2021,2,25,320,15,24,0,4.6875,23936,0
Crawford,23121,2721,2339,35,2021-02-25,2021,2,25,42,6,3,0,14.2857142857143,23935,0
Dallas,107985,11258,9190,90,2021-02-25,2021,2,25,462,43,57,0,9.30735930735931,23934,0
Davis,9129,822,693,23,2021-02-25,2021,2,25,33,1,2,0,3.03030303030303,23933,0
Decatur,8671,572,506,9,2021-02-25,2021,2,25,17,0,3,0,0,23932,0
Delaware,22880,1887,1743,39,2021-02-25,2021,2,25,50,1,5,0,2,23931,0
Des Moines,46854,4552,3964,61,2021-02-25,2021,2,25,287,11,15,2,3.83275261324042,23930,0
Dickinson,21916,2165,1870,38,2021-02-25,2021,2,25,96,6,1,0,6.25,23929,0
Dubuque,158590,13483,11597,194,2021-02-25,2021,2,25,676,42,31,0,6.21301775147929,23928,0
Emmet,14104,1208,1069,40,2021-02-25,2021,2,25,167,0,0,0,0,23927,0
Fayette,29601,1840,1659,34,2021-02-25,2021,2,25,161,1,5,1,0.62111801242236,23926,0
Floyd,21875,1622,1392,39,2021-02-25,2021,2,25,55,2,8,0,3.63636363636364,23925,0
Franklin,17280,1183,1033,19,2021-02-25,2021,2,25,76,2,6,0,2.63157894736842,23924,0
Fremont,6375,586,530,9,2021-02-25,2021,2,25,60,5,1,0,8.33333333333333,23923,0
Greene,12836,767,694,10,2021-02-25,2021,2,25,29,0,2,0,0,23922,0
Grundy,16356,1384,1210,30,2021-02-25,2021,2,25,103,3,2,0,2.9126213592233,23921,0
Guthrie,15158,1161,1027,28,2021-02-25,2021,2,25,36,1,4,0,2.77777777777778,23920,0
Hamilton,20540,1915,1604,41,2021-02-25,2021,2,25,106,3,8,0,2.83018867924528,23919,0
Hancock,18216,1465,1316,29,2021-02-25,2021,2,25,99,1,4,0,1.01010101010101,23918,0
Hardin,28981,1799,1564,39,2021-02-25,2021,2,25,103,2,-1,1,1.94174757281553,23917,0
Harrison,17686,1788,1539,69,2021-02-25,2021,2,25,50,4,7,0,8,23916,0
Henry,31087,2930,2680,35,2021-02-25,2021,2,25,95,2,13,0,2.10526315789474,23915,0
Howard,14079,1027,870,21,2021-02-25,2021,2,25,65,3,10,0,4.61538461538462,23914,0
Humboldt,13262,1168,1056,25,2021-02-25,2021,2,25,27,1,1,0,3.7037037037037,23913,0
Ida,10081,907,743,32,2021-02-25,2021,2,25,13,1,6,0,7.69230769230769,23912,0
Iowa,25020,1440,1281,23,2021-02-25,2021,2,25,73,3,7,0,4.10958904109589,23911,0
Jackson,21798,2207,1951,38,2021-02-25,2021,2,25,79,5,10,0,6.32911392405063,23910,0
Jasper,42694,4071,3358,65,2021-02-25,2021,2,25,238,15,22,0,6.30252100840336,23909,0
Jefferson,17332,1375,1218,32,2021-02-25,2021,2,25,75,3,2,0,4,23908,0
Johnson,178106,13756,12316,73,2021-02-25,2021,2,25,887,33,34,0,3.72040586245772,23907,0
Jones,21891,2937,2720,54,2021-02-25,2021,2,25,64,6,4,0,9.375,23906,0
Keokuk,13068,975,845,29,2021-02-25,2021,2,25,50,0,-2,0,0,23905,0
Kossuth,21561,2074,1815,54,2021-02-25,2021,2,25,156,6,6,0,3.84615384615385,23904,0
Lee,45907,3730,3297,51,2021-02-25,2021,2,25,318,6,23,0,1.88679245283019,23903,0
Linn,245455,20542,18029,312,2021-02-25,2021,2,25,1036,28,81,1,2.7027027027027,23902,0
Louisa,14838,1278,1144,41,2021-02-25,2021,2,25,72,1,8,0,1.38888888888889,23901,0
Lucas,7939,729,655,21,2021-02-25,2021,2,25,19,1,2,0,5.26315789473684,23900,0
Lyon,12781,1455,1359,41,2021-02-25,2021,2,25,95,4,1,0,4.21052631578947,23899,0
Madison,16994,1535,1277,18,2021-02-25,2021,2,25,71,0,9,0,0,23898,0
Mahaska,25976,2232,1966,46,2021-02-25,2021,2,25,86,2,10,1,2.32558139534884,23897,0
Marion,34679,3567,3115,69,2021-02-25,2021,2,25,143,3,16,0,2.0979020979021,23896,0
Marshall,69544,4940,4303,72,2021-02-25,2021,2,25,197,5,14,0,2.53807106598985,23895,0
Mills,18938,1624,1382,20,2021-02-25,2021,2,25,110,5,5,0,4.54545454545455,23894,0
Mitchell,15020,1300,1149,40,2021-02-25,2021,2,25,36,2,3,0,5.55555555555556,23893,0
Monona,15389,814,704,26,2021-02-25,2021,2,25,31,1,1,1,3.2258064516129,23892,0
Monroe,8247,925,809,28,2021-02-25,2021,2,25,35,3,3,0,8.57142857142857,23891,0
Montgomery,12169,1039,887,36,2021-02-25,2021,2,25,83,3,9,0,3.6144578313253,23890,0
Muscatine,45658,4476,3900,91,2021-02-25,2021,2,25,245,14,9,2,5.71428571428571,23889,0
O'Brien,21626,1928,1668,58,2021-02-25,2021,2,25,70,6,0,0,8.57142857142857,23888,0
Osceola,6769,700,641,14,2021-02-25,2021,2,25,28,2,2,0,7.14285714285714,23887,0
Page,17312,1816,1680,19,2021-02-25,2021,2,25,82,0,7,0,0,23886,0
Palo Alto,15470,1041,914,21,2021-02-25,2021,2,25,14,0,2,0,0,23885,0
Plymouth,32885,3932,3483,77,2021-02-25,2021,2,25,74,9,4,0,12.1621621621622,23884,0
Pocahontas,11249,851,773,19,2021-02-25,2021,2,25,14,1,0,0,7.14285714285714,23883,0
Polk,570503,57712,47154,545,2021-02-25,2021,2,25,2407,157,227,0,6.52264229331118,23882,0
Pottawattamie,101995,10719,9162,141,2021-02-25,2021,2,25,469,33,33,1,7.0362473347548,23881,0
Poweshiek,34086,1536,1365,30,2021-02-25,2021,2,25,341,4,12,1,1.17302052785924,23880,0
Ringgold,8482,516,455,20,2021-02-25,2021,2,25,33,0,-3,4,0,23879,0
Sac,16717,1238,1124,18,2021-02-25,2021,2,25,24,2,3,0,8.33333333333333,23878,0
Scott,175904,18214,15935,205,2021-02-25,2021,2,25,586,26,57,0,4.43686006825939,23877,0
Shelby,13917,1201,1065,33,2021-02-25,2021,2,25,94,3,8,0,3.19148936170213,23876,0
Sioux,36623,4917,4550,69,2021-02-25,2021,2,25,123,8,3,1,6.50406504065041,23875,0
Story,137421,10139,8903,45,2021-02-25,2021,2,25,690,23,41,0,3.33333333333333,23874,0
Tama,27844,2116,1865,64,2021-02-25,2021,2,25,127,2,5,0,1.5748031496063,23873,0
Taylor,7214,663,603,12,2021-02-25,2021,2,25,36,1,2,0,2.77777777777778,23872,0
Union,14776,1261,1112,31,2021-02-25,2021,2,25,72,1,2,0,1.38888888888889,23871,0
Van Buren,7202,560,497,18,2021-02-25,2021,2,25,25,2,4,0,8,23870,0
Wapello,39120,4270,3524,108,2021-02-25,2021,2,25,149,9,11,1,6.04026845637584,23869,0
Warren,62742,5502,4650,72,2021-02-25,2021,2,25,201,12,29,1,5.97014925373134,23868,0
Washington,34843,2539,2227,47,2021-02-25,2021,2,25,175,5,5,2,2.85714285714286,23867,0
Wayne,5041,486,402,21,2021-02-25,2021,2,25,17,1,0,0,5.88235294117647,23866,0
Webster,59673,5155,4694,86,2021-02-25,2021,2,25,121,1,10,0,0.826446280991736,23865,0
Winnebago,14858,1373,1212,30,2021-02-25,2021,2,25,61,0,6,0,0,23864,0
Winneshiek,30207,1871,1613,26,2021-02-25,2021,2,25,175,4,6,0,2.28571428571429,23863,0
Woodbury,122244,14884,13038,211,2021-02-25,2021,2,25,434,32,18,0,7.37327188940092,23862,0
Worth,10734,692,622,7,2021-02-25,2021,2,25,28,4,1,0,14.2857142857143,23861,0
Wright,18503,1793,1665,31,2021-02-25,2021,2,25,38,3,3,0,7.89473684210526,23860,0
