EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Polk,82683,9658,6584,202
Linn,31847,2067,1572,87
Johnson,23623,1907,1374,15
Black Hawk,23471,2987,2253,62
Scott,23266,1576,870,12
Woodbury,20767,3632,3241,49
Dubuque,19564,1514,727,29
Dallas,16258,1780,1270,35
Pottawattamie,14492,1206,781,21
Story,12311,1104,808,13
Marshall,8056,1382,1043,24
Buena Vista,7776,1783,1709,12
Cerro Gordo,7708,579,222,17
Warren,7552,523,292,1
Webster,6608,711,355,5
Muscatine,6457,816,691,47
Wapello,5552,836,743,31
Clinton,5421,310,112,3
Pending Investigation,5254,7,0,0
Jasper,4574,453,334,24
Des Moines,4141,137,88,2
Sioux,4010,589,476,2
Plymouth,3924,440,321,8
Boone,3798,228,152,2
Dickinson,3724,374,261,4
Crawford,3527,712,673,3
Bremer,3328,187,91,7
Benton,3222,139,88,1
Marion,3214,152,107,0
Carroll,3206,178,144,1
Wright,3146,441,386,1
Tama,3129,535,442,29
Washington,2996,285,261,10
Lee,2794,89,52,3
Buchanan,2755,109,58,1
Mills,2653,79,38,0
Henry,2554,111,83,3
Iowa,2545,90,52,1
Fayette,2543,77,51,0
Jackson,2534,137,37,1
Hamilton,2518,239,219,1
Hardin,2493,163,81,0
Floyd,2472,121,90,2
Clay,2460,170,136,1
Jones,2408,122,68,1
Cedar,2326,119,84,1
Winneshiek,2162,81,55,1
Butler,2142,111,92,2
Madison,2136,100,51,2
Clayton,2112,97,71,3
Delaware,2064,90,72,1
Union,2027,70,31,1
Allamakee,1980,149,132,4
Mahaska,1975,135,104,17
Poweshiek,1933,146,105,8
Kossuth,1910,77,36,0
O'Brien,1829,129,90,1
Mitchell,1823,76,66,0
Page,1811,71,42,0
Louisa,1787,377,349,14
Jefferson,1778,76,63,0
Grundy,1759,72,40,1
Hancock,1737,115,89,2
Franklin,1689,212,132,4
Guthrie,1683,126,80,5
Sac,1637,81,65,0
Cherokee,1625,97,84,1
Chickasaw,1556,50,45,0
Shelby,1533,158,132,1
Harrison,1531,96,69,0
Calhoun,1503,81,69,2
Winnebago,1499,73,32,0
Emmet,1473,178,102,1
Clarke,1440,182,130,3
Palo Alto,1397,77,46,0
Cass,1364,47,34,1
Appanoose,1362,42,32,3
Howard,1226,48,35,0
Humboldt,1220,89,72,1
Montgomery,1203,43,29,3
Greene,1188,38,32,0
Pocahontas,1155,113,95,1
Monona,1129,90,78,0
Worth,1072,61,21,0
Keokuk,1036,30,21,1
Lyon,1008,99,82,0
Adair,894,20,16,0
Ida,866,29,23,0
Taylor,850,93,83,0
Monroe,785,66,45,7
Davis,773,49,41,1
Lucas,751,43,28,4
Ringgold,699,21,20,1
Audubon,693,28,15,1
Van Buren,670,31,19,1
Fremont,656,35,10,0
Osceola,603,77,63,0
Decatur,584,21,11,0
Wayne,449,15,10,1
Adams,402,16,10,0
