County,IndTested,IndPositive,IndRec,Deaths,Date,Year,Month,Day,NewIndTested,NewIndPositive,NewIndRec,NewDeaths,PosTestRate,ID,PosTestRate14
Adair,2951,603,461,17,2020-12-31,2020,12,31,16,11,8,0,68.75,18513,0
Adams,1279,264,187,2,2020-12-31,2020,12,31,7,6,3,0,85.7142857142857,18512,0
Allamakee,4934,1177,889,25,2020-12-31,2020,12,31,15,6,23,1,40,18511,0
Appanoose,4804,968,828,36,2020-12-31,2020,12,31,16,8,4,1,50,18510,0
Audubon,2054,369,307,7,2020-12-31,2020,12,31,4,0,2,0,0,18509,0
Benton,10326,1978,1751,37,2020-12-31,2020,12,31,33,5,15,0,15.1515151515152,18508,0
Black Hawk,57260,12748,11240,218,2020-12-31,2020,12,31,142,59,68,0,41.5492957746479,18507,0
Boone,10863,1896,1474,15,2020-12-31,2020,12,31,23,18,18,0,78.2608695652174,18506,0
Bremer,9488,2261,2045,44,2020-12-31,2020,12,31,20,7,17,0,35,18505,0
Buchanan,7631,1438,1226,16,2020-12-31,2020,12,31,15,1,10,0,6.66666666666667,18504,0
Buena Vista,12848,3699,3172,26,2020-12-31,2020,12,31,47,28,31,1,59.5744680851064,18503,0
Butler,5614,1268,1084,22,2020-12-31,2020,12,31,12,6,16,1,50,18502,0
Calhoun,4569,1173,1091,9,2020-12-31,2020,12,31,4,0,4,0,0,18501,0
Carroll,9567,2363,2029,30,2020-12-31,2020,12,31,25,8,17,3,32,18500,0
Cass,5141,1039,829,38,2020-12-31,2020,12,31,37,17,10,0,45.945945945946,18499,0
Cedar,7321,1392,1142,18,2020-12-31,2020,12,31,29,19,17,0,65.5172413793104,18498,0
Cerro Gordo,19780,4323,3717,62,2020-12-31,2020,12,31,55,15,26,1,27.2727272727273,18497,0
Cherokee,4909,1229,971,22,2020-12-31,2020,12,31,35,5,19,2,14.2857142857143,18496,0
Chickasaw,4341,1035,917,11,2020-12-31,2020,12,31,13,5,8,0,38.4615384615385,18495,0
Clarke,3780,682,508,6,2020-12-31,2020,12,31,14,6,6,0,42.8571428571429,18494,0
Clay,6873,1538,1259,12,2020-12-31,2020,12,31,15,7,20,0,46.6666666666667,18493,0
Clayton,5653,1379,1161,46,2020-12-31,2020,12,31,20,9,8,4,45,18492,0
Clinton,17805,4131,3491,55,2020-12-31,2020,12,31,42,25,53,1,59.5238095238095,18491,0
Crawford,7380,2124,1827,22,2020-12-31,2020,12,31,22,15,10,0,68.1818181818182,18490,0
Dallas,43411,7899,6645,66,2020-12-31,2020,12,31,155,53,76,0,34.1935483870968,18489,0
Davis,2591,637,524,20,2020-12-31,2020,12,31,4,1,11,2,25,18488,0
Decatur,2766,429,345,3,2020-12-31,2020,12,31,6,5,7,0,83.3333333333333,18487,0
Delaware,6572,1630,1469,29,2020-12-31,2020,12,31,10,4,10,0,40,18486,0
Des Moines,17282,3521,3037,34,2020-12-31,2020,12,31,83,58,39,0,69.8795180722892,18485,0
Dickinson,8669,1704,1455,19,2020-12-31,2020,12,31,40,23,9,2,57.5,18484,0
Dubuque,47856,10585,9448,136,2020-12-31,2020,12,31,102,28,51,1,27.4509803921569,18483,0
Emmet,4138,1006,816,24,2020-12-31,2020,12,31,16,10,6,0,62.5,18482,0
Fayette,7333,1398,1108,19,2020-12-31,2020,12,31,17,14,9,2,82.3529411764706,18481,0
Floyd,6328,1278,1113,34,2020-12-31,2020,12,31,17,6,18,1,35.2941176470588,18480,0
Franklin,4154,896,755,17,2020-12-31,2020,12,31,8,6,4,0,75,18479,0
Fremont,2203,466,394,5,2020-12-31,2020,12,31,4,4,4,0,100,18478,0
Greene,3491,645,543,7,2020-12-31,2020,12,31,7,1,2,0,14.2857142857143,18477,0
Grundy,4649,1084,889,17,2020-12-31,2020,12,31,10,10,6,1,100,18476,0
Guthrie,4646,949,787,23,2020-12-31,2020,12,31,20,6,10,1,30,18475,0
Hamilton,6176,1472,1205,24,2020-12-31,2020,12,31,22,7,10,1,31.8181818181818,18474,0
Hancock,4845,1174,918,24,2020-12-31,2020,12,31,15,10,10,0,66.6666666666667,18473,0
Hardin,6828,1451,1237,26,2020-12-31,2020,12,31,14,7,18,1,50,18472,0
