EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Polk,117486,14315,10651,248
Linn,44390,3385,2684,100
Johnson,35391,4712,2152,26
Scott,32368,2433,1819,25
Black Hawk,31164,4103,3173,81
Story,27149,3027,1330,16
Woodbury,26155,4409,3746,58
Dubuque,25997,2281,1742,37
Dallas,22725,2532,1939,38
Pottawattamie,18783,1740,1513,35
Warren,11053,878,588,6
Webster,10930,1116,689,13
Cerro Gordo,10280,920,640,21
Marshall,10063,1730,1456,32
Buena Vista,8643,1875,1788,12
Clinton,8525,952,454,15
Muscatine,8510,1022,834,52
Des Moines,7667,665,221,6
Wapello,7385,1163,994,56
Jasper,6685,659,468,31
Sioux,6051,1025,670,3
Marion,5964,619,327,3
Plymouth,5625,885,475,20
Lee,5400,531,138,6
Boone,5250,396,278,5
Carroll,4823,503,232,5
Dickinson,4657,446,379,6
Bremer,4574,408,234,7
Crawford,4429,880,743,3
Benton,4398,231,162,1
Henry,4370,450,145,4
Washington,4164,378,314,11
Mahaska,4143,273,177,18
Tama,4029,662,535,30
Wright,3967,531,471,1
Buchanan,3785,201,139,1
Fayette,3493,164,95,1
Floyd,3447,250,197,3
Winneshiek,3434,251,137,5
Jackson,3397,250,165,2
Delaware,3381,273,233,3
Iowa,3349,148,98,1
Hamilton,3334,304,244,2
Jones,3334,204,144,3
Mills,3271,139,94,1
Cedar,3242,188,134,1
Hardin,3232,254,186,1
Clay,3232,247,211,3
Poweshiek,3070,210,170,8
Madison,3036,175,142,2
Clayton,2902,209,175,3
Butler,2902,235,210,2
Kossuth,2800,149,102,0
Union,2708,97,80,3
Winnebago,2601,187,104,10
Allamakee,2559,210,157,5
O'Brien,2509,235,145,8
Jefferson,2494,123,90,1
Mitchell,2432,147,80,0
Grundy,2406,155,88,2
Page,2373,127,116,0
Hancock,2305,166,148,2
Guthrie,2296,188,144,5
Franklin,2295,316,268,17
Cherokee,2230,154,131,2
Louisa,2228,402,363,14
Cass,2206,119,111,2
Sac,2199,131,88,0
Chickasaw,2192,164,83,0
Appanoose,2191,104,89,3
Harrison,2153,158,139,2
Calhoun,2142,142,101,2
Shelby,2067,230,216,1
Clarke,2004,248,205,3
Humboldt,1974,160,99,2
Emmet,1934,232,192,9
Palo Alto,1865,131,97,0
Howard,1736,162,74,3
Montgomery,1661,83,78,5
Greene,1610,69,42,0
Pocahontas,1503,140,114,2
Monona,1481,111,93,1
Worth,1441,90,72,0
Keokuk,1420,78,40,1
Lyon,1417,176,146,3
Adair,1367,55,37,1
Lucas,1329,114,68,6
Decatur,1274,51,27,0
Ida,1251,58,33,0
Monroe,1191,125,72,8
Pending Investigation,1182,0,0,0
Davis,1110,103,64,4
Taylor,1084,114,106,1
Van Buren,1057,108,38,1
Ringgold,981,35,28,2
Fremont,925,63,44,0
Audubon,922,42,29,1
Wayne,921,69,43,2
Osceola,789,101,88,0
Adams,546,23,21,0
