County,IndTested,IndPositive,IndRec,Deaths,Date,Year,Month,Day,NewIndTested,NewIndPositive,NewIndRec,NewDeaths,PosTestRate,ID
Adair,415,14,11,0,2020-06-27,2020,6,27,3,0,0,0,0,693
Adams,245,8,5,0,2020-06-27,2020,6,27,0,0,0,0,,692
Allamakee,1227,122,90,4,2020-06-27,2020,6,27,4,0,0,0,0,691
Appanoose,795,20,17,3,2020-06-27,2020,6,27,2,0,0,0,0,690
Audubon,449,18,11,1,2020-06-27,2020,6,27,0,0,0,0,,689
Benton,1823,55,42,1,2020-06-27,2020,6,27,15,0,0,0,0,688
Black Hawk,14101,2008,1202,57,2020-06-27,2020,6,27,9,3,1,0,33.3333333333333,687
Boone,2518,131,83,1,2020-06-27,2020,6,27,26,0,1,0,0,686
Bremer,2097,85,75,6,2020-06-27,2020,6,27,3,0,0,0,0,685
Buchanan,1675,42,31,1,2020-06-27,2020,6,27,9,0,0,0,0,684
Buena Vista,6866,1689,625,11,2020-06-27,2020,6,27,1,1,10,0,100,683
Butler,1371,41,30,2,2020-06-27,2020,6,27,0,0,0,0,,682
Calhoun,964,39,19,0,2020-06-27,2020,6,27,36,4,0,0,11.1111111111111,681
Carroll,1698,76,56,1,2020-06-27,2020,6,27,12,2,0,0,16.6666666666667,680
Cass,767,17,16,0,2020-06-27,2020,6,27,5,0,0,0,0,679
Cedar,1503,70,50,1,2020-06-27,2020,6,27,14,0,0,0,0,678
Cerro Gordo,4069,84,32,1,2020-06-27,2020,6,27,2,1,1,0,50,677
Cherokee,966,69,56,0,2020-06-27,2020,6,27,6,0,0,0,0,676
Chickasaw,1037,24,18,0,2020-06-27,2020,6,27,99,0,0,0,0,675
Clarke,954,120,83,2,2020-06-27,2020,6,27,2,1,0,0,50,674
Clay,1447,116,75,0,2020-06-27,2020,6,27,6,0,1,0,0,673
Clayton,1295,38,31,3,2020-06-27,2020,6,27,3,2,0,0,66.6666666666667,672
Clinton,3017,87,67,1,2020-06-27,2020,6,27,67,0,0,0,0,671
Crawford,2789,658,393,2,2020-06-27,2020,6,27,4,0,2,0,0,670
Dallas,9209,1140,717,29,2020-06-27,2020,6,27,45,6,2,0,13.3333333333333,669
Davis,551,37,25,1,2020-06-27,2020,6,27,5,1,0,0,20,668
Decatur,415,9,8,0,2020-06-27,2020,6,27,0,0,0,0,,667
Delaware,1168,40,31,1,2020-06-27,2020,6,27,10,2,0,0,20,666
Des Moines,2577,82,62,2,2020-06-27,2020,6,27,16,0,0,0,0,665
Dickinson,1936,235,105,2,2020-06-27,2020,6,27,4,0,1,0,0,664
Dubuque,9620,495,251,22,2020-06-27,2020,6,27,96,2,0,0,2.08333333333333,663
Emmet,801,74,34,0,2020-06-27,2020,6,27,5,1,0,0,20,662
Fayette,1650,31,28,0,2020-06-27,2020,6,27,4,1,0,0,25,661
Floyd,1637,61,27,2,2020-06-27,2020,6,27,12,0,0,0,0,660
Franklin,1119,71,35,0,2020-06-27,2020,6,27,8,0,0,0,0,659
Fremont,356,6,2,0,2020-06-27,2020,6,27,1,0,0,0,0,658
Greene,778,28,19,0,2020-06-27,2020,6,27,1,0,0,0,0,657
Grundy,1026,27,17,0,2020-06-27,2020,6,27,1,0,0,0,0,656
Guthrie,929,64,50,4,2020-06-27,2020,6,27,2,0,0,0,0,655
Hamilton,1842,181,117,0,2020-06-27,2020,6,27,15,2,3,0,13.3333333333333,654
Hancock,1052,43,31,0,2020-06-27,2020,6,27,1,0,0,0,0,653
Hardin,1632,61,25,0,2020-06-27,2020,6,27,53,1,1,0,1.88679245283019,652
Harrison,964,49,41,0,2020-06-27,2020,6,27,4,1,0,0,25,651
Henry,1561,80,71,3,2020-06-27,2020,6,27,5,0,0,0,0,650
Howard,633,17,10,0,2020-06-27,2020,6,27,1,0,0,0,0,649
Humboldt,807,45,35,1,2020-06-27,2020,6,27,3,0,0,0,0,648
Ida,620,21,18,0,2020-06-27,2020,6,27,0,0,0,0,,647
Iowa,1593,47,34,0,2020-06-27,2020,6,27,52,0,0,0,0,646
Jackson,1114,23,13,0,2020-06-27,2020,6,27,11,0,0,0,0,645
Jasper,2956,309,214,17,2020-06-27,2020,6,27,12,1,1,0,8.33333333333333,644
Jefferson,1155,50,41,0,2020-06-27,2020,6,27,2,0,0,0,0,643
Johnson,13396,987,540,8,2020-06-27,2020,6,27,122,15,4,0,12.2950819672131,642
Jones,1315,51,43,0,2020-06-27,2020,6,27,9,0,0,0,0,641
Keokuk,736,19,14,1,2020-06-27,2020,6,27,1,0,0,0,0,640
Kossuth,1101,32,14,0,2020-06-27,2020,6,27,0,0,0,0,,639
Lee,1758,45,33,1,2020-06-27,2020,6,27,9,0,0,0,0,638
