EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Polk,99968,11510,8873,212
Linn,37958,2684,2223,89
Scott,27927,1960,1483,17
Johnson,27822,2349,1758,24
Black Hawk,27076,3465,2780,68
Woodbury,23277,3896,3506,54
Dubuque,22829,1878,1324,34
Story,22029,1484,1058,16
Dallas,19656,2069,1635,35
Pottawattamie,16769,1485,1162,31
Webster,9704,687,564,8
Warren,9322,630,465,4
Marshall,9112,1549,1284,28
Cerro Gordo,8961,697,512,20
Buena Vista,8180,1809,1762,12
Muscatine,7459,919,744,48
Pending Investigation,7041,8,0,0
Clinton,6901,617,233,5
Wapello,6362,990,865,43
Des Moines,5540,384,126,2
Jasper,5481,512,413,29
Sioux,5026,747,551,3
Boone,4530,308,212,3
Plymouth,4521,581,403,15
Marion,4188,267,175,0
Dickinson,4180,399,347,5
Bremer,3952,258,156,7
Crawford,3939,776,695,3
Lee,3892,222,72,5
Carroll,3813,274,178,2
Benton,3793,181,124,1
Wright,3611,490,426,1
Tama,3555,580,491,29
Washington,3418,316,288,10
Buchanan,3270,164,88,1
Henry,3060,195,102,4
Floyd,2998,181,151,3
Fayette,2996,120,71,0
Hamilton,2960,244,228,2
Mills,2932,111,66,1
Jackson,2927,176,123,1
Iowa,2905,104,73,1
Clay,2867,229,166,1
Jones,2834,146,106,2
Hardin,2821,207,143,1
Winneshiek,2789,159,87,1
Delaware,2733,156,123,2
Cedar,2707,143,109,1
Madison,2623,144,89,2
Clayton,2517,145,102,3
Butler,2475,149,134,2
Union,2371,89,58,3
Poweshiek,2366,173,132,8
Kossuth,2361,110,74,0
Mahaska,2342,154,121,17
Allamakee,2239,165,141,4
Jefferson,2179,99,71,0
Page,2145,105,99,0
O'Brien,2139,159,120,7
Winnebago,2119,139,69,2
Mitchell,2063,88,73,0
Grundy,2035,105,64,1
Franklin,2025,272,227,16
Hancock,1996,129,117,2
Guthrie,1995,156,118,5
Louisa,1986,382,359,14
Cass,1908,102,88,2
Cherokee,1878,124,103,1
Sac,1851,98,75,0
Calhoun,1819,98,75,2
Chickasaw,1818,82,66,0
Harrison,1799,129,101,1
Shelby,1789,204,186,1
Appanoose,1749,62,53,3
Clarke,1729,215,157,3
Humboldt,1692,97,80,2
Emmet,1682,210,158,7
Palo Alto,1630,103,64,0
Montgomery,1485,66,56,4
Howard,1408,81,45,0
Greene,1377,44,38,0
Pocahontas,1342,121,109,2
Monona,1271,101,86,1
Worth,1230,73,51,0
Lyon,1220,132,117,2
Keokuk,1202,46,26,1
Adair,1164,42,20,1
Decatur,1074,32,24,0
Ida,1041,34,28,0
Lucas,1039,79,35,4
Taylor,971,105,97,0
Monroe,939,89,58,8
Davis,930,73,48,2
Van Buren,847,45,24,1
Ringgold,810,29,23,1
Fremont,800,50,25,0
Audubon,787,31,22,1
Osceola,701,90,75,0
Wayne,644,31,21,2
Adams,452,20,17,0
