EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Polk,118262,14427,10761,251
Linn,44802,3430,2727,100
Johnson,35671,4748,2185,26
Scott,32701,2477,1848,25
Black Hawk,31351,4130,3209,81
Story,27426,3073,1357,17
Woodbury,26348,4441,3760,58
Dubuque,26245,2324,1770,37
Dallas,22904,2551,1957,38
Pottawattamie,18931,1765,1533,35
Warren,11167,886,592,6
Webster,10993,1125,688,13
Cerro Gordo,10363,928,647,21
Marshall,10120,1735,1467,32
Buena Vista,8692,1883,1788,12
Clinton,8608,966,479,15
Muscatine,8584,1028,844,52
Des Moines,7731,674,247,6
Wapello,7443,1173,1011,56
Jasper,6745,664,471,31
Sioux,6117,1049,685,3
Marion,6044,637,350,3
Plymouth,5688,901,490,20
Lee,5439,533,156,6
Boone,5328,401,286,5
Carroll,4897,524,233,5
Dickinson,4679,447,381,6
Bremer,4615,415,236,7
Crawford,4485,887,745,3
Benton,4429,235,162,1
Henry,4418,453,148,4
Washington,4215,383,318,11
Mahaska,4215,285,181,18
Tama,4045,663,537,30
Wright,3994,536,474,1
Buchanan,3801,201,144,1
Fayette,3510,164,99,1
Floyd,3480,258,205,3
Winneshiek,3462,252,138,5
Jackson,3422,257,168,2
Iowa,3409,151,98,1
Jones,3400,210,146,3
Delaware,3394,272,241,3
Hamilton,3354,304,244,3
Mills,3289,145,96,1
Cedar,3280,190,135,1
Hardin,3258,256,189,1
Clay,3247,247,211,3
Poweshiek,3090,211,173,8
Madison,3074,179,145,2
Butler,2917,236,212,2
Clayton,2914,210,177,3
Kossuth,2847,157,105,0
Union,2718,96,81,3
Winnebago,2630,190,112,10
Allamakee,2578,211,159,5
O'Brien,2526,243,147,8
Jefferson,2514,124,91,1
Mitchell,2466,157,82,0
Grundy,2437,164,89,2
Page,2409,132,116,0
Guthrie,2341,195,146,5
Hancock,2328,168,148,2
Franklin,2306,318,269,17
Appanoose,2259,108,90,3
Louisa,2249,403,363,14
Cherokee,2236,154,131,2
Sac,2232,133,89,0
Cass,2226,120,113,2
Chickasaw,2225,170,88,0
Harrison,2185,160,141,2
Calhoun,2159,145,101,2
Shelby,2089,229,221,1
Clarke,2012,249,208,3
Humboldt,1998,162,99,2
Emmet,1951,234,192,9
Palo Alto,1883,137,97,0
Howard,1752,162,79,4
Montgomery,1676,83,78,5
Greene,1619,69,42,0
Pocahontas,1521,143,115,2
Monona,1490,112,93,1
Worth,1455,94,72,0
Keokuk,1440,79,40,1
Lyon,1433,179,152,3
Adair,1385,55,38,1
Lucas,1356,116,68,6
Decatur,1280,53,28,0
Ida,1262,59,33,0
Pending Investigation,1226,12,0,0
Monroe,1204,128,72,8
Davis,1111,103,64,4
Taylor,1095,114,106,1
Van Buren,1078,108,40,1
Ringgold,991,35,30,2
Audubon,937,42,29,1
Fremont,936,64,44,0
Wayne,926,69,44,2
Osceola,792,102,90,0
Adams,549,25,21,0
