County,IndTested,IndPositive,IndRec,Deaths,Date,Year,Month,Day,NewIndTested,NewIndPositive,NewIndRec,NewDeaths,PosTestRate,ID
Adair,454,15,12,0,2020-07-03,2020,7,3,2,0,1,0,0,1287
Adams,269,8,8,0,2020-07-03,2020,7,3,2,0,0,0,0,1286
Allamakee,1352,126,115,4,2020-07-03,2020,7,3,6,0,0,0,0,1285
Appanoose,855,20,17,3,2020-07-03,2020,7,3,2,0,0,0,0,1284
Audubon,485,16,15,1,2020-07-03,2020,7,3,1,0,0,0,0,1283
Benton,2018,62,46,1,2020-07-03,2020,7,3,14,0,1,0,0,1282
Black Hawk,15878,2196,1811,58,2020-07-03,2020,7,3,219,16,11,0,7.30593607305936,1281
Boone,2760,145,121,1,2020-07-03,2020,7,3,26,3,6,0,11.5384615384615,1280
Bremer,2259,91,79,6,2020-07-03,2020,7,3,23,1,0,0,4.34782608695652,1279
Buchanan,1920,50,35,1,2020-07-03,2020,7,3,16,0,0,0,0,1278
Buena Vista,7017,1707,1443,11,2020-07-03,2020,7,3,16,2,34,0,12.5,1277
Butler,1477,52,36,2,2020-07-03,2020,7,3,10,0,-1,0,0,1276
Calhoun,1084,48,24,2,2020-07-03,2020,7,3,3,0,0,0,0,1275
Carroll,1950,93,73,1,2020-07-03,2020,7,3,40,2,0,0,5,1274
Cass,861,21,18,0,2020-07-03,2020,7,3,2,0,0,0,0,1273
Cedar,1631,81,62,1,2020-07-03,2020,7,3,8,1,0,0,12.5,1272
Cerro Gordo,4585,147,54,1,2020-07-03,2020,7,3,110,9,2,0,8.18181818181818,1271
Cherokee,1047,75,64,1,2020-07-03,2020,7,3,8,0,0,0,0,1270
Chickasaw,1109,28,22,0,2020-07-03,2020,7,3,12,1,0,0,8.33333333333333,1269
Clarke,1040,129,101,2,2020-07-03,2020,7,3,8,2,0,0,25,1268
Clay,1720,128,86,0,2020-07-03,2020,7,3,106,1,2,0,0.943396226415094,1267
Clayton,1397,40,34,3,2020-07-03,2020,7,3,10,1,1,0,10,1266
Clinton,3354,105,68,1,2020-07-03,2020,7,3,24,1,0,0,4.16666666666667,1265
Crawford,2923,675,604,2,2020-07-03,2020,7,3,12,0,2,0,0,1264
Dallas,10277,1235,1007,29,2020-07-03,2020,7,3,195,12,6,0,6.15384615384615,1263
Davis,569,39,33,1,2020-07-03,2020,7,3,2,0,0,0,0,1262
Decatur,432,11,10,0,2020-07-03,2020,7,3,1,0,0,0,0,1261
Delaware,1361,48,35,1,2020-07-03,2020,7,3,23,0,1,0,0,1260
Des Moines,2783,86,75,2,2020-07-03,2020,7,3,30,0,0,0,0,1259
Dickinson,2440,260,154,2,2020-07-03,2020,7,3,45,1,3,0,2.22222222222222,1258
Dubuque,11499,621,393,22,2020-07-03,2020,7,3,238,12,4,0,5.04201680672269,1257
Emmet,914,80,48,0,2020-07-03,2020,7,3,10,2,1,0,20,1256
Fayette,1818,37,30,0,2020-07-03,2020,7,3,13,3,0,0,23.0769230769231,1255
Floyd,1826,70,52,2,2020-07-03,2020,7,3,30,2,4,0,6.66666666666667,1254
Franklin,1212,84,50,0,2020-07-03,2020,7,3,7,0,3,0,0,1253
Fremont,396,7,4,0,2020-07-03,2020,7,3,5,0,0,0,0,1252
Greene,831,29,21,0,2020-07-03,2020,7,3,5,1,1,0,20,1251
Grundy,1144,35,23,0,2020-07-03,2020,7,3,7,0,1,0,0,1250
Guthrie,1003,64,58,4,2020-07-03,2020,7,3,7,0,0,0,0,1249
Hamilton,1956,187,154,1,2020-07-03,2020,7,3,13,0,1,0,0,1248
Hancock,1214,49,40,0,2020-07-03,2020,7,3,4,0,0,0,0,1247
Hardin,1806,67,34,0,2020-07-03,2020,7,3,22,2,0,0,9.09090909090909,1246
Harrison,1056,53,43,0,2020-07-03,2020,7,3,5,0,0,0,0,1245
Henry,1666,86,76,3,2020-07-03,2020,7,3,18,1,0,0,5.55555555555556,1244
Howard,720,29,12,0,2020-07-03,2020,7,3,15,1,0,0,6.66666666666667,1243
Humboldt,880,53,39,1,2020-07-03,2020,7,3,3,0,0,0,0,1242
Ida,665,23,20,0,2020-07-03,2020,7,3,7,0,0,0,0,1241
Iowa,1709,51,40,0,2020-07-03,2020,7,3,7,0,0,0,0,1240
Jackson,1291,27,16,0,2020-07-03,2020,7,3,10,0,0,0,0,1239
Jasper,3176,321,271,17,2020-07-03,2020,7,3,16,0,2,0,0,1238
Jefferson,1264,59,49,0,2020-07-03,2020,7,3,8,1,0,0,12.5,1237
Johnson,15750,1238,734,8,2020-07-03,2020,7,3,85,7,11,0,8.23529411764706,1236
Jones,1445,56,48,0,2020-07-03,2020,7,3,6,0,0,0,0,1235
Keokuk,778,20,17,1,2020-07-03,2020,7,3,1,0,0,0,0,1234
