EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Polk,116085,14150,10393,243
Linn,43876,3281,2592,98
Johnson,34696,4601,2123,26
Scott,31973,2391,1782,23
Black Hawk,30730,4048,3112,79
Story,26785,2944,1264,16
Woodbury,25894,4360,3712,58
Dubuque,25566,2224,1710,36
Dallas,22395,2496,1902,38
Pottawattamie,18594,1722,1475,34
Warren,10901,859,576,5
Webster,10747,1080,663,11
Cerro Gordo,10090,894,627,20
Marshall,9957,1723,1437,32
Buena Vista,8573,1861,1784,12
Muscatine,8404,1005,814,52
Clinton,8376,943,430,14
Des Moines,7486,636,189,5
Wapello,7303,1144,982,55
Jasper,6565,641,463,30
Sioux,5976,1002,651,3
Marion,5891,604,305,2
Plymouth,5551,856,462,20
Lee,5297,505,125,6
Boone,5177,385,267,5
Carroll,4765,498,224,5
Dickinson,4589,443,377,6
Bremer,4514,388,226,7
Crawford,4387,871,731,3
Benton,4348,225,161,1
Henry,4263,408,135,4
Washington,4056,373,310,11
Mahaska,4050,261,170,18
Tama,3986,655,530,30
Wright,3928,528,466,1
Buchanan,3743,192,133,1
Fayette,3459,162,92,1
Winneshiek,3394,246,129,5
Floyd,3390,242,194,3
Jackson,3353,243,159,2
Delaware,3313,262,220,3
Jones,3289,197,140,2
Hamilton,3288,297,244,2
Iowa,3271,132,97,1
Mills,3259,138,94,1
Clay,3198,244,200,3
Hardin,3191,251,185,1
Cedar,3123,181,132,1
Poweshiek,3010,205,169,8
Madison,3000,172,133,2
Butler,2872,232,204,2
Clayton,2858,194,164,3
Kossuth,2738,139,95,0
Union,2671,94,75,3
Winnebago,2562,176,89,10
Allamakee,2522,197,153,5
O'Brien,2487,231,141,8
Jefferson,2475,123,88,1
Mitchell,2399,143,79,0
Grundy,2362,147,81,1
Page,2360,124,116,0
Hancock,2281,164,146,2
Franklin,2271,312,258,17
Guthrie,2267,182,139,5
Louisa,2202,401,363,14
Cherokee,2183,149,129,2
Cass,2159,118,108,2
Sac,2156,126,88,0
Chickasaw,2144,152,83,0
Harrison,2139,156,137,2
Appanoose,2133,99,81,3
Calhoun,2094,139,97,2
Shelby,2042,224,213,1
Clarke,1975,246,201,3
Humboldt,1906,156,99,2
Emmet,1893,231,192,8
Palo Alto,1840,126,91,0
Howard,1702,154,71,3
Montgomery,1651,83,74,5
Greene,1584,67,42,0
Monona,1478,112,92,1
Pocahontas,1466,140,113,2
Worth,1421,89,68,0
Lyon,1392,168,145,2
Keokuk,1391,77,37,1
Adair,1346,52,34,1
Lucas,1297,108,67,5
Decatur,1254,49,27,0
Ida,1225,54,31,0
Monroe,1172,122,67,8
Davis,1093,97,60,4
Taylor,1077,114,102,1
Van Buren,1037,107,36,1
Pending Investigation,985,0,0,0
Ringgold,967,35,27,2
Audubon,914,40,28,1
Fremont,912,63,42,0
Wayne,896,67,42,2
Osceola,785,101,87,0
Adams,537,23,17,0
