County,IndTested,IndPositive,IndRec,Deaths,Date,Year,Month,Day,NewIndTested,NewIndPositive,NewIndRec,NewDeaths,PosTestRate,ID
Wapello,3862,689,602,28,2020-06-23,2020,6,23,34,0,43,1,0,208
Warren,3932,214,185,2,2020-06-23,2020,6,23,57,0,4,0,0,207
Washington,2033,214,183,9,2020-06-23,2020,6,23,16,0,1,0,0,206
Wayne,279,6,3,0,2020-06-23,2020,6,23,7,1,0,0,14.2857142857143,205
Webster,3749,130,90,1,2020-06-23,2020,6,23,69,4,4,0,5.79710144927536,204
Winnebago,665,17,12,0,2020-06-23,2020,6,23,11,2,0,0,18.1818181818182,203
Winneshiek,1226,24,24,0,2020-06-23,2020,6,23,19,0,0,0,0,202
Woodbury,15004,3078,2630,43,2020-06-23,2020,6,23,92,8,34,1,8.69565217391304,201
Worth,454,8,5,0,2020-06-23,2020,6,23,5,0,0,0,0,200
Wright,2423,341,138,0,2020-06-23,2020,6,23,25,6,0,0,24,199
