County,IndTested,IndPositive,IndRec,Deaths,Date,Year,Month,Day,NewIndTested,NewIndPositive,NewIndRec,NewDeaths,PosTestRate,ID,PosTestRate14
Adair,2587,425,195,8,2020-11-25,2020,11,25,18,6,6,1,33.3333333333333,14949,0
Adams,1091,161,83,2,2020-11-25,2020,11,25,11,6,1,1,54.5454545454546,14948,0
Allamakee,4208,764,386,11,2020-11-25,2020,11,25,49,35,11,0,71.4285714285714,14947,0
Appanoose,4186,765,256,9,2020-11-25,2020,11,25,37,20,14,3,54.0540540540541,14946,0
Audubon,1791,292,160,1,2020-11-25,2020,11,25,31,8,9,0,25.8064516129032,14945,0
Benton,9251,1652,637,16,2020-11-25,2020,11,25,112,36,26,1,32.1428571428572,14944,0
Black Hawk,51234,10630,5872,131,2020-11-25,2020,11,25,441,162,134,4,36.734693877551,14943,0
Boone,9275,1329,741,11,2020-11-25,2020,11,25,138,33,20,0,23.9130434782609,14942,0
Bremer,8464,1887,721,12,2020-11-25,2020,11,25,90,38,18,0,42.2222222222222,14941,0
Buchanan,6826,1141,477,9,2020-11-25,2020,11,25,74,29,15,0,39.1891891891892,14940,0
Buena Vista,11621,2979,2285,14,2020-11-25,2020,11,25,80,53,26,0,66.25,14939,0
Butler,5000,956,453,6,2020-11-25,2020,11,25,34,23,1,2,67.6470588235294,14938,0
Calhoun,4166,1038,358,7,2020-11-25,2020,11,25,45,28,1,0,62.2222222222222,14937,0
Carroll,8573,1947,1179,21,2020-11-25,2020,11,25,66,30,17,1,45.4545454545455,14936,0
Cass,4433,788,497,21,2020-11-25,2020,11,25,51,17,1,2,33.3333333333333,14935,0
Cedar,6415,1040,491,13,2020-11-25,2020,11,25,59,22,17,0,37.2881355932203,14934,0
Cerro Gordo,17404,3406,1460,42,2020-11-25,2020,11,25,209,104,49,1,49.7607655502392,14933,0
Cherokee,4137,798,415,4,2020-11-25,2020,11,25,45,24,8,0,53.3333333333333,14932,0
Chickasaw,3853,817,666,4,2020-11-25,2020,11,25,39,18,29,0,46.1538461538462,14931,0
Clarke,3227,476,353,4,2020-11-25,2020,11,25,38,13,3,0,34.2105263157895,14930,0
Clay,5887,1118,556,4,2020-11-25,2020,11,25,52,31,14,0,59.6153846153846,14929,0
Clayton,4948,1066,494,5,2020-11-25,2020,11,25,45,26,28,1,57.7777777777778,14928,0
Clinton,15382,3159,1532,37,2020-11-25,2020,11,25,127,65,27,0,51.1811023622047,14927,0
Crawford,6763,1720,1370,15,2020-11-25,2020,11,25,22,14,6,0,63.6363636363636,14926,0
Dallas,37942,6200,3518,56,2020-11-25,2020,11,25,477,145,58,0,30.398322851153,14925,0
Davis,2179,445,188,5,2020-11-25,2020,11,25,15,4,5,0,26.6666666666667,14924,0
Decatur,2364,312,164,0,2020-11-25,2020,11,25,38,7,6,0,18.421052631579,14923,0
Delaware,5884,1396,806,21,2020-11-25,2020,11,25,76,33,7,0,43.4210526315789,14922,0
Des Moines,15192,2782,1505,16,2020-11-25,2020,11,25,189,77,45,0,40.7407407407407,14921,0
Dickinson,7553,1327,785,10,2020-11-25,2020,11,25,89,42,17,0,47.1910112359551,14920,0
Dubuque,43595,9041,5456,90,2020-11-25,2020,11,25,459,210,115,0,45.7516339869281,14919,0
Emmet,3486,736,432,24,2020-11-25,2020,11,25,48,26,4,1,54.1666666666667,14918,0
Fayette,6420,1014,408,8,2020-11-25,2020,11,25,48,26,19,0,54.1666666666667,14917,0
Floyd,5632,1009,479,14,2020-11-25,2020,11,25,66,32,0,0,48.4848484848485,14916,0
Franklin,3653,712,398,20,2020-11-25,2020,11,25,57,25,-1,1,43.859649122807,14915,0
Fremont,1922,352,214,3,2020-11-25,2020,11,25,12,4,4,0,33.3333333333333,14914,0
Greene,3091,514,196,0,2020-11-25,2020,11,25,41,8,5,0,19.5121951219512,14913,0
Grundy,4128,826,331,11,2020-11-25,2020,11,25,37,19,11,1,51.3513513513514,14912,0
Guthrie,4061,730,403,15,2020-11-25,2020,11,25,26,6,9,0,23.0769230769231,14911,0
Hamilton,5358,1065,505,7,2020-11-25,2020,11,25,70,38,0,0,54.2857142857143,14910,0
Hancock,4173,841,379,7,2020-11-25,2020,11,25,37,26,15,0,70.2702702702703,14909,0
Hardin,5989,1114,494,10,2020-11-25,2020,11,25,43,31,11,0,72.093023255814,14908,0
Harrison,4558,1043,691,28,2020-11-25,2020,11,25,40,19,22,0,47.5,14907,0
Henry,7798,1791,1109,7,2020-11-25,2020,11,25,78,76,15,0,97.4358974358974,14906,0
Howard,3064,531,268,9,2020-11-25,2020,11,25,44,24,4,0,54.5454545454546,14905,0
Humboldt,3488,743,364,5,2020-11-25,2020,11,25,55,36,14,0,65.4545454545455,14904,0
Ida,2248,464,206,10,2020-11-25,2020,11,25,17,14,11,0,82.3529411764706,14903,0
Iowa,5926,917,420,11,2020-11-25,2020,11,25,72,33,12,0,45.8333333333333,14902,0
Jackson,6381,1407,695,11,2020-11-25,2020,11,25,52,28,24,3,53.8461538461539,14901,0
Jasper,12247,2109,1160,40,2020-11-25,2020,11,25,83,35,42,1,42.1686746987952,14900,0
Jefferson,5190,674,255,1,2020-11-25,2020,11,25,59,37,8,0,62.7118644067797,14899,0
Johnson,57635,9323,5952,35,2020-11-25,2020,11,25,593,170,60,0,28.6677908937605,14898,0
Jones,7489,2269,498,13,2020-11-25,2020,11,25,68,27,26,1,39.7058823529412,14897,0
Keokuk,2856,564,174,7,2020-11-25,2020,11,25,26,18,4,0,69.2307692307692,14896,0
Kossuth,5455,1007,493,5,2020-11-25,2020,11,25,78,52,10,1,66.6666666666667,14895,0
Lee,11058,1954,1010,16,2020-11-25,2020,11,25,94,42,26,1,44.6808510638298,14894,0
Linn,84371,13800,5836,162,2020-11-25,2020,11,25,873,317,208,1,36.31156930126,14893,0
Louisa,3978,836,532,16,2020-11-25,2020,11,25,37,16,11,0,43.2432432432432,14892,0
Lucas,2501,320,203,6,2020-11-25,2020,11,25,30,9,1,0,30,14891,0
Lyon,3237,998,561,8,2020-11-25,2020,11,25,42,26,8,0,61.9047619047619,14890,0
Madison,5119,668,370,4,2020-11-25,2020,11,25,63,15,6,0,23.8095238095238,14889,0
Mahaska,7278,1241,712,27,2020-11-25,2020,11,25,50,9,17,0,18,14888,0
Marion,10614,2000,1078,19,2020-11-25,2020,11,25,128,38,11,1,29.6875,14887,0
Marshall,15331,3420,2068,44,2020-11-25,2020,11,25,127,58,31,1,45.6692913385827,14886,0
Mills,5743,1009,422,7,2020-11-25,2020,11,25,51,13,18,1,25.4901960784314,14885,0
Mitchell,4081,766,293,4,2020-11-25,2020,11,25,56,47,7,0,83.9285714285714,14884,0
Monona,2679,418,256,2,2020-11-25,2020,11,25,18,17,8,0,94.4444444444444,14883,0
Monroe,2171,437,257,12,2020-11-25,2020,11,25,12,6,3,0,50,14882,0
Montgomery,2905,446,202,10,2020-11-25,2020,11,25,24,11,0,0,45.8333333333333,14881,0
Muscatine,15134,2782,1478,68,2020-11-25,2020,11,25,154,71,31,2,46.1038961038961,14880,0
O'Brien,4831,1254,725,30,2020-11-25,2020,11,25,122,55,29,1,45.0819672131148,14879,0
Osceola,1791,510,305,1,2020-11-25,2020,11,25,32,9,7,0,28.125,14878,0
Page,4519,1107,440,4,2020-11-25,2020,11,25,38,22,1,0,57.8947368421053,14877,0
Palo Alto,3288,624,330,4,2020-11-25,2020,11,25,25,14,3,0,56,14876,0
Plymouth,9837,2656,1719,38,2020-11-25,2020,11,25,85,43,34,1,50.5882352941176,14875,0
Pocahontas,2689,551,236,2,2020-11-25,2020,11,25,16,14,4,0,87.5,14874,0
Polk,193368,32695,19436,325,2020-11-25,2020,11,25,2515,842,305,1,33.4791252485089,14873,0
Pottawattamie,33730,6029,3404,67,2020-11-25,2020,11,25,430,145,50,0,33.7209302325581,14872,0
Poweshiek,6082,971,495,12,2020-11-25,2020,11,25,63,24,11,0,38.0952380952381,14871,0
Ringgold,1698,198,97,2,2020-11-25,2020,11,25,12,9,3,0,75,14870,0
Sac,3992,819,402,7,2020-11-25,2020,11,25,30,23,1,0,76.6666666666667,14869,0
Scott,60588,10690,4935,81,2020-11-25,2020,11,25,638,230,127,6,36.0501567398119,14868,0
Shelby,3679,746,437,6,2020-11-25,2020,11,25,38,15,1,1,39.4736842105263,14867,0
Sioux,11689,3620,2527,25,2020-11-25,2020,11,25,112,61,38,0,54.4642857142857,14866,0
Story,41055,6666,4080,19,2020-11-25,2020,11,25,671,151,31,0,22.5037257824143,14865,0
Tama,6286,1515,957,40,2020-11-25,2020,11,25,63,28,30,0,44.4444444444444,14864,0
Taylor,1880,451,254,2,2020-11-25,2020,11,25,28,18,3,0,64.2857142857143,14863,0
Union,4900,739,279,6,2020-11-25,2020,11,25,60,24,2,0,40,14862,0
Van Buren,1917,352,188,4,2020-11-25,2020,11,25,30,15,3,0,50,14861,0
Wapello,11719,2486,1542,71,2020-11-25,2020,11,25,129,49,14,0,37.984496124031,14860,0
Warren,19407,2705,1304,10,2020-11-25,2020,11,25,257,105,23,0,40.8560311284047,14859,0
Washington,8322,1369,689,13,2020-11-25,2020,11,25,55,39,22,0,70.9090909090909,14858,0
Wayne,1617,293,140,6,2020-11-25,2020,11,25,9,6,7,0,66.6666666666667,14857,0
Webster,16660,3483,1918,31,2020-11-25,2020,11,25,201,107,38,1,53.2338308457712,14856,0
Winnebago,4512,897,496,23,2020-11-25,2020,11,25,38,19,8,0,50,14855,0
Winneshiek,6761,933,540,10,2020-11-25,2020,11,25,76,25,10,0,32.8947368421053,14854,0
Woodbury,44007,10062,7423,116,2020-11-25,2020,11,25,167,85,97,1,50.8982035928144,14853,0
Worth,2566,347,151,0,2020-11-25,2020,11,25,26,7,3,0,26.9230769230769,14852,0
Wright,6073,1198,767,5,2020-11-25,2020,11,25,56,22,11,0,39.2857142857143,14851,0
