County,IndTested,IndPositive,IndRec,Deaths,Date,Year,Month,Day,NewIndTested,NewIndPositive,NewIndRec,NewDeaths,PosTestRate,ID,PosTestRate14
Adair,1170,42,20,1,2020-08-21,2020,8,21,11,0,0,0,0,5544,0
Adams,453,20,17,0,2020-08-21,2020,8,21,1,0,1,0,0,5543,0
Allamakee,2251,165,141,4,2020-08-21,2020,8,21,23,1,1,0,4.34782608695652,5542,0
Appanoose,1754,62,53,3,2020-08-21,2020,8,21,19,0,2,0,0,5541,0
Audubon,789,32,22,1,2020-08-21,2020,8,21,3,2,0,0,66.6666666666667,5540,0
Benton,3808,181,124,1,2020-08-21,2020,8,21,29,0,0,0,0,5539,0
Black Hawk,27231,3481,2780,68,2020-08-21,2020,8,21,285,48,36,1,16.8421052631579,5538,0
Boone,4542,310,212,3,2020-08-21,2020,8,21,29,8,4,0,27.5862068965517,5537,0
Bremer,3966,260,156,7,2020-08-21,2020,8,21,24,3,6,0,12.5,5536,0
Buchanan,3288,164,88,1,2020-08-21,2020,8,21,31,7,3,0,22.5806451612903,5535,0
Buena Vista,8188,1811,1762,12,2020-08-21,2020,8,21,21,2,1,0,9.52380952380952,5534,0
Butler,2489,151,134,2,2020-08-21,2020,8,21,21,2,6,0,9.52380952380952,5533,0
Calhoun,1825,98,75,2,2020-08-21,2020,8,21,7,1,3,0,14.2857142857143,5532,0
Carroll,3851,286,178,2,2020-08-21,2020,8,21,46,17,1,0,36.9565217391304,5531,0
Cass,1911,102,88,2,2020-08-21,2020,8,21,7,0,9,0,0,5530,0
Cedar,2715,143,109,1,2020-08-21,2020,8,21,16,1,2,0,6.25,5529,0
Cerro Gordo,8996,699,512,20,2020-08-21,2020,8,21,69,8,12,0,11.5942028985507,5528,0
Cherokee,1885,125,105,1,2020-08-21,2020,8,21,16,2,3,0,12.5,5527,0
Chickasaw,1823,84,66,0,2020-08-21,2020,8,21,19,5,4,0,26.3157894736842,5526,0
Clarke,1733,215,157,3,2020-08-21,2020,8,21,6,0,4,0,0,5525,0
Clay,2878,229,166,1,2020-08-21,2020,8,21,19,3,1,0,15.7894736842105,5524,0
Clayton,2529,147,102,3,2020-08-21,2020,8,21,29,8,5,0,27.5862068965517,5523,0
Clinton,6946,624,233,5,2020-08-21,2020,8,21,108,24,18,0,22.2222222222222,5522,0
Crawford,3948,777,695,3,2020-08-21,2020,8,21,20,8,5,0,40,5521,0
Dallas,19708,2073,1635,35,2020-08-21,2020,8,21,125,17,18,0,13.6,5520,0
Davis,934,74,48,2,2020-08-21,2020,8,21,10,2,0,0,20,5519,0
Decatur,1075,32,24,0,2020-08-21,2020,8,21,2,0,0,0,0,5518,0
Delaware,2752,158,123,2,2020-08-21,2020,8,21,35,7,6,0,20,5517,0
Des Moines,5633,392,126,2,2020-08-21,2020,8,21,135,24,1,0,17.7777777777778,5516,0
Dickinson,4195,399,347,5,2020-08-21,2020,8,21,35,6,2,0,17.1428571428571,5515,0
Dubuque,22886,1884,1324,34,2020-08-21,2020,8,21,186,16,24,0,8.60215053763441,5514,0
Emmet,1687,210,158,7,2020-08-21,2020,8,21,8,1,7,1,12.5,5513,0
Fayette,3012,120,71,0,2020-08-21,2020,8,21,55,6,2,0,10.9090909090909,5512,0
Floyd,3019,183,151,3,2020-08-21,2020,8,21,31,4,5,0,12.9032258064516,5511,0
Franklin,2034,273,227,16,2020-08-21,2020,8,21,23,5,7,0,21.7391304347826,5510,0
Fremont,803,50,25,0,2020-08-21,2020,8,21,5,0,1,0,0,5509,0
Greene,1385,45,38,0,2020-08-21,2020,8,21,11,2,0,0,18.1818181818182,5508,0
Grundy,2051,108,64,1,2020-08-21,2020,8,21,24,4,2,0,16.6666666666667,5507,0
Guthrie,1998,156,118,5,2020-08-21,2020,8,21,16,1,3,0,6.25,5506,0
Hamilton,2963,244,228,2,2020-08-21,2020,8,21,12,2,1,0,16.6666666666667,5505,0
Hancock,2001,130,117,2,2020-08-21,2020,8,21,12,1,0,0,8.33333333333333,5504,0
Hardin,2827,208,143,1,2020-08-21,2020,8,21,18,3,5,0,16.6666666666667,5503,0
Harrison,1812,131,101,1,2020-08-21,2020,8,21,16,2,0,0,12.5,5502,0
Henry,3074,197,102,4,2020-08-21,2020,8,21,37,7,3,0,18.9189189189189,5501,0
Howard,1420,83,45,0,2020-08-21,2020,8,21,18,5,0,0,27.7777777777778,5500,0
Humboldt,1702,97,80,2,2020-08-21,2020,8,21,13,1,3,0,7.69230769230769,5499,0
Ida,1044,34,28,0,2020-08-21,2020,8,21,5,0,1,0,0,5498,0
Iowa,2910,104,73,1,2020-08-21,2020,8,21,18,1,2,0,5.55555555555556,5497,0
Jackson,2936,177,123,1,2020-08-21,2020,8,21,20,3,9,0,15,5496,0
Jasper,5490,514,413,29,2020-08-21,2020,8,21,38,4,5,0,10.5263157894737,5495,0
Jefferson,2189,100,71,0,2020-08-21,2020,8,21,22,2,3,0,9.09090909090909,5494,0
Johnson,27980,2367,1758,24,2020-08-21,2020,8,21,289,56,18,0,19.3771626297578,5493,0
Jones,2838,146,106,2,2020-08-21,2020,8,21,6,0,0,0,0,5492,0
Keokuk,1205,46,26,1,2020-08-21,2020,8,21,11,0,1,0,0,5491,0
Kossuth,2364,110,74,0,2020-08-21,2020,8,21,23,1,0,0,4.34782608695652,5490,0
Lee,3943,231,72,5,2020-08-21,2020,8,21,99,21,3,0,21.2121212121212,5489,0
Linn,38206,2696,2223,89,2020-08-21,2020,8,21,386,29,26,0,7.51295336787565,5488,0
Louisa,1990,382,359,14,2020-08-21,2020,8,21,10,1,0,0,10,5487,0
Lucas,1045,79,35,4,2020-08-21,2020,8,21,6,0,0,0,0,5486,0
Lyon,1221,132,117,2,2020-08-21,2020,8,21,7,0,3,0,0,5485,0
Madison,2627,144,89,2,2020-08-21,2020,8,21,8,0,2,0,0,5484,0
Mahaska,2351,156,121,17,2020-08-21,2020,8,21,22,3,1,0,13.6363636363636,5483,0
Marion,4200,268,175,0,2020-08-21,2020,8,21,87,21,7,0,24.1379310344828,5482,0
Marshall,9129,1554,1284,28,2020-08-21,2020,8,21,26,9,18,0,34.6153846153846,5481,0
Mills,2944,111,66,1,2020-08-21,2020,8,21,15,0,0,0,0,5480,0
Mitchell,2070,89,73,0,2020-08-21,2020,8,21,19,3,2,0,15.7894736842105,5479,0
Monona,1278,101,86,1,2020-08-21,2020,8,21,11,4,2,0,36.3636363636364,5478,0
