EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Polk,108202,13349,9638,225
Linn,41134,2982,2429,94
Johnson,31735,3883,1942,26
Scott,29889,2223,1653,21
Black Hawk,28742,3792,2948,74
Story,24432,2390,1133,16
Woodbury,24427,4141,3606,56
Dubuque,24108,2034,1535,36
Dallas,20959,2377,1784,39
Pottawattamie,17569,1630,1346,34
Webster,10185,1013,633,8
Warren,10044,777,534,5
Cerro Gordo,9489,825,567,20
Marshall,9476,1640,1385,32
Buena Vista,8331,1826,1773,12
Pending Investigation,7863,5,1,0
Muscatine,7849,964,782,51
Clinton,7716,832,325,10
Wapello,6779,1085,903,50
Des Moines,6708,568,139,5
Jasper,5957,587,432,30
Sioux,5565,896,595,3
Marion,5154,484,207,0
Plymouth,5018,743,435,18
Boone,4852,345,232,4
Lee,4688,420,94,5
Dickinson,4401,424,367,6
Carroll,4268,389,197,3
Bremer,4197,316,187,7
Crawford,4104,836,715,3
Benton,4067,201,145,1
Wright,3774,519,432,1
Tama,3710,622,513,29
Mahaska,3654,218,152,18
Washington,3619,337,297,11
Henry,3541,284,111,4
Buchanan,3492,174,110,1
Fayette,3232,139,81,1
Floyd,3207,213,177,3
Jackson,3134,210,140,1
Winneshiek,3125,219,114,3
Hamilton,3103,279,232,2
Mills,3074,128,84,1
Iowa,3041,114,89,1
Hardin,3020,229,166,1
Delaware,3020,217,162,3
Clay,3020,236,171,3
Jones,3017,170,130,2
Cedar,2908,153,121,1
Madison,2800,164,106,2
Poweshiek,2763,183,160,8
Clayton,2691,180,145,3
Butler,2680,204,159,2
Kossuth,2528,121,79,0
Union,2526,93,68,3
Winnebago,2398,160,78,9
Allamakee,2361,174,147,4
Jefferson,2326,117,77,0
O'Brien,2315,201,127,7
Page,2233,112,108,0
Mitchell,2212,107,76,0
Grundy,2212,128,73,1
Franklin,2136,295,245,17
Hancock,2129,157,131,2
Guthrie,2113,173,126,5
Louisa,2095,396,362,14
Cass,2042,112,100,2
Sac,1982,114,82,0
Cherokee,1979,140,124,2
Chickasaw,1977,109,82,0
Harrison,1977,147,118,1
Calhoun,1940,127,87,2
Appanoose,1921,85,61,3
Shelby,1870,215,205,1
Clarke,1843,241,184,3
Humboldt,1805,153,91,2
Emmet,1790,221,181,8
Palo Alto,1706,113,79,0
Howard,1563,133,71,2
Montgomery,1555,76,63,5
Greene,1482,53,38,0
Pocahontas,1395,131,110,2
Monona,1349,107,92,1
Worth,1316,79,62,0
Lyon,1300,150,131,2
Keokuk,1268,61,29,1
Adair,1262,49,21,1
Decatur,1154,44,24,0
Lucas,1146,95,43,5
Ida,1091,39,29,0
Monroe,1042,110,59,8
Taylor,1028,113,102,1
Davis,1009,83,48,2
Van Buren,953,100,33,1
Ringgold,853,31,27,1
Audubon,848,38,27,1
Fremont,843,59,35,0
Osceola,751,99,79,0
Wayne,726,50,30,2
Adams,495,22,17,0
