County,IndTested,IndPositive,IndRec,Deaths,Date,Year,Month,Day,NewIndTested,NewIndPositive,NewIndRec,NewDeaths,PosTestRate,ID,PosTestRate14
Adair,2189,261,95,3,2020-11-06,2020,11,6,10,4,0,0,40,13068,0
Adams,901,93,57,1,2020-11-06,2020,11,6,4,0,0,0,0,13067,0
Allamakee,3595,480,286,9,2020-11-06,2020,11,6,15,6,0,0,40,13066,0
Appanoose,3436,361,183,3,2020-11-06,2020,11,6,10,14,0,0,140,13065,0
Audubon,1567,220,114,1,2020-11-06,2020,11,6,9,3,0,0,33.3333333333333,13064,0
Benton,7531,885,398,6,2020-11-06,2020,11,6,66,36,1,0,54.5454545454546,13063,0
Black Hawk,44180,7236,4769,107,2020-11-06,2020,11,6,253,169,-1,0,66.798418972332,13062,0
Boone,8026,877,599,10,2020-11-06,2020,11,6,45,18,0,0,40,13061,0
Bremer,6873,994,560,10,2020-11-06,2020,11,6,68,47,0,0,69.1176470588235,13060,0
Buchanan,5759,642,342,5,2020-11-06,2020,11,6,35,19,0,0,54.2857142857143,13059,0
Buena Vista,10690,2454,2114,13,2020-11-06,2020,11,6,36,22,-1,1,61.1111111111111,13058,0
Butler,4241,531,404,3,2020-11-06,2020,11,6,38,25,12,0,65.7894736842105,13057,0
Calhoun,3391,468,308,5,2020-11-06,2020,11,6,86,54,8,0,62.7906976744186,13056,0
Carroll,7546,1399,868,13,2020-11-06,2020,11,6,49,35,0,0,71.4285714285714,13055,0
Cass,3907,560,364,10,2020-11-06,2020,11,6,18,13,4,3,72.2222222222222,13054,0
Cedar,5358,626,297,8,2020-11-06,2020,11,6,46,19,0,0,41.304347826087,13053,0
Cerro Gordo,14468,1886,1147,29,2020-11-06,2020,11,6,98,56,-1,0,57.1428571428572,13052,0
Cherokee,3587,506,326,3,2020-11-06,2020,11,6,41,8,0,0,19.5121951219512,13051,0
Chickasaw,3198,447,396,1,2020-11-06,2020,11,6,31,10,12,0,32.258064516129,13050,0
Clarke,2906,389,283,3,2020-11-06,2020,11,6,12,3,0,0,25,13049,0
Clay,4984,679,417,4,2020-11-06,2020,11,6,39,19,0,0,48.7179487179487,13048,0
Clayton,4270,659,368,4,2020-11-06,2020,11,6,19,5,1,1,26.3157894736842,13047,0
Clinton,12765,1845,1241,30,2020-11-06,2020,11,6,62,30,0,0,48.3870967741936,13046,0
Crawford,6275,1484,1197,15,2020-11-06,2020,11,6,11,7,0,0,63.6363636363636,13045,0
Dallas,32345,4150,3035,51,2020-11-06,2020,11,6,221,90,-1,0,40.7239819004525,13044,0
Davis,1767,244,139,4,2020-11-06,2020,11,6,11,7,0,0,63.6363636363636,13043,0
Decatur,2068,212,96,0,2020-11-06,2020,11,6,7,5,0,0,71.4285714285714,13042,0
Delaware,5076,975,561,16,2020-11-06,2020,11,6,23,9,0,0,39.1304347826087,13041,0
Des Moines,12949,1891,991,13,2020-11-06,2020,11,6,181,60,0,0,33.1491712707182,13040,0
Dickinson,6629,916,621,9,2020-11-06,2020,11,6,43,18,0,0,41.8604651162791,13039,0
Dubuque,38250,6457,4091,67,2020-11-06,2020,11,6,175,124,0,1,70.8571428571429,13038,0
Emmet,2986,498,336,21,2020-11-06,2020,11,6,16,2,0,0,12.5,13037,0
Fayette,5317,544,283,6,2020-11-06,2020,11,6,36,17,0,0,47.2222222222222,13036,0
Floyd,4734,550,454,11,2020-11-06,2020,11,6,33,14,7,0,42.4242424242424,13035,0
Franklin,3050,450,359,19,2020-11-06,2020,11,6,21,9,0,1,42.8571428571429,13034,0
Fremont,1642,243,163,2,2020-11-06,2020,11,6,8,3,0,0,37.5,13033,0
Greene,2648,252,149,0,2020-11-06,2020,11,6,23,15,0,0,65.2173913043478,13032,0
Grundy,3484,444,250,6,2020-11-06,2020,11,6,18,13,0,0,72.2222222222222,13031,0
Guthrie,3453,489,314,15,2020-11-06,2020,11,6,20,14,0,0,70,13030,0
Hamilton,4555,552,472,6,2020-11-06,2020,11,6,17,18,5,0,105.882352941176,13029,0
Hancock,3403,497,294,6,2020-11-06,2020,11,6,23,10,2,0,43.4782608695652,13028,0
Hardin,4982,640,349,7,2020-11-06,2020,11,6,28,12,0,0,42.8571428571429,13027,0
Harrison,4003,797,462,21,2020-11-06,2020,11,6,24,11,1,1,45.8333333333333,13026,0
Henry,6690,1263,904,6,2020-11-06,2020,11,6,36,10,0,0,27.7777777777778,13025,0
Howard,2581,321,204,9,2020-11-06,2020,11,6,12,8,0,0,66.6666666666667,13024,0
Humboldt,3034,447,277,3,2020-11-06,2020,11,6,15,7,1,0,46.6666666666667,13023,0
Ida,1960,295,159,3,2020-11-06,2020,11,6,15,7,0,0,46.6666666666667,13022,0
Iowa,5077,558,297,11,2020-11-06,2020,11,6,37,14,0,0,37.8378378378378,13021,0
Jackson,5477,915,445,5,2020-11-06,2020,11,6,51,33,0,0,64.7058823529412,13020,0
Jasper,10519,1463,923,34,2020-11-06,2020,11,6,73,23,0,0,31.5068493150685,13019,0
Jefferson,3916,336,166,1,2020-11-06,2020,11,6,46,13,-1,0,28.2608695652174,13018,0
Johnson,49248,6720,5396,33,2020-11-06,2020,11,6,248,105,0,0,42.3387096774194,13017,0
Jones,6130,1262,346,4,2020-11-06,2020,11,6,116,100,0,0,86.2068965517242,13016,0
Keokuk,2291,271,130,1,2020-11-06,2020,11,6,24,10,0,0,41.6666666666667,13015,0
Kossuth,4587,572,369,1,2020-11-06,2020,11,6,31,9,0,0,29.0322580645161,13014,0
Lee,9218,1237,751,13,2020-11-06,2020,11,6,88,34,0,0,38.6363636363636,13013,0
Linn,69600,8014,4506,139,2020-11-06,2020,11,6,649,306,-1,2,47.1494607087827,13012,0
Louisa,3395,611,445,15,2020-11-06,2020,11,6,34,12,0,0,35.2941176470588,13011,0
Lucas,2167,242,158,6,2020-11-06,2020,11,6,4,4,0,0,100,13010,0
Lyon,2662,627,461,8,2020-11-06,2020,11,6,6,3,0,0,50,13009,0
Madison,4428,434,303,4,2020-11-06,2020,11,6,20,8,0,0,40,13008,0
Mahaska,6387,869,506,25,2020-11-06,2020,11,6,30,17,0,0,56.6666666666667,13007,0
Marion,9000,1292,996,13,2020-11-06,2020,11,6,51,23,1,1,45.0980392156863,13006,0
Marshall,13637,2473,1831,37,2020-11-06,2020,11,6,77,51,0,0,66.2337662337662,13005,0
Mills,4822,556,271,3,2020-11-06,2020,11,6,31,17,0,0,54.8387096774194,13004,0
Mitchell,3443,397,206,2,2020-11-06,2020,11,6,27,27,0,0,100,13003,0
Monona,2373,287,207,2,2020-11-06,2020,11,6,19,4,0,0,21.0526315789474,13002,0
Monroe,1868,304,174,12,2020-11-06,2020,11,6,9,11,0,0,122.222222222222,13001,0
Montgomery,2503,246,200,7,2020-11-06,2020,11,6,15,7,8,0,46.6666666666667,13000,0
Muscatine,12575,1776,1157,59,2020-11-06,2020,11,6,120,56,0,0,46.6666666666667,12999,0
O'Brien,4134,908,494,18,2020-11-06,2020,11,6,22,13,0,0,59.0909090909091,12998,0
Osceola,1482,342,215,0,2020-11-06,2020,11,6,12,6,0,0,50,12997,0
Page,3785,602,409,0,2020-11-06,2020,11,6,51,28,1,0,54.9019607843137,12996,0
Palo Alto,2771,391,259,2,2020-11-06,2020,11,6,24,10,0,0,41.6666666666667,12995,0
Plymouth,8697,2011,1339,33,2020-11-06,2020,11,6,60,38,0,0,63.3333333333333,12994,0
Pocahontas,2268,321,189,2,2020-11-06,2020,11,6,27,9,0,0,33.3333333333333,12993,0
Polk,165337,22359,16755,297,2020-11-06,2020,11,6,879,352,-1,1,40.0455062571104,12992,0
Pottawattamie,28523,3875,2779,48,2020-11-06,2020,11,6,172,69,12,1,40.1162790697674,12991,0
Poweshiek,5112,598,420,11,2020-11-06,2020,11,6,25,13,1,0,52,12990,0
Ringgold,1506,118,87,2,2020-11-06,2020,11,6,13,3,0,0,23.0769230769231,12989,0
Sac,3459,498,324,5,2020-11-06,2020,11,6,10,7,0,0,70,12988,0
Scott,50214,6043,3627,51,2020-11-06,2020,11,6,303,158,6,0,52.1452145214522,12987,0
Shelby,3163,480,430,2,2020-11-06,2020,11,6,24,11,4,0,45.8333333333333,12986,0
Sioux,10271,2836,2067,20,2020-11-06,2020,11,6,39,23,0,0,58.974358974359,12985,0
Story,35332,4658,3669,18,2020-11-06,2020,11,6,254,112,0,0,44.0944881889764,12984,0
Tama,5553,1127,805,38,2020-11-06,2020,11,6,26,10,0,0,38.4615384615385,12983,0
Taylor,1641,304,203,2,2020-11-06,2020,11,6,19,10,0,0,52.6315789473684,12982,0
Union,4090,334,253,6,2020-11-06,2020,11,6,28,11,3,0,39.2857142857143,12981,0
Van Buren,1601,230,135,2,2020-11-06,2020,11,6,15,5,0,0,33.3333333333333,12980,0
Wapello,10140,1781,1454,64,2020-11-06,2020,11,6,40,29,1,0,72.5,12979,0
Warren,16264,1575,1037,9,2020-11-06,2020,11,6,86,18,4,0,20.9302325581395,12978,0
Washington,7007,826,543,12,2020-11-06,2020,11,6,55,11,0,0,20,12977,0
Wayne,1427,217,111,4,2020-11-06,2020,11,6,3,14,1,0,466.666666666667,12976,0
Webster,14848,2300,1526,18,2020-11-06,2020,11,6,64,45,0,1,70.3125,12975,0
Winnebago,3880,596,347,20,2020-11-06,2020,11,6,26,11,0,0,42.3076923076923,12974,0
Winneshiek,5768,594,425,9,2020-11-06,2020,11,6,45,11,10,0,24.4444444444444,12973,0
Woodbury,39728,8181,6267,102,2020-11-06,2020,11,6,103,49,1,0,47.5728155339806,12972,0
Worth,2151,194,116,0,2020-11-06,2020,11,6,13,7,-1,0,53.8461538461539,12971,0
Wright,5412,884,650,1,2020-11-06,2020,11,6,29,10,0,0,34.4827586206897,12970,0
