EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Polk,87047,10157,7520,207
Linn,34036,2329,1821,87
Scott,25167,1703,1164,14
Johnson,25024,2062,1513,19
Black Hawk,24510,3104,2485,66
Woodbury,21544,3715,3325,51
Dubuque,20627,1665,991,31
Dallas,17178,1862,1419,35
Story,16300,1154,879,14
Pottawattamie,15268,1308,942,26
Marshall,8402,1435,1090,26
Cerro Gordo,8036,602,348,17
Warren,7981,551,345,1
Buena Vista,7911,1791,1732,12
Webster,6843,797,491,7
Muscatine,6788,845,733,48
Pending Investigation,5930,6,0,0
Clinton,5909,373,146,3
Wapello,5827,880,772,33
Jasper,4843,473,361,26
Des Moines,4440,164,102,2
Sioux,4234,624,513,3
Plymouth,4080,456,353,9
Boone,4038,250,172,2
Dickinson,3902,377,303,4
Crawford,3665,727,681,3
Bremer,3541,221,109,7
Marion,3443,169,136,0
Benton,3431,153,101,1
Carroll,3349,185,163,1
Wright,3255,464,405,1
Tama,3245,548,462,29
Washington,3127,295,271,10
Lee,3064,111,54,3
Buchanan,2926,124,63,1
Mills,2748,88,52,0
Iowa,2687,97,63,1
Henry,2676,119,89,3
Jackson,2675,151,75,1
Fayette,2669,82,61,0
Floyd,2609,148,97,2
Hardin,2595,177,101,0
Hamilton,2591,245,235,1
Jones,2566,129,81,2
Clay,2565,185,151,1
Cedar,2470,130,96,1
Delaware,2401,109,84,1
Winneshiek,2327,95,60,1
Madison,2277,116,63,2
Butler,2252,120,104,2
Clayton,2235,104,79,3
Union,2152,76,39,1
Poweshiek,2091,157,110,8
Mahaska,2077,139,110,17
Allamakee,2064,154,137,4
Kossuth,2028,85,50,0
Page,1939,94,69,0
O'Brien,1930,137,100,2
Jefferson,1922,83,64,0
Mitchell,1880,78,67,0
Louisa,1836,378,352,14
Grundy,1831,79,50,1
Hancock,1815,121,102,2
Franklin,1776,238,175,10
Guthrie,1762,131,97,5
Sac,1710,83,69,0
Cherokee,1702,107,93,1
Chickasaw,1643,54,49,0
Shelby,1632,182,155,1
Winnebago,1611,79,50,0
Harrison,1606,105,82,0
Cass,1573,62,40,1
Calhoun,1559,83,73,2
Emmet,1540,190,121,4
Clarke,1515,197,138,3
Palo Alto,1461,84,55,0
Appanoose,1454,48,36,3
Montgomery,1345,59,35,4
Humboldt,1289,108,76,1
Howard,1278,49,37,0
Greene,1240,41,33,0
Pocahontas,1196,115,106,2
Monona,1167,91,79,0
Worth,1125,66,31,0
Keokuk,1084,34,22,1
Lyon,1077,113,93,2
Adair,963,29,17,0
Ida,897,29,23,0
Taylor,886,98,88,0
Lucas,830,60,32,4
Monroe,824,72,47,7
Davis,808,55,42,1
Van Buren,730,34,21,1
Ringgold,723,21,20,1
Audubon,714,28,15,1
Fremont,707,42,17,0
Osceola,641,82,71,0
Decatur,609,23,16,0
Wayne,482,19,12,1
Adams,424,16,10,0
