EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Polk,100868,11618,8958,214
Linn,38402,2716,2224,90
Scott,28178,1983,1515,18
Johnson,28162,2425,1782,24
Black Hawk,27348,3489,2805,68
Woodbury,23448,3921,3518,54
Dubuque,22952,1899,1346,35
Story,22337,1547,1065,16
Dallas,19823,2093,1658,35
Pottawattamie,16948,1505,1174,31
Webster,9773,691,604,8
Warren,9411,646,477,4
Marshall,9171,1564,1296,28
Cerro Gordo,9039,703,527,20
Buena Vista,8202,1813,1762,12
Muscatine,7508,921,747,48
Pending Investigation,7123,5,0,0
Clinton,6989,641,246,5
Wapello,6405,1000,865,43
Des Moines,5713,408,127,3
Jasper,5535,518,415,29
Sioux,5079,759,557,3
Plymouth,4596,602,407,15
Boone,4561,311,218,3
Marion,4264,287,181,0
Dickinson,4203,400,351,5
Lee,3989,242,75,5
Bremer,3984,262,161,7
Crawford,3956,778,696,3
Carroll,3869,287,179,2
Benton,3821,181,129,1
Wright,3656,492,430,1
Tama,3583,582,491,29
Washington,3440,316,288,10
Buchanan,3299,163,89,1
Henry,3097,201,103,4
Floyd,3031,183,151,3
Fayette,3022,121,71,0
Hamilton,2977,246,228,2
Mills,2958,114,70,1
Jackson,2952,180,124,1
Iowa,2925,107,75,1
Clay,2881,229,166,2
Jones,2848,148,107,2
Hardin,2844,210,144,1
Winneshiek,2809,165,87,1
Delaware,2769,162,126,2
Cedar,2726,144,109,1
Madison,2642,146,89,2
Clayton,2541,151,104,3
Butler,2498,156,134,2
Poweshiek,2399,176,133,8
Union,2389,90,59,3
Kossuth,2382,110,75,0
Mahaska,2369,158,120,18
Allamakee,2254,166,141,4
Jefferson,2191,103,71,0
Page,2152,106,100,0
O'Brien,2152,162,121,7
Winnebago,2127,142,70,2
Mitchell,2073,90,75,0
Grundy,2067,109,64,1
Franklin,2043,274,228,16
Hancock,2007,131,117,2
Guthrie,2006,157,121,5
Louisa,2002,381,359,14
Cass,1924,105,90,2
Cherokee,1897,126,107,1
Sac,1859,98,75,0
Calhoun,1840,101,75,2
Harrison,1829,134,101,1
Chickasaw,1828,86,66,0
Shelby,1802,205,190,1
Appanoose,1765,65,54,3
Clarke,1741,215,157,3
Humboldt,1718,98,80,2
Emmet,1692,212,160,7
Palo Alto,1638,105,66,0
Montgomery,1495,69,56,4
Howard,1429,83,47,0
Greene,1392,46,38,0
Pocahontas,1351,121,109,2
Monona,1282,102,88,1
Worth,1239,74,52,0
Lyon,1226,135,117,2
Keokuk,1212,46,26,1
Adair,1181,43,20,1
Decatur,1077,32,24,0
Ida,1050,36,29,0
Lucas,1048,79,36,4
Taylor,979,105,99,0
Monroe,946,91,58,8
Davis,943,76,48,2
Van Buren,853,45,24,1
Ringgold,812,29,23,1
Fremont,808,53,25,0
Audubon,792,33,24,1
Osceola,705,91,76,0
Wayne,657,34,21,2
Adams,457,20,17,0
