County,IndTested,IndPositive,IndRec,Deaths,Date,Year,Month,Day,NewIndTested,NewIndPositive,NewIndRec,NewDeaths,PosTestRate,ID,PosTestRate14
Adair,2067,201,77,1,2020-10-30,2020,10,30,3,4,0,0,133.333333333333,12375,0
Adams,852,84,47,1,2020-10-30,2020,10,30,2,0,0,0,0,12374,0
Allamakee,3451,418,261,9,2020-10-30,2020,10,30,27,17,0,0,62.962962962963,12373,0
Appanoose,3250,258,151,3,2020-10-30,2020,10,30,17,5,0,0,29.4117647058824,12372,0
Audubon,1490,179,101,1,2020-10-30,2020,10,30,8,17,0,0,212.5,12371,0
Benton,7091,676,356,2,2020-10-30,2020,10,30,57,23,0,0,40.3508771929825,12370,0
Black Hawk,42049,6129,4530,102,2020-10-30,2020,10,30,218,134,0,0,61.4678899082569,12369,0
Boone,7665,761,545,9,2020-10-30,2020,10,30,33,8,0,0,24.2424242424242,12368,0
Bremer,6427,740,512,9,2020-10-30,2020,10,30,22,18,-1,0,81.8181818181818,12367,0
Buchanan,5458,511,310,5,2020-10-30,2020,10,30,37,21,0,0,56.7567567567568,12366,0
Buena Vista,10430,2317,2033,12,2020-10-30,2020,10,30,33,15,0,0,45.4545454545455,12365,0
Butler,4005,412,348,3,2020-10-30,2020,10,30,15,2,1,0,13.3333333333333,12364,0
Calhoun,3147,334,266,4,2020-10-30,2020,10,30,11,7,9,0,63.6363636363636,12363,0
Carroll,7185,1224,726,13,2020-10-30,2020,10,30,23,12,0,0,52.1739130434783,12362,0
Cass,3669,450,305,3,2020-10-30,2020,10,30,22,25,11,0,113.636363636364,12361,0
Cedar,5075,519,274,7,2020-10-30,2020,10,30,26,10,0,0,38.4615384615385,12360,0
Cerro Gordo,13770,1534,1086,27,2020-10-30,2020,10,30,87,27,0,0,31.0344827586207,12359,0
Cherokee,3394,431,293,2,2020-10-30,2020,10,30,21,17,0,0,80.952380952381,12358,0
Chickasaw,3034,382,353,1,2020-10-30,2020,10,30,11,8,12,0,72.7272727272727,12357,0
Clarke,2808,360,266,3,2020-10-30,2020,10,30,17,2,0,0,11.7647058823529,12356,0
Clay,4749,565,365,4,2020-10-30,2020,10,30,15,4,0,0,26.6666666666667,12355,0
Clayton,4040,525,353,3,2020-10-30,2020,10,30,44,31,8,0,70.4545454545455,12354,0
Clinton,12135,1585,1161,28,2020-10-30,2020,10,30,84,14,0,0,16.6666666666667,12353,0
Crawford,6111,1398,1124,14,2020-10-30,2020,10,30,15,7,0,0,46.6666666666667,12352,0
Dallas,30919,3631,2871,47,2020-10-30,2020,10,30,134,46,0,0,34.3283582089552,12351,0
Davis,1651,193,129,4,2020-10-30,2020,10,30,8,5,0,0,62.5,12350,0
Decatur,1975,170,72,0,2020-10-30,2020,10,30,14,8,0,0,57.1428571428572,12349,0
Delaware,4846,841,541,13,2020-10-30,2020,10,30,18,11,2,0,61.1111111111111,12348,0
Des Moines,11998,1534,864,11,2020-10-30,2020,10,30,51,13,0,0,25.4901960784314,12347,0
Dickinson,6374,813,562,9,2020-10-30,2020,10,30,30,13,0,0,43.3333333333333,12346,0
Dubuque,36626,5622,3656,58,2020-10-30,2020,10,30,154,95,3,0,61.6883116883117,12345,0
Emmet,2880,462,312,21,2020-10-30,2020,10,30,24,8,2,0,33.3333333333333,12344,0
Fayette,5040,418,251,4,2020-10-30,2020,10,30,19,8,1,0,42.1052631578947,12343,0
Floyd,4533,470,412,11,2020-10-30,2020,10,30,24,7,6,0,29.1666666666667,12342,0
Franklin,2920,401,347,18,2020-10-30,2020,10,30,21,6,0,0,28.5714285714286,12341,0
Fremont,1581,217,140,2,2020-10-30,2020,10,30,5,2,0,0,40,12340,0
Greene,2548,196,125,0,2020-10-30,2020,10,30,8,3,0,0,37.5,12339,0
Grundy,3323,350,238,6,2020-10-30,2020,10,30,13,10,0,0,76.9230769230769,12338,0
Guthrie,3299,421,273,15,2020-10-30,2020,10,30,1,0,0,0,0,12337,0
Hamilton,4405,492,445,5,2020-10-30,2020,10,30,16,8,4,0,50,12336,0
Hancock,3185,376,269,6,2020-10-30,2020,10,30,21,5,5,0,23.8095238095238,12335,0
