EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Polk,101689,11744,8974,214
Linn,38683,2736,2227,91
Johnson,28387,2488,1792,24
Scott,28338,2000,1518,19
Black Hawk,27484,3512,2814,69
Woodbury,23534,3940,3522,54
Dubuque,22996,1903,1354,35
Story,22452,1569,1069,16
Dallas,19928,2114,1669,36
Pottawattamie,17028,1516,1180,31
Webster,9803,694,605,8
Warren,9488,652,478,5
Marshall,9221,1567,1297,28
Cerro Gordo,9077,712,529,20
Buena Vista,8218,1815,1762,12
Muscatine,7531,924,747,48
Pending Investigation,7152,2,0,0
Clinton,7053,658,248,6
Wapello,6466,1007,865,43
Des Moines,5774,419,128,3
Jasper,5559,522,416,29
Sioux,5120,766,560,3
Plymouth,4636,614,408,15
Boone,4572,314,219,3
Marion,4318,299,182,0
Dickinson,4237,400,352,5
Lee,4018,252,78,5
Bremer,4007,265,161,7
Crawford,3973,787,696,3
Carroll,3946,296,179,2
Benton,3837,182,129,1
Wright,3671,494,430,1
Tama,3595,583,491,29
Washington,3444,316,288,10
Buchanan,3313,164,90,1
Henry,3115,202,104,4
Floyd,3044,183,151,3
Fayette,3043,123,71,0
Hamilton,2992,246,228,2
Mills,2979,117,70,1
Jackson,2966,180,125,1
Iowa,2935,105,75,1
Clay,2890,229,166,2
Hardin,2875,213,144,1
Jones,2869,151,111,2
Winneshiek,2835,167,87,1
Delaware,2771,162,127,2
Cedar,2738,144,109,1
Madison,2650,151,91,2
Clayton,2549,152,104,3
Butler,2517,161,134,2
Poweshiek,2423,176,133,8
Union,2404,90,60,3
Kossuth,2387,110,75,0
Mahaska,2375,158,120,18
Allamakee,2268,167,141,4
Jefferson,2204,103,71,0
O'Brien,2163,163,121,7
Page,2159,107,101,0
Winnebago,2137,143,70,2
Grundy,2092,112,65,1
Mitchell,2088,92,75,0
Franklin,2050,274,228,16
Guthrie,2026,157,121,5
Hancock,2021,133,118,2
Louisa,2007,382,359,14
Cass,1933,105,90,2
Cherokee,1907,126,107,1
Sac,1870,100,77,0
Calhoun,1847,101,75,2
Harrison,1847,135,101,1
Chickasaw,1831,86,66,0
Shelby,1811,206,190,1
Appanoose,1779,66,54,3
Clarke,1748,216,159,3
Humboldt,1729,99,80,2
Emmet,1699,212,161,7
Palo Alto,1642,105,66,0
Montgomery,1495,69,56,4
Howard,1440,86,47,0
Greene,1403,45,38,0
Pocahontas,1356,122,109,2
Monona,1284,103,88,1
Worth,1245,74,52,0
Lyon,1231,136,120,2
Keokuk,1213,46,26,1
Adair,1184,43,20,1
Decatur,1079,32,24,0
Ida,1052,36,29,0
Lucas,1052,79,36,4
Taylor,983,107,99,0
Monroe,954,92,58,8
Davis,947,77,48,2
Van Buren,856,46,24,1
Fremont,813,55,25,0
Ringgold,812,29,23,1
Audubon,797,35,24,1
Osceola,707,91,76,0
Wayne,659,33,21,2
Adams,457,20,17,0
