EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Polk,102093,11796,8996,215
Linn,38811,2748,2262,91
Johnson,28650,2570,1796,24
Scott,28446,2012,1523,19
Black Hawk,27553,3516,2817,70
Woodbury,23654,3959,3527,54
Dubuque,23064,1905,1374,35
Story,22485,1578,1070,16
Dallas,19994,2125,1670,36
Pottawattamie,17040,1517,1190,31
Webster,9828,695,615,8
Warren,9543,659,483,5
Marshall,9238,1569,1299,28
Cerro Gordo,9115,718,530,20
Buena Vista,8223,1816,1762,12
Muscatine,7564,927,748,48
Pending Investigation,7173,2,0,0
Clinton,7088,673,252,7
Wapello,6496,1016,870,45
Des Moines,5805,424,128,3
Jasper,5597,523,416,30
Sioux,5168,780,562,3
Plymouth,4652,615,410,15
Boone,4588,321,221,3
Marion,4404,314,196,0
Dickinson,4245,402,353,5
Lee,4076,259,80,5
Bremer,4015,265,163,7
Crawford,3988,794,696,3
Carroll,3971,302,179,2
Benton,3864,182,131,1
Wright,3674,495,430,1
Tama,3609,586,493,29
Washington,3469,315,288,10
Buchanan,3331,164,90,1
Henry,3135,205,104,4
Fayette,3060,124,72,1
Floyd,3055,183,162,3
Hamilton,2999,247,228,2
Mills,2982,117,72,1
Jackson,2976,180,125,1
Iowa,2948,107,77,1
Clay,2896,229,166,2
Hardin,2886,213,146,1
Jones,2882,154,113,2
Winneshiek,2863,171,89,1
Delaware,2786,163,132,2
Cedar,2759,146,109,1
Madison,2657,150,92,2
Clayton,2556,152,106,3
Butler,2525,163,135,2
Poweshiek,2432,178,136,8
Union,2407,90,62,3
Mahaska,2396,164,123,18
Kossuth,2393,112,75,0
Allamakee,2282,168,141,4
Jefferson,2221,105,71,0
O'Brien,2173,164,123,7
Page,2157,104,101,0
Winnebago,2148,144,71,3
Grundy,2097,112,65,1
Mitchell,2095,93,75,0
Franklin,2056,275,233,16
Guthrie,2032,157,121,5
Hancock,2024,134,124,2
Louisa,2017,382,359,14
Cass,1940,104,94,2
Cherokee,1914,126,112,1
Sac,1876,101,77,0
Harrison,1854,136,106,1
Calhoun,1851,100,81,2
Chickasaw,1836,86,73,0
Shelby,1815,208,194,1
Appanoose,1796,66,55,3
Clarke,1751,216,159,3
Humboldt,1734,100,86,2
Emmet,1705,213,164,7
Palo Alto,1643,105,66,0
Montgomery,1495,68,58,4
Howard,1444,87,51,0
Greene,1413,46,38,0
Pocahontas,1358,122,109,2
Monona,1291,104,88,1
Worth,1253,75,53,0
Lyon,1236,136,120,2
Keokuk,1221,48,26,1
Adair,1187,43,20,1
Decatur,1085,36,24,0
Lucas,1060,80,36,4
Ida,1057,36,29,0
Taylor,986,107,99,0
Monroe,964,93,58,8
Davis,953,77,48,2
Van Buren,865,47,24,1
Ringgold,815,30,24,1
Fremont,812,54,24,0
Audubon,797,36,24,1
Osceola,714,91,76,0
Wayne,665,33,24,2
Adams,459,20,17,0
