EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Polk,103332,12021,9269,221
Linn,39743,2809,2318,92
Johnson,29360,2858,1851,24
Scott,28754,2047,1560,19
Black Hawk,27840,3546,2869,72
Woodbury,23876,4001,3560,54
Dubuque,23280,1932,1434,36
Story,22972,1738,1096,16
Dallas,20189,2160,1711,36
Pottawattamie,17176,1534,1253,34
Webster,9930,711,615,8
Warren,9650,672,500,5
Marshall,9339,1593,1347,29
Cerro Gordo,9224,725,543,20
Buena Vista,8253,1817,1767,12
Muscatine,7641,939,752,48
Pending Investigation,7572,10,0,0
Clinton,7243,708,286,8
Wapello,6558,1039,897,46
Des Moines,5911,455,133,4
Jasper,5718,533,422,30
Sioux,5286,820,576,3
Plymouth,4750,645,423,16
Boone,4654,325,226,4
Marion,4605,360,198,0
Dickinson,4270,406,360,5
Lee,4217,298,87,5
Carroll,4068,320,192,2
Bremer,4065,270,171,7
Crawford,4034,803,705,3
Benton,3914,184,132,1
Wright,3718,496,430,1
Tama,3650,593,504,29
Washington,3523,320,292,11
Mahaska,3486,200,132,18
Buchanan,3367,166,98,1
Henry,3215,210,104,4
Fayette,3125,130,76,1
Floyd,3099,188,166,3
Hamilton,3027,247,231,2
Jackson,3016,183,131,1
Mills,3004,119,76,1
Iowa,2979,108,83,1
Winneshiek,2977,195,95,1
Hardin,2933,214,152,1
Clay,2932,234,168,2
Jones,2927,159,118,2
Delaware,2876,185,139,3
Cedar,2793,146,112,1
Madison,2691,150,95,2
Clayton,2615,170,119,3
Butler,2550,170,139,2
Poweshiek,2458,177,148,8
Kossuth,2430,115,76,0
Union,2429,91,63,3
Allamakee,2312,169,141,4
Jefferson,2252,108,75,0
O'Brien,2197,172,125,7
Page,2182,107,106,0
Winnebago,2171,146,73,6
Grundy,2133,115,70,1
Mitchell,2112,92,76,0
Franklin,2075,279,244,16
Hancock,2053,139,124,2
Guthrie,2052,160,122,5
Louisa,2038,384,360,14
Cass,1970,107,97,2
Cherokee,1934,130,118,1
Sac,1912,103,79,0
Calhoun,1882,103,82,2
Chickasaw,1879,91,75,0
Harrison,1877,140,110,1
Shelby,1849,211,196,1
Appanoose,1816,69,56,3
Clarke,1770,221,168,3
Humboldt,1748,101,87,2
Emmet,1734,215,174,7
Palo Alto,1663,106,72,0
Montgomery,1504,69,59,4
Howard,1477,112,52,2
Greene,1437,49,38,0
Pocahontas,1371,124,110,2
Monona,1311,105,89,1
Worth,1276,76,58,0
Lyon,1257,137,124,2
Keokuk,1234,52,27,1
Adair,1198,43,20,1
Decatur,1099,38,24,0
Lucas,1083,83,36,5
Ida,1067,38,29,0
Taylor,999,107,101,0
Monroe,981,93,58,8
Davis,967,78,48,2
Van Buren,882,47,26,1
Ringgold,825,30,25,1
Fremont,823,54,29,0
Audubon,816,36,26,1
Osceola,719,92,78,0
Wayne,693,39,26,2
Adams,471,20,17,0
