EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Polk,105601,12954,9510,224
Linn,40313,2894,2389,94
Johnson,30405,3375,1895,26
Scott,29243,2129,1606,20
Black Hawk,28186,3676,2920,73
Woodbury,24002,4064,3586,56
Story,23800,2157,1113,16
Dubuque,23586,1984,1496,36
Dallas,20517,2321,1763,39
Pottawattamie,17357,1586,1313,34
Webster,10048,996,628,8
Warren,9806,748,523,5
Cerro Gordo,9346,800,556,20
Marshall,9343,1621,1367,29
Buena Vista,8281,1824,1771,12
Muscatine,7736,947,771,51
Pending Investigation,7652,9,0,0
Clinton,7481,777,309,9
Wapello,6654,1062,904,49
Des Moines,6379,529,136,5
Jasper,5802,561,428,30
Sioux,5408,863,588,3
Marion,4914,443,202,0
Plymouth,4845,685,434,18
Boone,4760,338,229,4
Lee,4438,365,89,5
Dickinson,4339,418,364,5
Carroll,4147,351,192,2
Bremer,4101,286,178,7
Crawford,4043,821,711,3
Benton,3964,192,134,1
Wright,3713,516,430,1
Tama,3613,609,509,29
Mahaska,3573,210,144,18
Washington,3558,334,295,11
Buchanan,3432,172,105,1
Henry,3422,259,106,4
Fayette,3174,136,80,1
Floyd,3163,211,171,3
Jackson,3070,196,136,1
Hamilton,3056,279,231,2
Mills,3042,126,81,1
Winneshiek,3035,208,111,1
Iowa,2995,110,84,1
Clay,2983,236,169,2
Hardin,2976,225,160,1
Jones,2957,166,130,2
Delaware,2949,197,140,3
Cedar,2844,147,117,1
Madison,2731,160,102,2
Clayton,2642,177,124,3
Poweshiek,2634,182,154,8
Butler,2615,189,150,2
Union,2463,93,68,3
Kossuth,2449,118,79,0
Winnebago,2355,155,76,6
Allamakee,2320,172,143,4
Jefferson,2295,116,75,0
O'Brien,2241,186,127,7
Page,2206,110,106,0
Grundy,2183,124,73,1
Mitchell,2148,94,76,0
Franklin,2108,293,246,16
Hancock,2082,147,126,2
Guthrie,2077,168,125,5
Louisa,2057,393,361,14
Cass,2006,112,98,2
Cherokee,1949,135,123,2
Sac,1941,106,81,0
Chickasaw,1918,98,80,0
Harrison,1905,143,115,1
Calhoun,1900,118,86,2
Shelby,1855,214,204,1
Appanoose,1844,77,61,3
Clarke,1794,233,180,3
Humboldt,1768,153,88,2
Emmet,1760,218,181,7
Palo Alto,1676,111,74,0
Montgomery,1533,73,60,4
Howard,1514,126,54,2
Greene,1459,53,38,0
Pocahontas,1380,129,110,2
Monona,1324,106,90,1
Worth,1295,79,61,0
Lyon,1275,141,126,2
Keokuk,1247,58,27,1
Adair,1222,49,20,1
Decatur,1112,43,24,0
Lucas,1107,93,38,5
Ida,1072,39,29,0
Taylor,1013,109,102,1
Monroe,1004,101,58,8
Davis,978,80,48,2
Van Buren,933,98,30,1
Fremont,832,57,35,0
Ringgold,832,30,26,1
Audubon,819,37,27,1
Osceola,736,97,78,0
Wayne,706,46,29,2
Adams,484,20,17,0
