EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Polk,91934,10751,8205,210
Linn,35866,2475,1962,89
Scott,26167,1791,1324,15
Johnson,26137,2154,1641,21
Black Hawk,25480,3219,2612,66
Woodbury,22121,3779,3422,52
Dubuque,21384,1746,1180,31
Story,19539,1198,935,15
Dallas,18034,1954,1514,35
Pottawattamie,15903,1383,1033,29
Marshall,8677,1467,1155,27
Warren,8469,597,405,2
Cerro Gordo,8407,667,435,18
Buena Vista,8006,1802,1743,12
Webster,7062,862,633,8
Muscatine,7049,876,739,48
Pending Investigation,6285,6,0,0
Clinton,6254,443,178,4
Wapello,6090,938,803,36
Jasper,5098,489,390,27
Des Moines,4797,207,111,2
Sioux,4429,662,533,3
Boone,4258,275,183,3
Plymouth,4222,487,377,12
Dickinson,4022,385,332,4
Crawford,3750,742,685,3
Bremer,3731,235,127,7
Marion,3705,191,154,0
Benton,3593,162,103,1
Carroll,3526,206,166,2
Wright,3371,485,418,1
Tama,3340,561,481,29
Lee,3256,134,57,5
Washington,3237,307,275,10
Buchanan,3075,138,71,1
Mills,2825,94,57,1
Henry,2809,144,96,4
Fayette,2799,93,65,0
Jackson,2791,165,94,1
Floyd,2780,171,129,3
Iowa,2780,98,66,1
Hardin,2715,187,122,0
Clay,2697,206,159,1
Hamilton,2672,255,240,1
Jones,2666,135,95,2
Cedar,2566,135,102,1
Delaware,2530,127,99,1
Winneshiek,2491,104,78,1
Madison,2418,129,79,2
Butler,2357,133,111,2
Clayton,2326,113,93,3
Union,2267,81,54,1
Mahaska,2201,144,117,17
Poweshiek,2198,160,119,8
Kossuth,2174,99,64,0
Allamakee,2141,160,136,4
Page,2065,101,80,0
Jefferson,2035,88,66,0
O'Brien,2022,143,111,5
Mitchell,1976,81,68,0
Grundy,1908,85,54,1
Hancock,1886,125,115,2
Louisa,1880,378,356,14
Franklin,1867,257,210,12
Guthrie,1857,140,108,5
Cass,1785,90,56,1
Cherokee,1776,110,100,1
Winnebago,1772,103,59,0
Sac,1770,87,74,0
Chickasaw,1706,62,53,0
Shelby,1691,189,173,1
Harrison,1678,114,92,1
Calhoun,1631,90,78,2
Emmet,1607,194,139,4
Appanoose,1596,53,42,3
Clarke,1580,208,147,3
Palo Alto,1528,97,62,0
Montgomery,1420,62,45,4
Humboldt,1361,126,90,1
Howard,1331,55,42,0
Greene,1296,42,37,0
Pocahontas,1235,120,108,2
Monona,1198,93,82,0
Worth,1171,68,43,0
Keokuk,1136,41,23,1
Lyon,1135,124,103,2
Adair,1076,38,20,0
Ida,934,33,25,0
Taylor,921,100,90,0
Lucas,909,73,34,4
Monroe,869,75,53,8
Davis,867,62,44,2
Van Buren,775,38,22,1
Ringgold,747,24,20,1
Audubon,746,30,19,1
Fremont,738,45,19,0
Osceola,668,86,71,0
Decatur,631,27,23,0
Wayne,527,21,14,1
Adams,437,17,16,0
