EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Polk,77776,9107,5901,192
Linn,29579,1851,1431,87
Johnson,22293,1764,1217,11
Black Hawk,22273,2866,2038,62
Scott,21754,1490,712,11
Woodbury,20034,3567,3183,47
Dubuque,18602,1367,504,26
Dallas,15168,1674,1148,34
Pottawattamie,13543,1048,747,19
Story,11566,1054,711,11
Buena Vista,7669,1776,1682,12
Marshall,7580,1309,993,23
Cerro Gordo,7329,551,143,16
Warren,7024,473,248,1
Webster,6436,654,229,5
Muscatine,6184,772,683,46
Wapello,5217,796,718,31
Clinton,4928,243,98,2
Pending Investigation,4899,2,0,0
Jasper,4317,439,320,23
Des Moines,3832,131,85,2
Plymouth,3756,415,300,8
Sioux,3753,563,455,1
Boone,3631,218,133,1
Dickinson,3573,359,237,4
Crawford,3407,699,664,3
Bremer,3153,166,79,7
Wright,3049,431,370,1
Tama,3009,521,422,29
Marion,2968,137,92,0
Benton,2961,117,82,1
Carroll,2932,168,120,1
Washington,2884,280,248,9
Buchanan,2596,90,44,1
Lee,2572,77,48,2
Mills,2546,71,37,0
Iowa,2420,77,51,1
Hamilton,2415,226,211,1
Fayette,2413,71,33,0
Jackson,2396,126,26,0
Henry,2368,104,78,3
Clay,2355,166,122,1
Floyd,2353,95,68,2
Hardin,2350,137,68,0
Jones,2233,109,61,1
Cedar,2221,109,77,1
Winneshiek,2052,71,51,1
Butler,2038,99,81,2
Clayton,2004,82,55,3
Madison,1979,87,40,2
Delaware,1924,79,59,1
Allamakee,1922,146,122,4
Union,1915,64,29,1
Mahaska,1866,132,103,17
Kossuth,1803,72,32,0
Louisa,1730,373,346,13
Poweshiek,1719,123,102,8
Mitchell,1706,75,62,0
Jefferson,1669,71,52,0
Hancock,1646,105,72,2
Grundy,1637,65,33,1
Page,1630,56,30,0
Guthrie,1609,122,69,5
Franklin,1602,172,87,3
O'Brien,1596,112,82,1
Cherokee,1579,96,77,1
Sac,1578,76,63,0
Harrison,1443,84,62,0
Chickasaw,1443,47,37,0
Calhoun,1438,75,65,2
Winnebago,1420,69,29,0
Shelby,1399,135,126,0
Emmet,1367,145,76,1
Clarke,1363,161,120,3
Palo Alto,1326,64,45,0
Appanoose,1290,36,30,3
Cass,1245,37,29,0
Humboldt,1178,82,66,1
Howard,1164,47,26,0
Greene,1141,37,29,0
Pocahontas,1119,112,71,1
Montgomery,1110,38,20,2
Monona,1081,87,70,0
Worth,1002,51,13,0
Keokuk,986,27,20,1
Lyon,944,90,74,0
Adair,855,20,16,0
Ida,834,28,21,0
Taylor,808,93,80,0
Monroe,739,65,43,7
Davis,738,48,37,1
Lucas,702,40,27,4
Ringgold,675,21,15,1
Audubon,634,25,15,1
Van Buren,596,24,18,1
Osceola,581,75,52,0
Fremont,580,23,7,0
Decatur,554,17,11,0
Wayne,424,14,10,1
Adams,382,13,9,0
