EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Polk,83044,9720,6622,203
Linn,32090,2098,1646,87
Johnson,23779,1923,1398,15
Black Hawk,23557,2998,2261,62
Scott,23407,1593,890,12
Woodbury,20930,3650,3243,51
Dubuque,19670,1535,738,29
Dallas,16316,1789,1273,35
Pottawattamie,14531,1214,821,23
Story,12347,1109,817,14
Marshall,8080,1389,1044,24
Buena Vista,7786,1785,1709,12
Cerro Gordo,7734,576,227,17
Warren,7595,527,292,1
Webster,6639,725,355,5
Muscatine,6496,826,708,48
Wapello,5604,849,745,32
Clinton,5473,317,112,3
Pending Investigation,5307,7,0,0
Jasper,4600,455,334,24
Des Moines,4187,141,88,2
Sioux,4053,594,481,2
Plymouth,3942,443,324,8
Boone,3823,228,155,2
Dickinson,3742,375,261,4
Crawford,3540,719,673,3
Bremer,3343,187,92,7
Benton,3244,142,91,1
Marion,3237,153,122,0
Carroll,3218,181,144,1
Wright,3163,441,390,1
Tama,3136,537,442,29
Washington,3020,287,264,10
Lee,2819,95,52,3
Buchanan,2772,110,58,1
Mills,2658,81,38,0
Iowa,2567,88,53,1
Henry,2566,113,84,3
Jackson,2557,141,37,1
Fayette,2554,80,51,0
Hamilton,2527,241,220,1
Hardin,2500,166,82,0
Floyd,2488,128,90,2
Clay,2476,171,136,1
Jones,2436,123,71,2
Cedar,2336,120,84,1
Winneshiek,2179,83,55,1
Butler,2154,114,96,2
Madison,2146,102,51,2
Clayton,2123,97,74,3
Delaware,2081,90,77,1
Union,2046,70,31,1
Allamakee,1991,151,133,4
Mahaska,1983,136,105,17
Poweshiek,1942,146,105,8
Kossuth,1919,78,37,0
O'Brien,1846,131,91,1
Mitchell,1828,76,66,0
Page,1819,76,56,0
Jefferson,1803,77,63,0
Louisa,1794,378,349,14
Grundy,1771,74,40,1
Hancock,1746,117,92,2
Franklin,1699,219,135,5
Guthrie,1689,126,81,5
Sac,1639,81,66,0
Cherokee,1630,97,85,1
Chickasaw,1563,50,45,0
Shelby,1537,160,134,1
Harrison,1537,96,73,0
Calhoun,1515,82,70,2
Winnebago,1511,76,32,0
Emmet,1481,179,102,1
Clarke,1451,186,130,3
Palo Alto,1403,79,47,0
Cass,1378,48,35,1
Appanoose,1374,42,34,3
Howard,1230,48,35,0
Humboldt,1226,92,73,1
Montgomery,1203,43,31,3
Greene,1194,38,32,0
Pocahontas,1158,113,95,1
Monona,1133,90,78,0
Worth,1077,61,21,0
Keokuk,1039,30,21,1
Lyon,1020,101,86,0
Adair,900,21,16,0
Ida,869,29,23,0
Taylor,853,93,83,0
Monroe,795,67,45,7
Davis,780,48,41,1
Lucas,762,45,28,4
Ringgold,701,21,20,1
Audubon,696,28,15,1
Van Buren,677,32,20,1
Fremont,657,35,10,0
Osceola,607,77,63,0
Decatur,587,21,11,0
Wayne,454,16,10,1
Adams,405,16,10,0
