County,IndTested,IndPositive,IndRec,Deaths,Date,Year,Month,Day,NewIndTested,NewIndPositive,NewIndRec,NewDeaths,PosTestRate,ID
Adair,784,20,16,0,2020-07-25,2020,7,25,19,0,0,0,0,3465
Adams,377,12,9,0,2020-07-25,2020,7,25,4,0,0,0,0,3464
Allamakee,1896,144,122,4,2020-07-25,2020,7,25,6,0,0,0,0,3463
Appanoose,1260,34,30,3,2020-07-25,2020,7,25,23,0,3,0,0,3462
Audubon,631,25,15,1,2020-07-25,2020,7,25,7,1,0,0,14.2857142857143,3461
Benton,2891,109,81,1,2020-07-25,2020,7,25,33,4,0,0,12.1212121212121,3460
Black Hawk,21876,2830,2022,61,2020-07-25,2020,7,25,184,28,28,0,15.2173913043478,3459
Boone,3550,210,134,1,2020-07-25,2020,7,25,20,1,1,0,5,3458
Bremer,3109,163,79,7,2020-07-25,2020,7,25,26,6,0,0,23.0769230769231,3457
Buchanan,2546,88,44,1,2020-07-25,2020,7,25,17,1,0,0,5.88235294117647,3456
Buena Vista,7617,1774,1679,12,2020-07-25,2020,7,25,6,1,2,0,16.6666666666667,3455
Butler,2009,92,78,2,2020-07-25,2020,7,25,13,3,3,0,23.0769230769231,3454
Calhoun,1419,72,63,2,2020-07-25,2020,7,25,2,0,0,0,0,3453
Carroll,2854,161,120,1,2020-07-25,2020,7,25,10,0,1,0,0,3452
Cass,1209,36,29,0,2020-07-25,2020,7,25,18,1,1,0,5.55555555555556,3451
Cedar,2179,107,77,1,2020-07-25,2020,7,25,16,1,3,0,6.25,3450
Cerro Gordo,7090,519,134,16,2020-07-25,2020,7,25,115,11,3,0,9.56521739130435,3449
Cherokee,1560,94,75,1,2020-07-25,2020,7,25,3,0,1,0,0,3448
Chickasaw,1417,44,37,0,2020-07-25,2020,7,25,6,0,0,0,0,3447
Clarke,1346,160,119,3,2020-07-25,2020,7,25,8,3,0,0,37.5,3446
Clay,2309,165,118,1,2020-07-25,2020,7,25,12,1,2,0,8.33333333333333,3445
Clayton,1947,78,52,3,2020-07-25,2020,7,25,11,4,5,0,36.3636363636364,3444
Clinton,4749,219,94,2,2020-07-25,2020,7,25,57,10,1,0,17.5438596491228,3443
Crawford,3370,692,662,3,2020-07-25,2020,7,25,14,3,4,0,21.4285714285714,3442
Dallas,14891,1642,1140,34,2020-07-25,2020,7,25,132,6,7,0,4.54545454545455,3441
Davis,727,48,36,1,2020-07-25,2020,7,25,7,0,0,0,0,3440
Decatur,540,17,11,0,2020-07-25,2020,7,25,3,0,0,0,0,3439
Delaware,1872,75,59,1,2020-07-25,2020,7,25,16,1,1,0,6.25,3438
Des Moines,3747,130,85,2,2020-07-25,2020,7,25,46,3,0,0,6.52173913043478,3437
Dickinson,3498,355,237,4,2020-07-25,2020,7,25,15,1,2,0,6.66666666666667,3436
Dubuque,18357,1334,495,26,2020-07-25,2020,7,25,135,12,7,0,8.88888888888889,3435
Emmet,1336,139,76,1,2020-07-25,2020,7,25,6,1,0,0,16.6666666666667,3434
Fayette,2374,70,32,0,2020-07-25,2020,7,25,7,1,1,0,14.2857142857143,3433
Floyd,2312,95,68,2,2020-07-25,2020,7,25,27,0,0,0,0,3432
Franklin,1563,166,81,3,2020-07-25,2020,7,25,20,3,1,0,15,3431
