EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Polk,115615,14085,10298,243
Linn,43634,3241,2563,96
Johnson,34517,4571,2103,26
Scott,31868,2382,1766,23
Black Hawk,30656,4028,3078,78
Story,26627,2911,1256,16
Woodbury,25793,4345,3680,57
Dubuque,25456,2195,1682,36
Dallas,22297,2492,1886,38
Pottawattamie,18581,1722,1456,34
Warren,10832,854,568,5
Webster,10728,1079,659,11
Cerro Gordo,10036,886,609,20
Marshall,9926,1716,1431,32
Buena Vista,8564,1860,1780,12
Muscatine,8378,999,808,52
Clinton,8347,940,411,13
Des Moines,7476,632,181,5
Wapello,7252,1133,971,54
Jasper,6529,637,461,30
Sioux,5944,995,639,3
Marion,5816,593,270,2
Plymouth,5527,849,449,18
Lee,5265,497,117,6
Boone,5134,383,264,5
Carroll,4744,493,223,4
Dickinson,4585,444,375,6
Bremer,4492,386,223,7
Crawford,4374,867,726,3
Benton,4326,223,159,1
Henry,4242,404,125,4
Washington,3993,367,306,11
Tama,3978,652,528,29
Mahaska,3972,258,168,18
Wright,3918,526,461,1
Buchanan,3718,188,127,1
Fayette,3439,159,86,1
Floyd,3375,241,189,3
Winneshiek,3373,242,123,4
Jackson,3333,237,157,2
Delaware,3292,262,210,3
Hamilton,3272,295,244,2
Iowa,3255,127,97,1
Mills,3252,138,91,1
Jones,3241,195,139,2
Clay,3184,244,194,3
Hardin,3181,250,185,1
Cedar,3110,178,131,1
Poweshiek,2998,204,169,8
Madison,2983,172,126,2
Butler,2860,224,196,2
Clayton,2849,192,162,3
Kossuth,2718,136,89,0
Union,2662,94,75,3
Winnebago,2546,174,86,10
Allamakee,2508,192,153,5
O'Brien,2473,226,138,8
Jefferson,2462,124,85,1
Mitchell,2389,142,78,0
Grundy,2357,145,79,1
Page,2352,124,115,0
Hancock,2268,164,141,2
Franklin,2261,310,259,17
Guthrie,2255,182,136,5
Louisa,2194,400,363,14
Cherokee,2152,147,128,2
Cass,2152,118,107,2
Sac,2143,126,87,0
Harrison,2135,157,137,2
Appanoose,2121,95,79,3
Chickasaw,2113,140,83,0
Calhoun,2081,138,94,2
Shelby,2035,224,211,1
Clarke,1961,245,198,3
Humboldt,1898,155,99,2
Emmet,1888,230,191,8
Palo Alto,1829,125,86,0
Howard,1689,152,70,3
Montgomery,1648,83,74,5
Greene,1578,67,42,0
Monona,1471,111,92,1
Pocahontas,1464,140,112,2
Worth,1408,85,68,0
Lyon,1390,166,143,2
Keokuk,1372,76,36,1
Adair,1339,50,33,1
Lucas,1280,102,66,5
Decatur,1250,48,26,0
Ida,1210,52,30,0
Monroe,1165,122,66,8
Davis,1086,96,60,3
Taylor,1070,114,102,1
Van Buren,1032,107,35,1
Ringgold,963,34,27,2
Pending Investigation,916,1,0,0
Audubon,909,41,28,1
Fremont,904,63,42,0
Wayne,881,64,36,2
Osceola,783,101,84,0
Adams,532,23,17,0
