EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Polk,80873,9460,6490,201
Linn,30999,1987,1572,87
Johnson,23178,1869,1353,14
Black Hawk,23111,2956,2231,62
Scott,22843,1550,850,11
Woodbury,20580,3619,3233,48
Dubuque,19311,1470,709,28
Dallas,15874,1739,1260,35
Pottawattamie,14087,1151,778,21
Story,12015,1086,795,13
Marshall,7906,1371,1040,24
Buena Vista,7736,1782,1708,12
Cerro Gordo,7596,570,220,17
Warren,7355,501,288,1
Webster,6549,684,354,5
Muscatine,6374,807,691,47
Wapello,5450,826,743,31
Clinton,5237,284,113,2
Pending Investigation,5134,2,0,0
Jasper,4497,450,328,24
Des Moines,4060,143,88,2
Sioux,3933,583,471,2
Plymouth,3870,434,317,8
Boone,3737,226,148,2
Dickinson,3679,369,261,4
Crawford,3488,707,672,3
Bremer,3257,179,89,7
Carroll,3155,175,144,1
Marion,3135,146,106,0
Benton,3111,127,88,1
Wright,3100,439,383,1
Tama,3090,533,439,29
Washington,2953,284,261,10
Lee,2733,89,52,3
Buchanan,2696,104,55,1
Mills,2614,75,38,0
Henry,2512,109,83,3
Fayette,2508,76,49,0
Iowa,2508,86,52,1
Hamilton,2495,237,217,1
Jackson,2494,132,34,1
Hardin,2454,161,80,0
Clay,2425,168,136,1
Floyd,2420,107,90,2
Jones,2340,119,65,1
Cedar,2276,116,83,1
Winneshiek,2119,75,55,1
Butler,2110,107,89,2
Clayton,2078,93,68,3
Madison,2071,93,50,2
Delaware,2008,85,68,1
Union,1999,66,31,1
Allamakee,1957,147,130,4
Mahaska,1944,133,104,17
Kossuth,1878,76,35,0
Poweshiek,1841,136,105,8
Mitchell,1804,76,66,0
Louisa,1771,377,347,14
Jefferson,1744,75,63,0
Page,1736,69,37,0
Grundy,1720,71,39,1
Hancock,1706,110,89,2
Franklin,1661,208,119,4
Guthrie,1660,124,80,5
O'Brien,1648,115,89,1
Sac,1616,79,65,0
Cherokee,1614,97,81,1
Chickasaw,1501,48,45,0
Harrison,1495,90,68,0
Calhoun,1487,81,69,2
Winnebago,1480,71,32,0
Shelby,1472,153,129,1
Emmet,1455,178,102,1
Clarke,1417,172,128,3
Palo Alto,1381,74,46,0
Appanoose,1346,40,32,3
Cass,1296,40,34,0
Humboldt,1208,87,72,1
Howard,1208,47,34,0
Montgomery,1174,42,29,3
Greene,1170,37,31,0
Pocahontas,1145,113,93,1
Monona,1106,89,76,0
Worth,1060,56,21,0
Keokuk,1021,28,21,1
Lyon,986,98,78,0
Adair,880,20,16,0
Ida,855,29,23,0
Taylor,834,93,83,0
Monroe,763,66,45,7
Davis,759,49,39,1
Lucas,733,42,27,4
Ringgold,693,21,20,1
Audubon,671,28,15,1
Van Buren,648,29,18,1
Fremont,636,32,10,0
Osceola,594,77,62,0
Decatur,576,21,11,0
Wayne,442,15,10,1
Adams,397,15,10,0
