EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Polk,107821,13292,9624,225
Linn,41082,2971,2407,93
Johnson,31593,3826,1928,26
Scott,29790,2208,1640,21
Black Hawk,28710,3785,2939,74
Story,24389,2362,1129,16
Woodbury,24344,4123,3603,56
Dubuque,23997,2027,1523,36
Dallas,20916,2378,1782,39
Pottawattamie,17558,1631,1331,34
Webster,10175,1006,632,8
Warren,10019,775,534,5
Marshall,9470,1639,1384,32
Cerro Gordo,9446,822,565,20
Buena Vista,8324,1826,1773,12
Muscatine,7840,959,780,51
Pending Investigation,7837,19,1,0
Clinton,7667,821,322,10
Wapello,6763,1082,903,49
Des Moines,6693,566,138,5
Jasper,5942,585,432,30
Sioux,5546,893,594,3
Marion,5069,475,206,0
Plymouth,4998,736,435,18
Boone,4834,344,231,4
Lee,4646,409,94,5
Dickinson,4393,424,367,6
Carroll,4256,387,197,2
Bremer,4173,298,186,7
Crawford,4087,832,715,3
Benton,4062,200,145,1
Wright,3761,519,431,1
Tama,3703,622,511,29
Mahaska,3645,216,145,18
Washington,3614,336,296,11
Henry,3523,279,110,4
Buchanan,3483,174,108,1
Fayette,3217,138,81,1
Floyd,3199,215,171,3
Jackson,3112,208,139,1
Winneshiek,3111,217,113,3
Hamilton,3100,279,231,2
Mills,3072,128,83,1
Iowa,3038,113,89,1
Hardin,3019,230,166,1
Clay,3016,236,171,3
Jones,3014,171,130,2
Delaware,2997,212,151,3
Cedar,2906,154,121,1
Madison,2794,164,104,2
Poweshiek,2758,184,155,8
Clayton,2679,179,140,3
Butler,2670,201,156,2
Kossuth,2512,121,79,0
Union,2511,93,68,3
Winnebago,2391,160,78,8
Allamakee,2354,174,147,4
Jefferson,2321,117,76,0
O'Brien,2301,196,127,7
Page,2230,112,107,0
Mitchell,2208,109,76,0
Grundy,2208,128,73,1
Franklin,2133,296,245,17
Hancock,2120,154,126,2
Guthrie,2104,173,126,5
Louisa,2096,397,362,14
Cass,2032,112,98,2
Sac,1977,114,82,0
Cherokee,1974,140,123,2
Harrison,1971,147,117,1
Chickasaw,1964,107,80,0
Calhoun,1936,126,87,2
Appanoose,1901,82,61,3
Shelby,1868,215,205,1
Clarke,1835,239,183,3
Humboldt,1800,153,89,2
Emmet,1788,221,181,8
Palo Alto,1698,112,79,0
Howard,1550,132,54,2
Montgomery,1546,76,61,5
Greene,1482,54,38,0
Pocahontas,1392,130,110,2
Monona,1345,107,92,1
Worth,1308,79,62,0
Lyon,1297,148,129,2
Keokuk,1263,60,29,1
Adair,1255,51,21,1
Lucas,1131,93,43,5
Decatur,1118,44,24,0
Ida,1090,40,29,0
Monroe,1035,107,59,8
Taylor,1025,113,102,1
Davis,999,81,48,2
Van Buren,951,101,32,1
Ringgold,851,32,27,1
Audubon,849,41,27,1
Fremont,841,58,35,0
Osceola,749,99,79,0
Wayne,717,48,29,2
Adams,491,22,17,0
