County,IndTested,IndPositive,IndRec,Deaths,Date,Year,Month,Day,NewIndTested,NewIndPositive,NewIndRec,NewDeaths,PosTestRate,ID
Adair,925,23,17,0,2020-08-05,2020,8,5,11,2,0,0,18.1818181818182,4554
Adams,415,16,10,0,2020-08-05,2020,8,5,7,0,0,0,0,4553
Allamakee,2015,151,134,4,2020-08-05,2020,8,5,18,1,1,0,5.55555555555556,4552
Appanoose,1402,43,36,3,2020-08-05,2020,8,5,13,0,0,0,0,4551
Audubon,707,28,15,1,2020-08-05,2020,8,5,6,0,0,0,0,4550
Benton,3315,145,100,1,2020-08-05,2020,8,5,39,1,8,0,2.56410256410256,4549
Black Hawk,23937,3038,2376,62,2020-08-05,2020,8,5,207,23,50,0,11.1111111111111,4548
Boone,3881,234,166,2,2020-08-05,2020,8,5,22,5,6,0,22.7272727272727,4547
Bremer,3400,195,103,7,2020-08-05,2020,8,5,34,3,10,0,8.82352941176471,4546
Buchanan,2837,117,61,1,2020-08-05,2020,8,5,43,5,2,0,11.6279069767442,4545
Buena Vista,7829,1789,1724,12,2020-08-05,2020,8,5,19,3,5,0,15.7894736842105,4544
Butler,2196,117,101,2,2020-08-05,2020,8,5,26,3,4,0,11.5384615384615,4543
Calhoun,1537,82,72,2,2020-08-05,2020,8,5,9,0,0,0,0,4542
Carroll,3282,183,163,1,2020-08-05,2020,8,5,46,2,8,0,4.34782608695652,4541
Cass,1414,48,36,1,2020-08-05,2020,8,5,21,0,1,0,0,4540
Cedar,2391,121,92,1,2020-08-05,2020,8,5,35,1,7,0,2.85714285714286,4539
Cerro Gordo,7820,584,267,17,2020-08-05,2020,8,5,39,6,25,0,15.3846153846154,4538
Cherokee,1658,99,88,1,2020-08-05,2020,8,5,20,2,0,0,10,4537
Chickasaw,1589,51,47,0,2020-08-05,2020,8,5,14,0,1,0,0,4536
Clarke,1479,190,136,3,2020-08-05,2020,8,5,12,3,1,0,25,4535
Clay,2497,173,141,1,2020-08-05,2020,8,5,12,2,1,0,16.6666666666667,4534
Clayton,2166,98,77,3,2020-08-05,2020,8,5,26,0,1,0,0,4533
Clinton,5625,333,127,3,2020-08-05,2020,8,5,111,14,5,0,12.6126126126126,4532
Crawford,3606,726,678,3,2020-08-05,2020,8,5,45,7,4,0,15.5555555555556,4531
Dallas,16661,1807,1327,35,2020-08-05,2020,8,5,243,14,29,0,5.76131687242798,4530
Davis,789,51,41,1,2020-08-05,2020,8,5,7,3,0,0,42.8571428571429,4529
Decatur,604,23,14,0,2020-08-05,2020,8,5,8,2,0,0,25,4528
Delaware,2247,94,80,1,2020-08-05,2020,8,5,153,4,1,0,2.61437908496732,4527
Des Moines,4225,143,93,2,2020-08-05,2020,8,5,23,4,2,0,17.3913043478261,4526
Dickinson,3806,378,280,4,2020-08-05,2020,8,5,54,3,2,0,5.55555555555556,4525
Dubuque,19978,1583,835,31,2020-08-05,2020,8,5,234,41,60,2,17.5213675213675,4524
Emmet,1498,186,114,2,2020-08-05,2020,8,5,14,6,6,0,42.8571428571429,4523
Fayette,2605,81,55,0,2020-08-05,2020,8,5,28,0,0,0,0,4522
Floyd,2537,131,91,2,2020-08-05,2020,8,5,32,1,0,0,3.125,4521
Franklin,1720,227,153,7,2020-08-05,2020,8,5,10,2,3,1,20,4520
Fremont,665,34,10,0,2020-08-05,2020,8,5,6,0,0,0,0,4519
Greene,1211,38,33,0,2020-08-05,2020,8,5,11,0,0,0,0,4518
