County,IndTested,IndPositive,IndRec,Deaths,Date,Year,Month,Day,NewIndTested,NewIndPositive,NewIndRec,NewDeaths,PosTestRate,ID
Adair,412,14,11,0,2020-06-26,2020,6,26,12,0,0,0,0,594
Adams,245,8,5,0,2020-06-26,2020,6,26,5,1,0,0,20,593
Allamakee,1223,122,90,4,2020-06-26,2020,6,26,54,0,0,0,0,592
Appanoose,793,20,17,3,2020-06-26,2020,6,26,15,0,1,0,0,591
Audubon,449,18,11,1,2020-06-26,2020,6,26,130,2,0,0,1.53846153846154,590
Benton,1808,55,42,1,2020-06-26,2020,6,26,61,0,0,0,0,589
Black Hawk,14092,2005,1201,57,2020-06-26,2020,6,26,302,44,7,0,14.5695364238411,588
Boone,2492,132,82,1,2020-06-26,2020,6,26,90,4,5,0,4.44444444444444,587
Bremer,2094,85,75,6,2020-06-26,2020,6,26,18,0,5,0,0,586
Buchanan,1666,42,31,1,2020-06-26,2020,6,26,115,1,0,0,0.869565217391304,585
Buena Vista,6865,1688,615,11,2020-06-26,2020,6,26,66,11,33,0,16.6666666666667,584
Butler,1371,41,30,2,2020-06-26,2020,6,26,13,1,1,0,7.69230769230769,583
Calhoun,928,35,19,0,2020-06-26,2020,6,26,57,5,1,0,8.7719298245614,582
Carroll,1686,74,56,1,2020-06-26,2020,6,26,59,1,2,0,1.69491525423729,581
Cass,762,17,16,0,2020-06-26,2020,6,26,50,1,0,0,2,580
Cedar,1489,70,50,1,2020-06-26,2020,6,26,30,2,0,0,6.66666666666667,579
Cerro Gordo,4067,83,31,1,2020-06-26,2020,6,26,98,13,1,0,13.265306122449,578
Cherokee,960,69,56,0,2020-06-26,2020,6,26,14,1,0,0,7.14285714285714,577
Chickasaw,938,24,18,0,2020-06-26,2020,6,26,16,1,3,0,6.25,576
Clarke,952,119,83,2,2020-06-26,2020,6,26,27,5,11,0,18.5185185185185,575
Clay,1441,116,74,0,2020-06-26,2020,6,26,39,3,1,0,7.69230769230769,574
Clayton,1292,36,31,3,2020-06-26,2020,6,26,19,0,0,0,0,573
Clinton,2950,87,67,1,2020-06-26,2020,6,26,74,4,0,0,5.40540540540541,572
Crawford,2785,658,391,2,2020-06-26,2020,6,26,57,8,8,0,14.0350877192982,571
Dallas,9164,1134,715,29,2020-06-26,2020,6,26,312,19,10,0,6.08974358974359,570
