EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Polk,115435,14072,10268,243
Linn,43590,3225,2556,96
Johnson,34451,4555,2094,26
Scott,31810,2382,1756,23
Black Hawk,30583,4022,3073,78
Story,26612,2910,1253,16
Woodbury,25746,4327,3676,56
Dubuque,25353,2179,1674,36
Dallas,22243,2489,1883,38
Pottawattamie,18569,1721,1451,34
Warren,10812,852,568,5
Webster,10721,1080,655,11
Cerro Gordo,10030,886,608,20
Marshall,9907,1714,1431,32
Buena Vista,8558,1860,1780,12
Muscatine,8371,998,805,52
Clinton,8333,932,410,13
Des Moines,7462,629,180,5
Wapello,7239,1128,969,54
Jasper,6496,634,455,30
Sioux,5912,984,638,3
Marion,5783,592,265,2
Plymouth,5502,843,448,18
Lee,5230,492,115,6
Boone,5120,381,262,5
Carroll,4737,492,223,4
Dickinson,4580,443,375,6
Bremer,4479,381,223,7
Crawford,4369,866,725,3
Benton,4318,221,158,1
Henry,4212,403,125,4
Washington,3983,367,304,11
Tama,3968,652,527,29
Mahaska,3956,255,168,18
Wright,3909,526,458,1
Buchanan,3712,188,127,1
Fayette,3432,159,86,1
Floyd,3370,240,189,3
Winneshiek,3356,241,123,4
Jackson,3324,235,155,2
Delaware,3281,261,208,3
Hamilton,3266,294,243,2
Iowa,3252,126,97,1
Mills,3249,137,90,1
Jones,3238,195,138,2
Hardin,3180,250,183,1
Clay,3179,244,193,3
Cedar,3104,178,131,1
Poweshiek,2992,203,167,8
Madison,2979,172,126,2
Butler,2853,223,196,2
Clayton,2843,192,162,3
Kossuth,2704,132,89,0
Union,2654,93,75,3
Winnebago,2541,173,85,10
Allamakee,2501,190,153,5
O'Brien,2463,225,138,8
Jefferson,2449,124,85,1
Mitchell,2388,142,78,0
Page,2352,124,115,0
Grundy,2331,143,79,1
Hancock,2268,163,141,2
Franklin,2259,309,259,17
Guthrie,2248,180,136,5
Louisa,2191,400,363,14
Cherokee,2145,146,128,2
Cass,2143,118,107,2
Sac,2139,125,87,0
Harrison,2126,157,137,2
Appanoose,2116,95,77,3
Chickasaw,2099,135,83,0
Calhoun,2078,140,94,2
Shelby,2033,223,211,1
Clarke,1954,244,198,3
Humboldt,1894,155,98,2
Emmet,1886,229,191,8
Palo Alto,1822,125,86,0
Howard,1686,152,70,3
Montgomery,1648,83,71,5
Greene,1577,67,42,0
Pocahontas,1463,140,112,2
Monona,1459,110,92,1
Worth,1406,84,67,0
Lyon,1390,166,139,2
Keokuk,1363,75,35,1
Adair,1336,50,33,1
Lucas,1273,101,66,5
Decatur,1249,48,24,0
Ida,1195,49,30,0
Monroe,1158,121,66,8
Davis,1081,94,60,3
Taylor,1067,114,102,1
Van Buren,1029,107,35,1
Ringgold,958,34,27,2
Audubon,907,41,27,1
Fremont,904,63,42,0
Pending Investigation,875,3,0,0
Wayne,860,64,36,2
Osceola,780,100,84,0
Adams,528,23,17,0
