County,IndTested,IndPositive,IndRec,Deaths,Date,Year,Month,Day,NewIndTested,NewIndPositive,NewIndRec,NewDeaths,PosTestRate,ID,PosTestRate14
Adair,11400,952,770,31,2021-03-20,2021,3,20,3,1,5,0,33.3333333333333,26235,0
Adams,4950,328,315,4,2021-03-20,2021,3,20,3,0,0,0,0,26234,0
Allamakee,19338,1525,1342,48,2021-03-20,2021,3,20,13,1,1,0,7.69230769230769,26233,0
Appanoose,16267,1411,1173,47,2021-03-20,2021,3,20,5,0,3,0,0,26232,0
Audubon,10900,495,454,9,2021-03-20,2021,3,20,2,0,1,0,0,26231,0
Benton,33706,2608,2272,54,2021-03-20,2021,3,20,7,3,1,0,42.8571428571429,26230,0
Black Hawk,195089,16514,14505,298,2021-03-20,2021,3,20,129,5,18,0,3.87596899224806,26229,0
Boone,40432,2666,2363,30,2021-03-20,2021,3,20,17,4,5,0,23.5294117647059,26228,0
Bremer,35118,2874,2573,57,2021-03-20,2021,3,20,92,1,2,0,1.08695652173913,26227,0
Buchanan,27684,1908,1705,30,2021-03-20,2021,3,20,18,0,6,0,0,26226,0
Buena Vista,41575,4793,4020,38,2021-03-20,2021,3,20,12,0,1,0,0,26225,0
Butler,26939,1690,1536,32,2021-03-20,2021,3,20,34,1,0,0,2.94117647058824,26224,0
Calhoun,16835,1366,1268,11,2021-03-20,2021,3,20,12,2,0,0,16.6666666666667,26223,0
Carroll,33030,2911,2597,49,2021-03-20,2021,3,20,52,0,2,0,0,26222,0
Cass,19066,1390,1201,52,2021-03-20,2021,3,20,15,0,7,0,0,26221,0
Cedar,27724,1837,1634,23,2021-03-20,2021,3,20,14,1,3,0,7.14285714285714,26220,0
Cerro Gordo,69921,5426,4860,85,2021-03-20,2021,3,20,73,0,4,0,0,26219,0
Cherokee,18833,1610,1398,37,2021-03-20,2021,3,20,7,0,4,0,0,26218,0
Chickasaw,15931,1273,1173,15,2021-03-20,2021,3,20,6,2,1,0,33.3333333333333,26217,0
Clarke,12268,1026,906,21,2021-03-20,2021,3,20,2,2,4,0,100,26216,0
Clay,26723,2032,1802,25,2021-03-20,2021,3,20,44,5,1,0,11.3636363636364,26215,0
Clayton,22512,1698,1546,55,2021-03-20,2021,3,20,31,1,0,0,3.2258064516129,26214,0
Clinton,56243,5544,4848,87,2021-03-20,2021,3,20,36,4,12,0,11.1111111111111,26213,0
Crawford,25221,2810,2452,36,2021-03-20,2021,3,20,22,0,6,0,0,26212,0
Dallas,116262,11726,9861,93,2021-03-20,2021,3,20,60,9,18,0,15,26211,0
Davis,9955,847,727,24,2021-03-20,2021,3,20,2,0,0,0,0,26210,0
Decatur,9432,592,548,9,2021-03-20,2021,3,20,1,1,0,0,100,26209,0
Delaware,24569,1936,1803,39,2021-03-20,2021,3,20,30,4,0,0,13.3333333333333,26208,0
Des Moines,51108,4652,4168,63,2021-03-20,2021,3,20,10,0,12,0,0,26207,0
Dickinson,23565,2321,1958,41,2021-03-20,2021,3,20,112,4,1,0,3.57142857142857,26206,0
Dubuque,169768,13740,12042,200,2021-03-20,2021,3,20,110,1,17,0,0.909090909090909,26205,0
Emmet,14963,1249,1096,40,2021-03-20,2021,3,20,54,0,0,0,0,26204,0
Fayette,31785,1883,1727,37,2021-03-20,2021,3,20,67,2,1,0,2.98507462686567,26203,0
Floyd,23056,1668,1421,41,2021-03-20,2021,3,20,16,1,2,0,6.25,26202,0
Franklin,18146,1201,1061,20,2021-03-20,2021,3,20,27,0,3,0,0,26201,0
Fremont,6650,602,539,10,2021-03-20,2021,3,20,0,2,1,0,Inf,26200,0
Greene,13569,791,713,10,2021-03-20,2021,3,20,7,0,0,0,0,26199,0
Grundy,17681,1401,1272,31,2021-03-20,2021,3,20,11,0,8,0,0,26198,0
Guthrie,16560,1193,1057,28,2021-03-20,2021,3,20,10,2,1,0,20,26197,0
Hamilton,21725,1937,1684,44,2021-03-20,2021,3,20,8,1,1,0,12.5,26196,0
Hancock,19418,1490,1334,33,2021-03-20,2021,3,20,20,0,0,0,0,26195,0
Hardin,31287,1860,1628,39,2021-03-20,2021,3,20,36,0,2,0,0,26194,0
Harrison,19274,1825,1589,70,2021-03-20,2021,3,20,7,5,1,0,71.4285714285714,26193,0
Henry,33360,2948,2747,37,2021-03-20,2021,3,20,34,0,3,0,0,26192,0
Howard,15486,1057,958,22,2021-03-20,2021,3,20,18,3,5,0,16.6666666666667,26191,0
Humboldt,14172,1205,1095,25,2021-03-20,2021,3,20,12,1,0,0,8.33333333333333,26190,0
Ida,11168,969,768,32,2021-03-20,2021,3,20,15,0,0,0,0,26189,0
Iowa,26901,1487,1347,23,2021-03-20,2021,3,20,49,0,0,0,0,26188,0
Jackson,23317,2248,2039,40,2021-03-20,2021,3,20,23,3,1,0,13.0434782608696,26187,0
Jasper,46443,4264,3665,69,2021-03-20,2021,3,20,31,3,21,0,9.67741935483871,26186,0
Jefferson,18736,1405,1247,35,2021-03-20,2021,3,20,14,0,0,0,0,26185,0
Johnson,190167,14091,12852,76,2021-03-20,2021,3,20,86,5,23,0,5.81395348837209,26184,0
Jones,23417,2979,2778,55,2021-03-20,2021,3,20,9,0,0,0,0,26183,0
Keokuk,14258,995,880,29,2021-03-20,2021,3,20,8,0,1,0,0,26182,0
Kossuth,23410,2144,1900,58,2021-03-20,2021,3,20,36,1,4,1,2.77777777777778,26181,0
Lee,49384,3769,3463,54,2021-03-20,2021,3,20,116,0,12,0,0,26180,0
Linn,262467,20961,18926,321,2021-03-20,2021,3,20,101,1,23,0,0.99009900990099,26179,0
Louisa,15754,1297,1168,48,2021-03-20,2021,3,20,8,0,5,0,0,26178,0
Lucas,8469,770,676,21,2021-03-20,2021,3,20,4,0,1,0,0,26177,0
Lyon,13884,1487,1408,41,2021-03-20,2021,3,20,9,2,0,0,22.2222222222222,26176,0
Madison,18695,1617,1397,19,2021-03-20,2021,3,20,13,0,3,0,0,26175,0
Mahaska,28161,2277,2069,47,2021-03-20,2021,3,20,6,0,1,0,0,26174,0
Marion,37718,3671,3299,74,2021-03-20,2021,3,20,11,1,4,0,9.09090909090909,26173,0
Marshall,74636,5062,4511,74,2021-03-20,2021,3,20,95,3,4,0,3.15789473684211,26172,0
Mills,19755,1682,1448,20,2021-03-20,2021,3,20,9,2,4,0,22.2222222222222,26171,0
Mitchell,16036,1340,1161,40,2021-03-20,2021,3,20,13,1,2,0,7.69230769230769,26170,0
Monona,16616,835,735,30,2021-03-20,2021,3,20,13,0,1,0,0,26169,0
Monroe,8879,952,851,28,2021-03-20,2021,3,20,3,0,3,0,0,26168,0
Montgomery,13064,1046,926,36,2021-03-20,2021,3,20,16,0,0,0,0,26167,0
Muscatine,48710,4651,4058,94,2021-03-20,2021,3,20,19,3,5,0,15.7894736842105,26166,0
O'Brien,23327,2028,1718,58,2021-03-20,2021,3,20,10,0,1,0,0,26165,0
Osceola,7499,717,654,15,2021-03-20,2021,3,20,3,0,0,0,0,26164,0
Page,19336,1890,1762,19,2021-03-20,2021,3,20,15,0,1,0,0,26163,0
Palo Alto,16431,1087,973,22,2021-03-20,2021,3,20,26,0,1,0,0,26162,0
Plymouth,34541,4062,3560,79,2021-03-20,2021,3,20,59,5,6,0,8.47457627118644,26161,0
Pocahontas,11929,868,788,19,2021-03-20,2021,3,20,34,1,0,0,2.94117647058824,26160,0
Polk,618284,60125,50280,577,2021-03-20,2021,3,20,433,20,103,0,4.6189376443418,26159,0
Pottawattamie,108165,11075,9565,149,2021-03-20,2021,3,20,27,0,17,0,0,26158,0
Poweshiek,37776,1577,1435,31,2021-03-20,2021,3,20,9,0,2,0,0,26157,0
Ringgold,8972,534,480,22,2021-03-20,2021,3,20,5,0,1,0,0,26156,0
Sac,18008,1289,1151,18,2021-03-20,2021,3,20,8,0,2,0,0,26155,0
Scott,187966,18750,16699,224,2021-03-20,2021,3,20,140,10,12,1,7.14285714285714,26154,0
Shelby,15040,1257,1098,34,2021-03-20,2021,3,20,4,1,1,0,25,26153,0
Sioux,39409,5057,4659,69,2021-03-20,2021,3,20,33,8,7,0,24.2424242424242,26152,0
Story,147429,10530,9346,46,2021-03-20,2021,3,20,99,7,20,0,7.07070707070707,26151,0
Tama,29878,2169,1919,68,2021-03-20,2021,3,20,6,5,3,0,83.3333333333333,26150,0
Taylor,7788,667,626,12,2021-03-20,2021,3,20,5,0,0,0,0,26149,0
Union,15641,1285,1152,31,2021-03-20,2021,3,20,33,0,0,0,0,26148,0
Van Buren,7723,564,519,18,2021-03-20,2021,3,20,8,0,0,0,0,26147,0
Wapello,42720,4516,3801,114,2021-03-20,2021,3,20,37,3,10,0,8.10810810810811,26146,0
Warren,68419,5744,4947,80,2021-03-20,2021,3,20,36,4,10,0,11.1111111111111,26145,0
Washington,37281,2579,2334,48,2021-03-20,2021,3,20,8,0,0,0,0,26144,0
Wayne,5700,539,423,21,2021-03-20,2021,3,20,0,0,0,0,,26143,0
Webster,63441,5280,4803,88,2021-03-20,2021,3,20,12,8,3,0,66.6666666666667,26142,0
Winnebago,15958,1423,1249,31,2021-03-20,2021,3,20,34,1,1,0,2.94117647058824,26141,0
Winneshiek,34327,1939,1765,31,2021-03-20,2021,3,20,48,0,6,0,0,26140,0
Woodbury,131031,15481,13404,216,2021-03-20,2021,3,20,171,12,15,0,7.01754385964912,26139,0
