County,IndTested,IndPositive,IndRec,Deaths,Date,Year,Month,Day,NewIndTested,NewIndPositive,NewIndRec,NewDeaths,PosTestRate,ID
Adair,606,17,12,0,2020-07-12,2020,7,12,37,0,0,0,0,2178
Adams,312,8,8,0,2020-07-12,2020,7,12,7,0,0,0,0,2177
Allamakee,1593,138,118,4,2020-07-12,2020,7,12,14,0,1,0,0,2176
Appanoose,970,22,18,3,2020-07-12,2020,7,12,6,1,0,0,16.6666666666667,2175
Audubon,539,18,15,1,2020-07-12,2020,7,12,2,0,0,0,0,2174
Benton,2349,75,54,1,2020-07-12,2020,7,12,49,0,0,0,0,2173
Black Hawk,18678,2518,1882,59,2020-07-12,2020,7,12,323,26,4,0,8.04953560371517,2172
Boone,3073,171,119,1,2020-07-12,2020,7,12,38,3,1,0,7.89473684210526,2171
Bremer,2605,115,79,7,2020-07-12,2020,7,12,36,5,0,0,13.8888888888889,2170
Buchanan,2193,65,40,1,2020-07-12,2020,7,12,28,2,0,0,7.14285714285714,2169
Buena Vista,7293,1738,1598,11,2020-07-12,2020,7,12,28,1,18,0,3.57142857142857,2168
Butler,1697,70,54,2,2020-07-12,2020,7,12,37,2,2,0,5.40540540540541,2167
Calhoun,1255,65,41,2,2020-07-12,2020,7,12,15,2,0,0,13.3333333333333,2166
Carroll,2296,116,91,1,2020-07-12,2020,7,12,34,3,0,0,8.82352941176471,2165
Cass,976,30,19,0,2020-07-12,2020,7,12,15,2,0,0,13.3333333333333,2164
Cedar,1874,96,70,1,2020-07-12,2020,7,12,26,1,0,0,3.84615384615385,2163
Cerro Gordo,5431,317,65,1,2020-07-12,2020,7,12,133,33,0,0,24.812030075188,2162
Cherokee,1328,85,69,1,2020-07-12,2020,7,12,26,2,0,0,7.69230769230769,2161
Chickasaw,1222,31,28,0,2020-07-12,2020,7,12,16,2,0,0,12.5,2160
Clarke,1160,144,116,3,2020-07-12,2020,7,12,10,1,0,0,10,2159
Clay,2050,150,99,1,2020-07-12,2020,7,12,28,1,0,0,3.57142857142857,2158
Clayton,1660,50,36,3,2020-07-12,2020,7,12,13,0,0,0,0,2157
Clinton,3813,137,69,1,2020-07-12,2020,7,12,80,5,0,0,6.25,2156
Crawford,3119,681,626,3,2020-07-12,2020,7,12,12,1,8,0,8.33333333333333,2155
Dallas,12181,1408,1073,31,2020-07-12,2020,7,12,217,23,3,0,10.5990783410138,2154
Davis,627,42,34,1,2020-07-12,2020,7,12,3,0,0,0,0,2153
Decatur,480,13,9,0,2020-07-12,2020,7,12,5,0,0,0,0,2152
Delaware,1576,56,48,1,2020-07-12,2020,7,12,21,0,4,0,0,2151
Des Moines,3120,102,81,2,2020-07-12,2020,7,12,27,2,0,0,7.40740740740741,2150
Dickinson,2923,306,191,3,2020-07-12,2020,7,12,83,7,5,0,8.43373493975904,2149
Dubuque,15201,977,429,23,2020-07-12,2020,7,12,342,37,1,0,10.8187134502924,2148
Emmet,1053,97,63,0,2020-07-12,2020,7,12,22,2,1,0,9.09090909090909,2147
Fayette,2080,58,31,0,2020-07-12,2020,7,12,17,1,0,0,5.88235294117647,2146
Floyd,2016,82,57,2,2020-07-12,2020,7,12,32,1,0,0,3.125,2145
Franklin,1351,112,62,0,2020-07-12,2020,7,12,26,8,0,0,30.7692307692308,2144
Fremont,460,11,6,0,2020-07-12,2020,7,12,7,1,0,0,14.2857142857143,2143
Greene,912,31,23,0,2020-07-12,2020,7,12,16,1,0,0,6.25,2142
Grundy,1354,47,27,0,2020-07-12,2020,7,12,19,0,0,0,0,2141
Guthrie,1190,78,57,4,2020-07-12,2020,7,12,17,3,0,0,17.6470588235294,2140
Hamilton,2123,202,177,1,2020-07-12,2020,7,12,23,1,0,0,4.34782608695652,2139
Hancock,1337,61,45,1,2020-07-12,2020,7,12,9,1,0,0,11.1111111111111,2138
Hardin,2026,92,45,0,2020-07-12,2020,7,12,21,2,0,0,9.52380952380952,2137
Harrison,1208,62,47,0,2020-07-12,2020,7,12,23,2,0,0,8.69565217391304,2136
Henry,1909,93,78,3,2020-07-12,2020,7,12,51,0,0,0,0,2135
Howard,966,37,17,0,2020-07-12,2020,7,12,8,0,0,0,0,2134
Humboldt,999,60,48,1,2020-07-12,2020,7,12,9,0,0,0,0,2133
Ida,730,23,21,0,2020-07-12,2020,7,12,6,0,0,0,0,2132
Iowa,2001,63,44,1,2020-07-12,2020,7,12,29,0,0,0,0,2131
Jackson,1626,61,18,0,2020-07-12,2020,7,12,33,4,0,0,12.1212121212121,2130
Jasper,3526,354,275,17,2020-07-12,2020,7,12,54,10,2,0,18.5185185185185,2129
Jefferson,1382,63,48,0,2020-07-12,2020,7,12,15,1,0,0,6.66666666666667,2128
Johnson,18395,1467,853,8,2020-07-12,2020,7,12,278,41,4,0,14.7482014388489,2127
Jones,1713,71,56,1,2020-07-12,2020,7,12,19,0,1,1,0,2126
Keokuk,852,23,17,1,2020-07-12,2020,7,12,11,0,0,0,0,2125
Kossuth,1374,42,24,0,2020-07-12,2020,7,12,22,1,0,0,4.54545454545455,2124
Lee,2171,54,43,2,2020-07-12,2020,7,12,24,0,0,0,0,2123
Linn,23341,1394,1111,83,2020-07-12,2020,7,12,398,13,1,0,3.26633165829146,2122
Louisa,1540,367,342,13,2020-07-12,2020,7,12,8,2,0,0,25,2121
Lucas,576,35,24,4,2020-07-12,2020,7,12,3,0,0,0,0,2120
