County,IndTested,IndPositive,IndRec,Deaths,Date,Year,Month,Day,NewIndTested,NewIndPositive,NewIndRec,NewDeaths,PosTestRate,ID,PosTestRate14
Adair,1159,42,20,1,2020-08-20,2020,8,20,10,0,0,0,0,5445,0
Adams,452,20,16,0,2020-08-20,2020,8,20,4,2,0,0,50,5444,0
Allamakee,2228,164,140,4,2020-08-20,2020,8,20,8,1,0,0,12.5,5443,0
Appanoose,1735,62,51,3,2020-08-20,2020,8,20,37,3,5,0,8.10810810810811,5442,0
Audubon,786,30,22,1,2020-08-20,2020,8,20,7,0,1,0,0,5441,0
Benton,3779,181,124,1,2020-08-20,2020,8,20,29,2,7,0,6.89655172413793,5440,0
Black Hawk,26946,3433,2744,67,2020-08-20,2020,8,20,224,37,28,0,16.5178571428571,5439,0
Boone,4513,302,208,3,2020-08-20,2020,8,20,53,4,4,0,7.54716981132076,5438,0
Bremer,3942,257,150,7,2020-08-20,2020,8,20,31,8,4,0,25.8064516129032,5437,0
Buchanan,3257,157,85,1,2020-08-20,2020,8,20,32,3,2,0,9.375,5436,0
Buena Vista,8167,1809,1761,12,2020-08-20,2020,8,20,36,1,9,0,2.77777777777778,5435,0
Butler,2468,149,128,2,2020-08-20,2020,8,20,15,4,5,0,26.6666666666667,5434,0
Calhoun,1818,97,72,2,2020-08-20,2020,8,20,91,5,0,0,5.4945054945055,5433,0
Carroll,3805,269,177,2,2020-08-20,2020,8,20,73,24,1,0,32.8767123287671,5432,0
Cass,1904,102,79,2,2020-08-20,2020,8,20,29,5,4,0,17.2413793103448,5431,0
Cedar,2699,142,107,1,2020-08-20,2020,8,20,24,2,2,0,8.33333333333333,5430,0
Cerro Gordo,8927,691,500,20,2020-08-20,2020,8,20,182,18,12,0,9.89010989010989,5429,0
Cherokee,1869,123,102,1,2020-08-20,2020,8,20,18,1,0,0,5.55555555555556,5428,0
Chickasaw,1804,79,62,0,2020-08-20,2020,8,20,15,3,0,0,20,5427,0
Clarke,1727,216,153,3,2020-08-20,2020,8,20,71,3,0,0,4.22535211267606,5426,0
Clay,2859,226,165,1,2020-08-20,2020,8,20,27,3,2,0,11.1111111111111,5425,0
Clayton,2500,139,97,3,2020-08-20,2020,8,20,27,7,1,0,25.9259259259259,5424,0
Clinton,6838,600,215,5,2020-08-20,2020,8,20,124,36,16,1,29.0322580645161,5423,0
Crawford,3928,769,690,3,2020-08-20,2020,8,20,37,4,1,0,10.8108108108108,5422,0
Dallas,19583,2056,1617,35,2020-08-20,2020,8,20,512,39,18,0,7.6171875,5421,0
Davis,924,72,48,2,2020-08-20,2020,8,20,12,0,0,0,0,5420,0
Decatur,1073,32,24,0,2020-08-20,2020,8,20,294,1,0,0,0.340136054421769,5419,0
Delaware,2717,151,117,2,2020-08-20,2020,8,20,28,4,0,0,14.2857142857143,5418,0
Des Moines,5498,368,125,2,2020-08-20,2020,8,20,164,41,4,0,25,5417,0
Dickinson,4160,393,345,5,2020-08-20,2020,8,20,23,1,2,0,4.34782608695652,5416,0
Dubuque,22700,1868,1300,34,2020-08-20,2020,8,20,149,19,19,1,12.751677852349,5415,0
Emmet,1679,209,151,6,2020-08-20,2020,8,20,17,3,0,1,17.6470588235294,5414,0
Fayette,2957,114,69,0,2020-08-20,2020,8,20,21,0,1,0,0,5413,0
Floyd,2988,179,146,3,2020-08-20,2020,8,20,56,7,2,0,12.5,5412,0
Franklin,2011,268,220,16,2020-08-20,2020,8,20,63,1,0,0,1.58730158730159,5411,0
Fremont,798,50,24,0,2020-08-20,2020,8,20,8,2,2,0,25,5410,0
Greene,1374,43,38,0,2020-08-20,2020,8,20,22,0,0,0,0,5409,0
Grundy,2027,104,62,1,2020-08-20,2020,8,20,23,6,2,0,26.0869565217391,5408,0
Guthrie,1982,155,115,5,2020-08-20,2020,8,20,34,5,2,0,14.7058823529412,5407,0
Hamilton,2951,242,227,2,2020-08-20,2020,8,20,152,3,1,1,1.97368421052632,5406,0
Hancock,1989,129,117,2,2020-08-20,2020,8,20,33,3,1,0,9.09090909090909,5405,0
Hardin,2809,205,138,1,2020-08-20,2020,8,20,30,8,3,0,26.6666666666667,5404,0
Harrison,1796,129,101,1,2020-08-20,2020,8,20,35,4,1,0,11.4285714285714,5403,0
Henry,3037,190,99,4,2020-08-20,2020,8,20,36,12,0,0,33.3333333333333,5402,0
Howard,1402,78,45,0,2020-08-20,2020,8,20,6,7,0,0,116.666666666667,5401,0
Humboldt,1689,96,77,2,2020-08-20,2020,8,20,182,0,2,0,0,5400,0
Ida,1039,35,27,0,2020-08-20,2020,8,20,11,1,1,0,9.09090909090909,5399,0
Iowa,2892,103,71,1,2020-08-20,2020,8,20,19,2,1,0,10.5263157894737,5398,0
Jackson,2916,174,114,1,2020-08-20,2020,8,20,21,0,4,0,0,5397,0
Jasper,5452,510,408,29,2020-08-20,2020,8,20,79,3,7,0,3.79746835443038,5396,0
Jefferson,2167,98,68,0,2020-08-20,2020,8,20,22,3,0,0,13.6363636363636,5395,0
Johnson,27691,2311,1740,24,2020-08-20,2020,8,20,265,33,20,2,12.4528301886792,5394,0
Jones,2832,146,106,2,2020-08-20,2020,8,20,30,5,1,0,16.6666666666667,5393,0
Keokuk,1194,47,25,1,2020-08-20,2020,8,20,10,1,0,0,10,5392,0
Kossuth,2341,109,74,0,2020-08-20,2020,8,20,29,3,0,0,10.3448275862069,5391,0
Lee,3844,210,69,5,2020-08-20,2020,8,20,99,21,1,0,21.2121212121212,5390,0
Linn,37820,2667,2197,89,2020-08-20,2020,8,20,395,45,31,-1,11.3924050632911,5389,0
Louisa,1980,381,359,14,2020-08-20,2020,8,20,11,2,1,0,18.1818181818182,5388,0
Lucas,1039,79,35,4,2020-08-20,2020,8,20,73,1,0,0,1.36986301369863,5387,0
Lyon,1214,132,114,2,2020-08-20,2020,8,20,6,0,0,0,0,5386,0
Madison,2619,144,87,2,2020-08-20,2020,8,20,75,3,1,0,4,5385,0
Mahaska,2329,153,120,17,2020-08-20,2020,8,20,33,3,0,0,9.09090909090909,5384,0
Marion,4113,247,168,0,2020-08-20,2020,8,20,116,25,5,0,21.551724137931,5383,0
Marshall,9103,1545,1266,28,2020-08-20,2020,8,20,67,17,18,0,25.3731343283582,5382,0
Mills,2929,111,66,1,2020-08-20,2020,8,20,29,7,3,0,24.1379310344828,5381,0
Mitchell,2051,86,71,0,2020-08-20,2020,8,20,5,1,0,0,20,5380,0
Monona,1267,97,84,1,2020-08-20,2020,8,20,16,2,0,0,12.5,5379,0
Monroe,934,87,58,8,2020-08-20,2020,8,20,21,5,2,0,23.8095238095238,5378,0
Montgomery,1480,66,55,4,2020-08-20,2020,8,20,6,0,0,0,0,5377,0
Muscatine,7441,916,744,48,2020-08-20,2020,8,20,69,14,0,0,20.2898550724638,5376,0
O'Brien,2133,158,120,7,2020-08-20,2020,8,20,14,3,0,1,21.4285714285714,5375,0
Osceola,699,90,75,0,2020-08-20,2020,8,20,1,0,0,0,0,5374,0
Page,2142,105,98,0,2020-08-20,2020,8,20,7,1,3,0,14.2857142857143,5373,0
Palo Alto,1624,102,64,0,2020-08-20,2020,8,20,34,1,0,0,2.94117647058824,5372,0
Plymouth,4506,572,400,15,2020-08-20,2020,8,20,80,28,6,1,35,5371,0
Pocahontas,1338,119,108,2,2020-08-20,2020,8,20,45,0,2,0,0,5370,0
Polk,99583,11436,8761,212,2020-08-20,2020,8,20,2337,217,104,0,9.28540864356012,5369,0
Pottawattamie,16752,1484,1142,31,2020-08-20,2020,8,20,177,23,20,1,12.9943502824859,5368,0
Poweshiek,2361,172,129,8,2020-08-20,2020,8,20,41,5,2,0,12.1951219512195,5367,0
Ringgold,805,28,23,1,2020-08-20,2020,8,20,28,3,2,0,10.7142857142857,5366,0
Sac,1851,97,75,0,2020-08-20,2020,8,20,19,3,1,0,15.7894736842105,5365,0
