County,IndTested,IndPositive,IndRec,Deaths,Date,Year,Month,Day,NewIndTested,NewIndPositive,NewIndRec,NewDeaths,PosTestRate,ID
Adair,657,19,15,0,2020-07-16,2020,7,16,19,2,0,0,10.5263157894737,2574
Adams,340,10,8,0,2020-07-16,2020,7,16,15,2,0,0,13.3333333333333,2573
Allamakee,1677,139,120,4,2020-07-16,2020,7,16,20,1,0,0,5,2572
Appanoose,1059,30,18,3,2020-07-16,2020,7,16,27,1,0,0,3.7037037037037,2571
Audubon,554,19,15,1,2020-07-16,2020,7,16,12,2,0,0,16.6666666666667,2570
Benton,2491,82,66,1,2020-07-16,2020,7,16,57,2,1,0,3.50877192982456,2569
Black Hawk,19761,2628,1916,60,2020-07-16,2020,7,16,388,57,7,0,14.6907216494845,2568
Boone,3193,177,122,1,2020-07-16,2020,7,16,40,3,1,0,7.5,2567
Bremer,2785,126,79,7,2020-07-16,2020,7,16,60,6,0,0,10,2566
Buchanan,2319,67,41,1,2020-07-16,2020,7,16,38,1,1,0,2.63157894736842,2565
Buena Vista,7394,1744,1653,12,2020-07-16,2020,7,16,49,3,1,1,6.12244897959184,2564
Butler,1801,77,59,2,2020-07-16,2020,7,16,27,3,3,0,11.1111111111111,2563
Calhoun,1297,67,53,2,2020-07-16,2020,7,16,14,1,0,0,7.14285714285714,2562
Carroll,2433,124,109,1,2020-07-16,2020,7,16,85,5,10,0,5.88235294117647,2561
Cass,1036,29,25,0,2020-07-16,2020,7,16,41,0,1,0,0,2560
Cedar,1973,101,71,1,2020-07-16,2020,7,16,47,4,0,0,8.51063829787234,2559
Cerro Gordo,5828,384,99,11,2020-07-16,2020,7,16,125,31,2,2,24.8,2558
Cherokee,1441,87,72,1,2020-07-16,2020,7,16,55,1,0,0,1.81818181818182,2557
Chickasaw,1285,35,32,0,2020-07-16,2020,7,16,26,1,0,0,3.84615384615385,2556
Clarke,1213,151,121,3,2020-07-16,2020,7,16,15,4,1,0,26.6666666666667,2555
Clay,2128,155,106,1,2020-07-16,2020,7,16,37,3,1,0,8.10810810810811,2554
Clayton,1745,53,42,3,2020-07-16,2020,7,16,33,2,1,0,6.06060606060606,2553
Clinton,4064,152,72,1,2020-07-16,2020,7,16,77,6,0,0,7.79220779220779,2552
Crawford,3215,684,643,3,2020-07-16,2020,7,16,52,3,2,0,5.76923076923077,2551
