County,IndTested,IndPositive,IndRec,Deaths,Date,Year,Month,Day,NewIndTested,NewIndPositive,NewIndRec,NewDeaths,PosTestRate,ID
Adair,934,23,17,0,2020-08-06,2020,8,6,9,0,0,0,0,4653
Adams,416,16,10,0,2020-08-06,2020,8,6,1,0,0,0,0,4652
Allamakee,2041,154,137,4,2020-08-06,2020,8,6,26,3,3,0,11.5384615384615,4651
Appanoose,1423,47,36,3,2020-08-06,2020,8,6,21,4,0,0,19.0476190476191,4650
Audubon,709,28,15,1,2020-08-06,2020,8,6,2,0,0,0,0,4649
Benton,3362,146,100,1,2020-08-06,2020,8,6,47,1,0,0,2.12765957446809,4648
Black Hawk,24210,3077,2419,63,2020-08-06,2020,8,6,273,39,43,1,14.2857142857143,4647
Boone,3933,243,168,2,2020-08-06,2020,8,6,52,9,2,0,17.3076923076923,4646
Bremer,3448,200,106,7,2020-08-06,2020,8,6,48,5,3,0,10.4166666666667,4645
Buchanan,2873,123,62,1,2020-08-06,2020,8,6,36,6,1,0,16.6666666666667,4644
Buena Vista,7853,1790,1729,12,2020-08-06,2020,8,6,24,1,5,0,4.16666666666667,4643
Butler,2225,119,103,2,2020-08-06,2020,8,6,29,2,2,0,6.89655172413793,4642
Calhoun,1547,83,73,2,2020-08-06,2020,8,6,10,1,1,0,10,4641
Carroll,3305,184,163,1,2020-08-06,2020,8,6,23,1,0,0,4.34782608695652,4640
Cass,1502,49,38,1,2020-08-06,2020,8,6,88,1,2,0,1.13636363636364,4639
Cedar,2419,126,92,1,2020-08-06,2020,8,6,28,5,0,0,17.8571428571429,4638
Cerro Gordo,7914,594,294,17,2020-08-06,2020,8,6,94,10,27,0,10.6382978723404,4637
Cherokee,1673,103,88,1,2020-08-06,2020,8,6,15,4,0,0,26.6666666666667,4636
Chickasaw,1623,54,47,0,2020-08-06,2020,8,6,34,3,0,0,8.82352941176471,4635
Clarke,1494,194,136,3,2020-08-06,2020,8,6,15,4,0,0,26.6666666666667,4634
Clay,2516,174,148,1,2020-08-06,2020,8,6,19,1,7,0,5.26315789473684,4633
Clayton,2192,102,78,3,2020-08-06,2020,8,6,26,4,1,0,15.3846153846154,4632
Clinton,5749,356,132,3,2020-08-06,2020,8,6,124,23,5,0,18.5483870967742,4631
Crawford,3625,726,679,3,2020-08-06,2020,8,6,19,0,1,0,0,4630
Dallas,16879,1833,1361,35,2020-08-06,2020,8,6,218,26,34,0,11.9266055045872,4629
Davis,795,52,41,1,2020-08-06,2020,8,6,6,1,0,0,16.6666666666667,4628
Decatur,607,23,15,0,2020-08-06,2020,8,6,3,0,1,0,0,4627
Delaware,2336,97,82,1,2020-08-06,2020,8,6,89,3,2,0,3.37078651685393,4626
Des Moines,4332,151,97,2,2020-08-06,2020,8,6,107,8,4,0,7.47663551401869,4625
Dickinson,3831,377,289,4,2020-08-06,2020,8,6,25,0,9,0,0,4624
Dubuque,20261,1619,879,31,2020-08-06,2020,8,6,283,36,44,0,12.7208480565371,4623
Emmet,1511,186,117,2,2020-08-06,2020,8,6,13,0,3,0,0,4622
Fayette,2623,81,59,0,2020-08-06,2020,8,6,18,0,4,0,0,4621
Floyd,2567,137,93,2,2020-08-06,2020,8,6,30,6,2,0,20,4620
Franklin,1749,232,173,9,2020-08-06,2020,8,6,29,5,20,2,17.2413793103448,4619
Fremont,693,37,12,0,2020-08-06,2020,8,6,28,3,2,0,10.7142857142857,4618
Greene,1227,39,33,0,2020-08-06,2020,8,6,16,1,0,0,6.25,4617
Grundy,1807,76,47,1,2020-08-06,2020,8,6,13,2,2,0,15.3846153846154,4616
Guthrie,1734,129,93,5,2020-08-06,2020,8,6,19,1,3,0,5.26315789473684,4615
Hamilton,2567,243,223,1,2020-08-06,2020,8,6,19,0,2,0,0,4614
Hancock,1792,121,101,2,2020-08-06,2020,8,6,24,4,5,0,16.6666666666667,4613
Hardin,2559,172,96,0,2020-08-06,2020,8,6,25,3,4,0,12,4612
Harrison,1578,102,80,0,2020-08-06,2020,8,6,23,3,6,0,13.0434782608696,4611
Henry,2634,119,88,3,2020-08-06,2020,8,6,30,5,3,0,16.6666666666667,4610
Howard,1259,49,37,0,2020-08-06,2020,8,6,9,0,0,0,0,4609
Humboldt,1272,99,76,1,2020-08-06,2020,8,6,14,7,1,0,50,4608
Ida,885,29,23,0,2020-08-06,2020,8,6,2,0,0,0,0,4607
Iowa,2639,94,62,1,2020-08-06,2020,8,6,32,1,1,0,3.125,4606
Jackson,2634,148,55,1,2020-08-06,2020,8,6,35,2,2,0,5.71428571428571,4605
Jasper,4751,464,354,26,2020-08-06,2020,8,6,75,7,5,1,9.33333333333333,4604
Jefferson,1879,79,64,0,2020-08-06,2020,8,6,51,2,1,0,3.92156862745098,4603
Johnson,24556,2017,1467,16,2020-08-06,2020,8,6,315,25,25,0,7.93650793650794,4602
Jones,2535,127,76,2,2020-08-06,2020,8,6,42,2,1,0,4.76190476190476,4601
Keokuk,1062,32,21,1,2020-08-06,2020,8,6,2,1,0,0,50,4600
Kossuth,1988,83,44,0,2020-08-06,2020,8,6,24,3,2,0,12.5,4599
Lee,2971,107,52,3,2020-08-06,2020,8,6,91,8,0,0,8.79120879120879,4598
Linn,33294,2251,1778,87,2020-08-06,2020,8,6,535,81,41,0,15.1401869158879,4597
Louisa,1822,380,351,14,2020-08-06,2020,8,6,12,1,1,0,8.33333333333333,4596
Lucas,807,55,31,4,2020-08-06,2020,8,6,17,4,1,0,23.5294117647059,4595
Lyon,1052,109,92,2,2020-08-06,2020,8,6,13,2,0,2,15.3846153846154,4594
Madison,2215,111,61,2,2020-08-06,2020,8,6,22,4,8,0,18.1818181818182,4593
Mahaska,2053,138,109,17,2020-08-06,2020,8,6,16,1,0,0,6.25,4592
Marion,3344,162,134,0,2020-08-06,2020,8,6,44,3,5,0,6.81818181818182,4591
Marshall,8286,1419,1075,25,2020-08-06,2020,8,6,82,13,8,0,15.8536585365854,4590
Mills,2699,85,47,0,2020-08-06,2020,8,6,21,1,1,0,4.76190476190476,4589
Mitchell,1864,78,67,0,2020-08-06,2020,8,6,11,0,0,0,0,4588
Monona,1156,91,79,0,2020-08-06,2020,8,6,13,0,1,0,0,4587
Monroe,814,69,46,7,2020-08-06,2020,8,6,8,0,1,0,0,4586
Montgomery,1230,51,33,4,2020-08-06,2020,8,6,8,6,0,0,75,4585
Muscatine,6683,840,727,48,2020-08-06,2020,8,6,61,3,3,0,4.91803278688525,4584
O'Brien,1888,134,97,2,2020-08-06,2020,8,6,10,2,2,1,20,4583
Osceola,621,78,68,0,2020-08-06,2020,8,6,5,0,1,0,0,4582
Page,1877,83,67,0,2020-08-06,2020,8,6,17,6,4,0,35.2941176470588,4581
Palo Alto,1433,80,53,0,2020-08-06,2020,8,6,13,0,3,0,0,4580
Plymouth,4019,450,341,8,2020-08-06,2020,8,6,35,2,4,0,5.71428571428571,4579
Pocahontas,1186,115,104,1,2020-08-06,2020,8,6,7,1,3,0,14.2857142857143,4578
Polk,85649,10000,7198,206,2020-08-06,2020,8,6,1071,138,192,2,12.8851540616247,4577
Pottawattamie,14938,1274,895,26,2020-08-06,2020,8,6,190,27,28,2,14.2105263157895,4576
Poweshiek,2036,152,108,8,2020-08-06,2020,8,6,34,2,0,0,5.88235294117647,4575
Ringgold,717,21,20,1,2020-08-06,2020,8,6,5,0,0,0,0,4574
Sac,1690,82,69,0,2020-08-06,2020,8,6,16,1,3,0,6.25,4573
Scott,24219,1644,1045,14,2020-08-06,2020,8,6,384,13,59,1,3.38541666666667,4572
Shelby,1593,177,141,1,2020-08-06,2020,8,6,24,2,2,0,8.33333333333333,4571
Sioux,4158,609,500,3,2020-08-06,2020,8,6,34,2,4,1,5.88235294117647,4570
Story,14832,1137,859,14,2020-08-06,2020,8,6,689,12,13,0,1.74165457184325,4569
Tama,3207,543,454,29,2020-08-06,2020,8,6,26,2,3,0,7.69230769230769,4568
Taylor,870,95,88,0,2020-08-06,2020,8,6,8,1,0,0,12.5,4567
Union,2108,74,37,1,2020-08-06,2020,8,6,17,0,0,0,0,4566
Van Buren,714,34,21,1,2020-08-06,2020,8,6,11,0,0,0,0,4565
Wapello,5737,871,772,33,2020-08-06,2020,8,6,47,15,9,0,31.9148936170213,4564
Warren,7863,546,320,1,2020-08-06,2020,8,6,98,6,9,0,6.12244897959184,4563
Washington,3086,292,268,10,2020-08-06,2020,8,6,26,4,0,0,15.3846153846154,4562
Wayne,475,19,12,1,2020-08-06,2020,8,6,6,0,0,0,0,4561
Webster,6778,772,426,7,2020-08-06,2020,8,6,59,22,67,0,37.2881355932203,4560
Winnebago,1538,76,38,0,2020-08-06,2020,8,6,14,0,2,0,0,4559
Winneshiek,2270,90,60,1,2020-08-06,2020,8,6,37,2,0,0,5.40540540540541,4558
Woodbury,21311,3690,3302,51,2020-08-06,2020,8,6,172,20,19,0,11.6279069767442,4557
Worth,1109,65,24,0,2020-08-06,2020,8,6,10,1,2,0,10,4556
Wright,3224,451,398,1,2020-08-06,2020,8,6,26,3,4,0,11.5384615384615,4555
