EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Polk,83616,9742,6812,203
Linn,32345,2120,1687,87
Johnson,23973,1948,1419,15
Black Hawk,23730,3015,2326,62
Scott,23540,1602,942,12
Woodbury,21000,3656,3264,51
Dubuque,19744,1542,775,29
Dallas,16418,1793,1298,35
Pottawattamie,14572,1221,841,23
Story,13311,1110,828,14
Marshall,8105,1390,1052,24
Buena Vista,7810,1786,1719,12
Cerro Gordo,7781,578,242,17
Warren,7678,530,302,1
Webster,6686,734,357,6
Muscatine,6551,829,708,48
Wapello,5638,850,755,32
Clinton,5514,319,122,3
Pending Investigation,5384,0,0,0
Jasper,4637,456,343,25
Des Moines,4202,139,91,2
Sioux,4073,597,493,2
Plymouth,3949,443,332,8
Boone,3859,229,160,2
Dickinson,3752,375,278,4
Crawford,3561,719,674,3
Bremer,3366,192,93,7
Benton,3276,144,92,1
Marion,3267,155,128,0
Carroll,3236,181,155,1
Wright,3176,445,391,1
Tama,3152,537,448,29
Washington,3043,287,266,10
Lee,2850,97,52,3
Buchanan,2793,112,59,1
Mills,2663,83,44,0
Henry,2590,114,85,3
Iowa,2580,90,61,1
Fayette,2577,81,55,0
Jackson,2569,141,42,1
Hamilton,2536,241,220,1
Hardin,2508,166,86,0
Floyd,2505,130,91,2
Clay,2485,171,140,1
Jones,2463,124,73,2
Cedar,2356,120,85,1
Winneshiek,2212,84,55,1
Butler,2170,114,97,2
Madison,2160,103,53,2
Clayton,2140,98,76,3
Delaware,2094,90,79,1
Union,2057,72,35,1
Mahaska,2003,136,107,17
Allamakee,1997,150,133,4
Poweshiek,1959,147,107,8
Kossuth,1927,78,41,0
O'Brien,1854,131,92,1
Mitchell,1832,76,66,0
Page,1826,76,61,0
Jefferson,1822,77,63,0
Louisa,1803,378,349,14
Grundy,1783,74,42,1
Hancock,1752,117,93,2
Franklin,1710,225,149,6
Guthrie,1703,128,83,5
Sac,1658,81,66,0
Cherokee,1638,97,88,1
Chickasaw,1575,51,46,0
Shelby,1545,166,139,1
Harrison,1544,97,73,0
Calhoun,1528,82,72,2
Winnebago,1518,77,34,0
Emmet,1484,180,108,2
Clarke,1467,187,135,3
Palo Alto,1408,80,47,0
Cass,1393,48,35,1
Appanoose,1389,43,36,3
Humboldt,1239,92,75,1
Howard,1235,49,37,0
Montgomery,1210,44,32,3
Greene,1200,38,33,0
Pocahontas,1169,113,101,1
Monona,1137,90,78,0
Worth,1086,61,22,0
Keokuk,1051,31,21,1
Lyon,1025,103,88,0
Adair,914,21,17,0
Ida,874,29,23,0
Taylor,857,93,87,0
Monroe,800,67,45,7
Davis,782,48,41,1
Lucas,776,47,30,4
Ringgold,708,21,20,1
Audubon,701,28,15,1
Van Buren,690,33,21,1
Fremont,659,35,10,0
Osceola,608,78,66,0
Decatur,596,21,14,0
Wayne,456,17,10,1
Adams,408,16,10,0
