County,IndTested,IndPositive,IndRec,Deaths,Date,Year,Month,Day,NewIndTested,NewIndPositive,NewIndRec,NewDeaths,PosTestRate,ID,PosTestRate14
Adair,1793,113,62,1,2020-10-15,2020,10,15,26,5,2,0,19.2307692307692,10890,0
Adams,770,60,33,0,2020-10-15,2020,10,15,17,2,0,0,11.7647058823529,10889,0
Allamakee,3179,307,238,8,2020-10-15,2020,10,15,17,7,8,0,41.1764705882353,10888,0
Appanoose,2952,190,135,3,2020-10-15,2020,10,15,17,1,0,0,5.88235294117647,10887,0
Audubon,1360,124,53,1,2020-10-15,2020,10,15,19,3,3,0,15.7894736842105,10886,0
Benton,6265,463,278,1,2020-10-15,2020,10,15,71,15,10,0,21.1267605633803,10885,0
Black Hawk,38786,5042,4220,96,2020-10-15,2020,10,15,325,55,32,0,16.9230769230769,10884,0
Boone,7127,642,465,8,2020-10-15,2020,10,15,47,12,14,0,25.531914893617,10883,0
Bremer,5965,592,457,7,2020-10-15,2020,10,15,55,10,9,0,18.1818181818182,10882,0
Buchanan,5004,375,233,3,2020-10-15,2020,10,15,54,12,8,0,22.2222222222222,10881,0
Buena Vista,9987,2177,1923,12,2020-10-15,2020,10,15,41,16,9,0,39.0243902439024,10880,0
Butler,3735,330,306,2,2020-10-15,2020,10,15,50,5,12,0,10,10879,0
Calhoun,2896,251,217,3,2020-10-15,2020,10,15,18,5,5,0,27.7777777777778,10878,0
Carroll,6559,981,626,7,2020-10-15,2020,10,15,75,27,11,0,36,10877,0
Cass,3277,261,213,2,2020-10-15,2020,10,15,55,15,7,0,27.2727272727273,10876,0
Cedar,4460,325,222,5,2020-10-15,2020,10,15,41,7,6,0,17.0731707317073,10875,0
Cerro Gordo,12582,1209,1001,23,2020-10-15,2020,10,15,74,8,12,0,10.8108108108108,10874,0
Cherokee,3177,348,194,2,2020-10-15,2020,10,15,26,3,9,0,11.5384615384615,10873,0
Chickasaw,2848,317,299,1,2020-10-15,2020,10,15,18,4,3,0,22.2222222222222,10872,0
Clarke,2564,299,249,3,2020-10-15,2020,10,15,24,3,2,0,12.5,10871,0
Clay,4308,460,286,4,2020-10-15,2020,10,15,24,13,10,0,54.1666666666667,10870,0
Clayton,3606,332,283,3,2020-10-15,2020,10,15,22,5,1,0,22.7272727272727,10869,0
Clinton,11030,1321,1029,25,2020-10-15,2020,10,15,106,18,12,0,16.9811320754717,10868,0
Crawford,5779,1280,970,12,2020-10-15,2020,10,15,56,13,22,1,23.2142857142857,10867,0
Dallas,28562,3214,2639,43,2020-10-15,2020,10,15,233,31,27,2,13.3047210300429,10866,0
Davis,1484,150,111,4,2020-10-15,2020,10,15,17,4,1,0,23.5294117647059,10865,0
Decatur,1772,119,57,0,2020-10-15,2020,10,15,23,7,0,0,30.4347826086957,10864,0
Delaware,4414,633,498,8,2020-10-15,2020,10,15,43,20,3,0,46.5116279069768,10863,0
Des Moines,10414,1104,723,9,2020-10-15,2020,10,15,133,34,8,0,25.5639097744361,10862,0
Dickinson,5886,663,469,7,2020-10-15,2020,10,15,56,13,8,0,23.2142857142857,10861,0
Dubuque,33632,4423,2727,52,2020-10-15,2020,10,15,288,94,91,2,32.6388888888889,10860,0
Emmet,2544,376,241,14,2020-10-15,2020,10,15,16,15,5,1,93.75,10859,0
Fayette,4655,320,191,2,2020-10-15,2020,10,15,49,13,10,0,26.530612244898,10858,0
Floyd,4254,407,359,11,2020-10-15,2020,10,15,31,9,1,0,29.0322580645161,10857,0
Franklin,2759,365,330,18,2020-10-15,2020,10,15,13,1,3,0,7.69230769230769,10856,0
Fremont,1452,176,83,1,2020-10-15,2020,10,15,19,8,5,1,42.1052631578947,10855,0
Greene,2363,158,84,0,2020-10-15,2020,10,15,17,1,1,0,5.88235294117647,10854,0
Grundy,3083,265,197,4,2020-10-15,2020,10,15,19,3,3,0,15.7894736842105,10853,0
Guthrie,3025,353,208,14,2020-10-15,2020,10,15,17,5,1,0,29.4117647058824,10852,0
Hamilton,4116,422,361,3,2020-10-15,2020,10,15,26,3,4,0,11.5384615384615,10851,0
Hancock,2889,261,218,4,2020-10-15,2020,10,15,19,8,4,0,42.1052631578947,10850,0
Hardin,4282,408,311,5,2020-10-15,2020,10,15,33,18,17,1,54.5454545454546,10849,0
Harrison,3405,524,201,7,2020-10-15,2020,10,15,49,21,1,1,42.8571428571429,10848,0
Henry,5826,946,651,5,2020-10-15,2020,10,15,54,13,5,0,24.0740740740741,10847,0
Howard,2316,230,173,8,2020-10-15,2020,10,15,22,7,1,0,31.8181818181818,10846,0
Humboldt,2596,270,215,3,2020-10-15,2020,10,15,12,3,5,0,25,10845,0
Ida,1703,172,92,2,2020-10-15,2020,10,15,12,2,5,0,16.6666666666667,10844,0
Iowa,4473,361,188,2,2020-10-15,2020,10,15,36,10,9,0,27.7777777777778,10843,0
Jackson,4511,488,292,3,2020-10-15,2020,10,15,48,22,7,0,45.8333333333333,10842,0
Jasper,9079,993,723,34,2020-10-15,2020,10,15,71,7,14,-1,9.85915492957746,10841,0
Jefferson,3202,182,131,1,2020-10-15,2020,10,15,26,3,0,0,11.5384615384615,10840,0
Johnson,43595,5559,4903,30,2020-10-15,2020,10,15,302,34,30,0,11.2582781456954,10839,0
Jones,4518,378,238,3,2020-10-15,2020,10,15,49,11,3,0,22.4489795918367,10838,0
Keokuk,1912,135,93,1,2020-10-15,2020,10,15,12,1,2,0,8.33333333333333,10837,0
Kossuth,4026,404,242,0,2020-10-15,2020,10,15,28,8,13,0,28.5714285714286,10836,0
Lee,7831,825,583,9,2020-10-15,2020,10,15,80,26,9,0,32.5,10835,0
Linn,58041,4864,3674,122,2020-10-15,2020,10,15,613,66,52,0,10.7667210440457,10834,0
Louisa,2922,476,405,15,2020-10-15,2020,10,15,30,2,3,0,6.66666666666667,10833,0
Lucas,1852,178,136,6,2020-10-15,2020,10,15,10,1,9,0,10,10832,0
Lyon,2341,498,239,7,2020-10-15,2020,10,15,28,12,5,2,42.8571428571429,10831,0
Madison,3963,329,211,2,2020-10-15,2020,10,15,27,8,3,0,29.6296296296296,10830,0
Mahaska,5603,567,366,22,2020-10-15,2020,10,15,62,18,6,1,29.0322580645161,10829,0
Marion,7771,895,813,10,2020-10-15,2020,10,15,60,13,4,0,21.6666666666667,10828,0
Marshall,12233,1890,1727,36,2020-10-15,2020,10,15,65,8,4,0,12.3076923076923,10827,0
Mills,4263,307,167,1,2020-10-15,2020,10,15,59,10,8,0,16.9491525423729,10826,0
Mitchell,3026,211,176,0,2020-10-15,2020,10,15,20,0,2,0,0,10825,0
Monona,2128,220,144,1,2020-10-15,2020,10,15,22,11,3,0,50,10824,0
Monroe,1615,226,136,11,2020-10-15,2020,10,15,15,3,6,0,20,10823,0
