County,IndTested,IndPositive,IndRec,Deaths,Date,Year,Month,Day,NewIndTested,NewIndPositive,NewIndRec,NewDeaths,PosTestRate,ID,PosTestRate14
Adair,1389,56,38,1,2020-09-11,2020,9,11,4,1,0,0,25,7623,0
Adams,552,25,21,0,2020-09-11,2020,9,11,5,1,0,0,20,7622,0
Allamakee,2585,212,159,5,2020-09-11,2020,9,11,14,1,0,0,7.14285714285714,7621,0
Appanoose,2272,108,90,3,2020-09-11,2020,9,11,68,2,0,0,2.94117647058824,7620,0
Audubon,939,42,29,1,2020-09-11,2020,9,11,3,0,0,0,0,7619,0
Benton,4442,236,162,1,2020-09-11,2020,9,11,23,2,0,0,8.69565217391304,7618,0
Black Hawk,31450,4139,3209,81,2020-09-11,2020,9,11,128,21,0,0,16.40625,7617,0
Boone,5353,402,286,5,2020-09-11,2020,9,11,37,3,0,0,8.10810810810811,7616,0
Bremer,4630,416,236,7,2020-09-11,2020,9,11,16,1,0,0,6.25,7615,0
Buchanan,3821,202,144,1,2020-09-11,2020,9,11,22,0,0,0,0,7614,0
Buena Vista,8715,1888,1788,12,2020-09-11,2020,9,11,25,7,-1,0,28,7613,0
Butler,2927,236,212,2,2020-09-11,2020,9,11,10,0,2,0,0,7612,0
Calhoun,2163,147,101,2,2020-09-11,2020,9,11,6,3,0,0,50,7611,0
Carroll,4914,524,233,5,2020-09-11,2020,9,11,19,3,0,0,15.7894736842105,7610,0
Cass,2228,120,113,2,2020-09-11,2020,9,11,8,1,0,0,12.5,7609,0
Cedar,3287,192,135,1,2020-09-11,2020,9,11,11,2,0,0,18.1818181818182,7608,0
Cerro Gordo,10373,928,647,21,2020-09-11,2020,9,11,32,5,0,0,15.625,7607,0
Cherokee,2244,154,131,2,2020-09-11,2020,9,11,8,0,0,0,0,7606,0
Chickasaw,2230,171,88,0,2020-09-11,2020,9,11,18,2,5,0,11.1111111111111,7605,0
Clarke,2016,249,208,3,2020-09-11,2020,9,11,5,0,0,0,0,7604,0
Clay,3259,248,211,3,2020-09-11,2020,9,11,15,1,0,0,6.66666666666667,7603,0
Clayton,2920,211,177,3,2020-09-11,2020,9,11,9,2,0,0,22.2222222222222,7602,0
Clinton,8625,969,479,15,2020-09-11,2020,9,11,36,5,0,0,13.8888888888889,7601,0
Crawford,4490,889,745,3,2020-09-11,2020,9,11,24,8,0,0,33.3333333333333,7600,0
Dallas,22976,2554,1957,38,2020-09-11,2020,9,11,84,8,1,0,9.52380952380952,7599,0
Davis,1114,105,64,4,2020-09-11,2020,9,11,3,2,0,0,66.6666666666667,7598,0
Decatur,1292,53,28,0,2020-09-11,2020,9,11,14,1,0,0,7.14285714285714,7597,0
Delaware,3404,273,241,3,2020-09-11,2020,9,11,11,0,1,0,0,7596,0
Des Moines,7741,674,247,6,2020-09-11,2020,9,11,28,3,0,0,10.7142857142857,7595,0
Dickinson,4690,447,381,6,2020-09-11,2020,9,11,14,0,0,0,0,7594,0
Dubuque,26305,2336,1770,37,2020-09-11,2020,9,11,123,32,0,0,26.0162601626016,7593,0
Emmet,1959,234,192,9,2020-09-11,2020,9,11,9,0,0,0,0,7592,0
Fayette,3521,165,99,1,2020-09-11,2020,9,11,13,1,0,0,7.69230769230769,7591,0
Floyd,3487,259,205,3,2020-09-11,2020,9,11,11,4,6,0,36.3636363636364,7590,0
Franklin,2310,318,269,17,2020-09-11,2020,9,11,4,1,1,0,25,7589,0
Fremont,937,64,44,0,2020-09-11,2020,9,11,1,1,0,0,100,7588,0
Greene,1622,69,42,0,2020-09-11,2020,9,11,4,0,0,0,0,7587,0
Grundy,2449,166,89,2,2020-09-11,2020,9,11,27,5,0,0,18.5185185185185,7586,0
Guthrie,2347,195,146,5,2020-09-11,2020,9,11,23,6,0,0,26.0869565217391,7585,0
Hamilton,3359,304,244,3,2020-09-11,2020,9,11,7,0,0,1,0,7584,0
