County,IndTested,IndPositive,IndRec,Deaths,Date,Year,Month,Day,NewIndTested,NewIndPositive,NewIndRec,NewDeaths,PosTestRate,ID,PosTestRate14
Adair,11485,952,777,31,2021-03-24,2021,3,24,51,0,1,0,0,26631,0
Adams,5013,329,315,4,2021-03-24,2021,3,24,26,0,0,0,0,26630,0
Allamakee,19534,1528,1350,48,2021-03-24,2021,3,24,40,1,3,0,2.5,26629,0
Appanoose,16427,1412,1176,47,2021-03-24,2021,3,24,66,2,3,0,3.03030303030303,26628,0
Audubon,10991,498,456,9,2021-03-24,2021,3,24,25,0,1,0,0,26627,0
Benton,34169,2614,2305,54,2021-03-24,2021,3,24,139,7,15,0,5.03597122302158,26626,0
Black Hawk,197233,16554,14547,300,2021-03-24,2021,3,24,872,20,21,0,2.29357798165138,26625,0
Boone,40851,2675,2376,30,2021-03-24,2021,3,24,210,6,1,0,2.85714285714286,26624,0
Bremer,35440,2884,2581,57,2021-03-24,2021,3,24,137,5,4,0,3.64963503649635,26623,0
Buchanan,27974,1919,1713,30,2021-03-24,2021,3,24,136,3,5,0,2.20588235294118,26622,0
Buena Vista,41791,4808,4038,39,2021-03-24,2021,3,24,60,2,3,0,3.33333333333333,26621,0
Butler,27330,1690,1539,32,2021-03-24,2021,3,24,68,0,2,0,0,26620,0
Calhoun,17031,1370,1272,11,2021-03-24,2021,3,24,67,1,1,0,1.49253731343284,26619,0
Carroll,33466,2923,2607,49,2021-03-24,2021,3,24,121,0,6,0,0,26618,0
Cass,19286,1394,1209,52,2021-03-24,2021,3,24,141,1,2,0,0.709219858156028,26617,0
Cedar,28016,1842,1660,23,2021-03-24,2021,3,24,86,2,6,0,2.32558139534884,26616,0
Cerro Gordo,70415,5444,4878,85,2021-03-24,2021,3,24,164,10,3,0,6.09756097560976,26615,0
Cherokee,19204,1627,1401,37,2021-03-24,2021,3,24,64,6,4,0,9.375,26614,0
Chickasaw,16075,1273,1174,15,2021-03-24,2021,3,24,48,4,0,0,8.33333333333333,26613,0
Clarke,12396,1025,915,21,2021-03-24,2021,3,24,32,0,4,0,0,26612,0
Clay,26925,2066,1805,25,2021-03-24,2021,3,24,85,11,1,0,12.9411764705882,26611,0
Clayton,22768,1698,1550,55,2021-03-24,2021,3,24,126,0,0,0,0,26610,0
Clinton,56752,5573,4887,87,2021-03-24,2021,3,24,279,22,6,0,7.88530465949821,26609,0
Crawford,25540,2821,2471,36,2021-03-24,2021,3,24,129,3,7,0,2.32558139534884,26608,0
Dallas,117396,11797,9957,93,2021-03-24,2021,3,24,345,21,36,0,6.08695652173913,26607,0
Davis,10114,854,729,24,2021-03-24,2021,3,24,81,5,0,0,6.17283950617284,26606,0
Decatur,9563,593,555,9,2021-03-24,2021,3,24,14,1,2,0,7.14285714285714,26605,0
Delaware,24999,1953,1807,39,2021-03-24,2021,3,24,188,6,0,0,3.19148936170213,26604,0
Des Moines,51554,4661,4193,63,2021-03-24,2021,3,24,284,5,4,0,1.76056338028169,26603,0
Dickinson,23812,2355,1970,41,2021-03-24,2021,3,24,119,20,3,0,16.8067226890756,26602,0
Dubuque,171773,13791,12130,200,2021-03-24,2021,3,24,690,26,24,0,3.76811594202899,26601,0
Emmet,15178,1264,1099,40,2021-03-24,2021,3,24,122,8,1,0,6.55737704918033,26600,0
Fayette,32168,1888,1731,38,2021-03-24,2021,3,24,178,3,1,1,1.68539325842697,26599,0
Floyd,23364,1674,1425,41,2021-03-24,2021,3,24,115,5,1,0,4.34782608695652,26598,0
Franklin,18270,1205,1063,21,2021-03-24,2021,3,24,52,2,1,1,3.84615384615385,26597,0
Fremont,6714,610,541,10,2021-03-24,2021,3,24,44,3,1,0,6.81818181818182,26596,0
Greene,13712,799,714,10,2021-03-24,2021,3,24,53,3,1,0,5.66037735849057,26595,0
Grundy,17867,1407,1280,31,2021-03-24,2021,3,24,59,0,4,0,0,26594,0
Guthrie,16706,1207,1062,28,2021-03-24,2021,3,24,41,4,2,0,9.75609756097561,26593,0
Hamilton,21881,1941,1690,44,2021-03-24,2021,3,24,67,2,4,0,2.98507462686567,26592,0
Hancock,19547,1495,1339,33,2021-03-24,2021,3,24,80,0,2,0,0,26591,0
Hardin,31652,1866,1642,39,2021-03-24,2021,3,24,164,2,3,0,1.21951219512195,26590,0
Harrison,19467,1833,1593,71,2021-03-24,2021,3,24,70,6,2,1,8.57142857142857,26589,0
Henry,33614,2954,2757,37,2021-03-24,2021,3,24,96,0,4,0,0,26588,0
Howard,15677,1058,966,22,2021-03-24,2021,3,24,90,1,2,0,1.11111111111111,26587,0
Humboldt,14326,1212,1097,25,2021-03-24,2021,3,24,101,4,1,0,3.96039603960396,26586,0
Ida,11302,976,767,32,2021-03-24,2021,3,24,53,2,0,0,3.77358490566038,26585,0
Iowa,27249,1493,1359,23,2021-03-24,2021,3,24,122,2,4,0,1.63934426229508,26584,0
Jackson,23509,2253,2051,40,2021-03-24,2021,3,24,93,3,6,0,3.2258064516129,26583,0
Jasper,47061,4301,3710,69,2021-03-24,2021,3,24,299,29,30,0,9.69899665551839,26582,0
Jefferson,18886,1409,1250,35,2021-03-24,2021,3,24,64,2,3,0,3.125,26581,0
Johnson,191809,14169,12914,77,2021-03-24,2021,3,24,636,35,19,0,5.50314465408805,26580,0
Jones,23678,2986,2785,55,2021-03-24,2021,3,24,119,2,1,0,1.68067226890756,26579,0
Keokuk,14408,999,888,30,2021-03-24,2021,3,24,32,3,3,0,9.375,26578,0
Kossuth,23706,2166,1913,58,2021-03-24,2021,3,24,178,14,2,0,7.86516853932584,26577,0
Lee,49752,3776,3479,55,2021-03-24,2021,3,24,119,4,7,1,3.36134453781513,26576,0
Linn,264868,21034,19002,322,2021-03-24,2021,3,24,816,22,23,0,2.69607843137255,26575,0
Louisa,15953,1304,1177,48,2021-03-24,2021,3,24,80,0,1,0,0,26574,0
Lucas,8577,773,680,21,2021-03-24,2021,3,24,26,2,1,0,7.69230769230769,26573,0
Lyon,14088,1494,1411,41,2021-03-24,2021,3,24,54,5,0,0,9.25925925925926,26572,0
Madison,18848,1624,1414,19,2021-03-24,2021,3,24,54,1,7,0,1.85185185185185,26571,0
Mahaska,28471,2292,2077,47,2021-03-24,2021,3,24,73,7,3,0,9.58904109589041,26570,0
Marion,38342,3684,3318,74,2021-03-24,2021,3,24,280,9,4,0,3.21428571428571,26569,0
Marshall,75483,5068,4530,74,2021-03-24,2021,3,24,326,4,3,0,1.22699386503067,26568,0
Mills,19912,1688,1455,20,2021-03-24,2021,3,24,88,1,2,0,1.13636363636364,26567,0
Mitchell,16201,1342,1162,40,2021-03-24,2021,3,24,69,3,1,0,4.34782608695652,26566,0
Monona,16767,839,737,30,2021-03-24,2021,3,24,54,2,2,0,3.7037037037037,26565,0
Monroe,8963,952,858,28,2021-03-24,2021,3,24,15,0,3,0,0,26564,0
Montgomery,13144,1050,928,36,2021-03-24,2021,3,24,54,2,0,0,3.7037037037037,26563,0
Muscatine,49431,4681,4089,94,2021-03-24,2021,3,24,312,13,16,0,4.16666666666667,26562,0
O'Brien,23749,2048,1730,58,2021-03-24,2021,3,24,230,13,4,0,5.65217391304348,26561,0
Osceola,7634,724,659,16,2021-03-24,2021,3,24,32,5,2,0,15.625,26560,0
Page,19431,1903,1767,19,2021-03-24,2021,3,24,33,3,2,0,9.09090909090909,26559,0
Palo Alto,16668,1095,975,22,2021-03-24,2021,3,24,120,7,1,0,5.83333333333333,26558,0
Plymouth,34832,4079,3574,79,2021-03-24,2021,3,24,122,7,3,0,5.73770491803279,26557,0
Pocahontas,12003,868,790,19,2021-03-24,2021,3,24,29,2,2,0,6.89655172413793,26556,0
Polk,625884,60547,50632,578,2021-03-24,2021,3,24,2759,177,103,1,6.41536788691555,26555,0
Pottawattamie,109189,11166,9619,150,2021-03-24,2021,3,24,371,59,12,1,15.9029649595687,26554,0
Poweshiek,38080,1581,1442,32,2021-03-24,2021,3,24,106,0,2,0,0,26553,0
Ringgold,9034,542,483,22,2021-03-24,2021,3,24,24,2,1,0,8.33333333333333,26552,0
Sac,18221,1301,1157,18,2021-03-24,2021,3,24,49,3,3,0,6.12244897959184,26551,0
Scott,189628,18913,16762,224,2021-03-24,2021,3,24,785,62,17,0,7.89808917197452,26550,0
Shelby,15287,1268,1105,34,2021-03-24,2021,3,24,117,6,5,0,5.12820512820513,26549,0
Sioux,39811,5083,4675,69,2021-03-24,2021,3,24,189,10,8,0,5.29100529100529,26548,0
Story,148825,10583,9415,46,2021-03-24,2021,3,24,523,29,22,0,5.54493307839388,26547,0
Tama,30203,2171,1926,68,2021-03-24,2021,3,24,133,0,2,0,0,26546,0
Taylor,7846,668,627,12,2021-03-24,2021,3,24,20,0,1,0,0,26545,0
Union,15772,1288,1157,31,2021-03-24,2021,3,24,61,3,2,0,4.91803278688525,26544,0
Van Buren,7783,565,520,18,2021-03-24,2021,3,24,35,1,0,0,2.85714285714286,26543,0
Wapello,43148,4542,3844,114,2021-03-24,2021,3,24,188,2,16,0,1.06382978723404,26542,0
Warren,69174,5779,4977,80,2021-03-24,2021,3,24,246,13,12,0,5.28455284552846,26541,0
Washington,37592,2596,2345,49,2021-03-24,2021,3,24,163,7,4,0,4.29447852760736,26540,0
Wayne,5951,548,428,21,2021-03-24,2021,3,24,25,3,2,0,12,26539,0
Webster,64105,5289,4816,88,2021-03-24,2021,3,24,230,6,9,0,2.60869565217391,26538,0
Winnebago,16114,1428,1256,31,2021-03-24,2021,3,24,76,7,0,0,9.21052631578947,26537,0
Winneshiek,34539,1947,1776,31,2021-03-24,2021,3,24,87,1,3,0,1.14942528735632,26536,0
Woodbury,132695,15587,13477,216,2021-03-24,2021,3,24,692,64,26,0,9.2485549132948,26535,0
Worth,11554,715,650,8,2021-03-24,2021,3,24,55,1,2,0,1.81818181818182,26534,0
Wright,19511,1827,1702,32,2021-03-24,2021,3,24,82,4,1,0,4.87804878048781,26533,0
