County,IndTested,IndPositive,IndRec,Deaths,Date,Year,Month,Day,NewIndTested,NewIndPositive,NewIndRec,NewDeaths,PosTestRate,ID
Adair,474,16,12,0,2020-07-06,2020,7,6,6,1,0,0,16.6666666666667,1584
Adams,274,8,8,0,2020-07-06,2020,7,6,2,0,0,0,0,1583
Allamakee,1471,131,116,4,2020-07-06,2020,7,6,102,3,1,0,2.94117647058824,1582
Appanoose,890,21,17,3,2020-07-06,2020,7,6,12,1,0,0,8.33333333333333,1581
Audubon,496,16,15,1,2020-07-06,2020,7,6,1,0,0,0,0,1580
Benton,2109,68,49,1,2020-07-06,2020,7,6,25,2,2,0,8,1579
Black Hawk,16662,2300,1833,58,2020-07-06,2020,7,6,138,16,13,0,11.5942028985507,1578
Boone,2828,147,121,1,2020-07-06,2020,7,6,6,0,0,0,0,1577
Bremer,2344,94,80,6,2020-07-06,2020,7,6,23,1,1,0,4.34782608695652,1576
Buchanan,1998,55,36,1,2020-07-06,2020,7,6,21,3,0,0,14.2857142857143,1575
Buena Vista,7064,1714,1499,11,2020-07-06,2020,7,6,7,2,21,0,28.5714285714286,1574
Butler,1536,57,41,2,2020-07-06,2020,7,6,16,2,1,0,12.5,1573
Calhoun,1137,52,34,2,2020-07-06,2020,7,6,8,3,9,0,37.5,1572
Carroll,2035,99,80,1,2020-07-06,2020,7,6,17,1,7,0,5.88235294117647,1571
Cass,885,22,18,0,2020-07-06,2020,7,6,2,0,0,0,0,1570
Cedar,1697,84,65,1,2020-07-06,2020,7,6,16,0,1,0,0,1569
Cerro Gordo,4781,182,93,1,2020-07-06,2020,7,6,36,4,18,0,11.1111111111111,1568
Cherokee,1213,75,65,1,2020-07-06,2020,7,6,6,0,1,0,0,1567
Chickasaw,1147,29,24,0,2020-07-06,2020,7,6,19,0,2,0,0,1566
Clarke,1082,132,107,2,2020-07-06,2020,7,6,12,0,2,0,0,1565
Clay,1847,134,93,0,2020-07-06,2020,7,6,4,0,2,0,0,1564
Clayton,1495,44,34,3,2020-07-06,2020,7,6,10,0,0,0,0,1563
Clinton,3470,112,68,1,2020-07-06,2020,7,6,28,0,0,0,0,1562
Crawford,2961,677,617,2,2020-07-06,2020,7,6,11,0,2,0,0,1561
Dallas,10720,1280,1024,29,2020-07-06,2020,7,6,63,2,8,0,3.17460317460317,1560
Davis,586,41,34,1,2020-07-06,2020,7,6,7,1,1,0,14.2857142857143,1559
Decatur,445,12,10,0,2020-07-06,2020,7,6,5,1,0,0,20,1558
Delaware,1397,51,39,1,2020-07-06,2020,7,6,4,0,3,0,0,1557
Des Moines,2861,92,80,2,2020-07-06,2020,7,6,25,2,5,0,8,1556
Dickinson,2527,266,169,3,2020-07-06,2020,7,6,0,0,7,1,,1555
Dubuque,12093,701,419,22,2020-07-06,2020,7,6,108,2,11,0,1.85185185185185,1554
Emmet,959,88,52,0,2020-07-06,2020,7,6,4,1,3,0,25,1553
Fayette,1880,51,32,0,2020-07-06,2020,7,6,10,1,0,0,10,1552
