EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Polk,116526,14188,10527,247
Linn,44022,3304,2623,98
Johnson,35028,4656,2130,27
Scott,32086,2398,1794,24
Black Hawk,30894,4069,3142,79
Story,26911,2976,1273,16
Woodbury,25983,4377,3724,58
Dubuque,25681,2239,1727,36
Dallas,22504,2504,1923,38
Pottawattamie,18658,1726,1497,35
Warren,10954,867,581,6
Webster,10772,1083,683,12
Cerro Gordo,10153,907,634,21
Marshall,9978,1724,1442,32
Buena Vista,8591,1862,1786,12
Muscatine,8448,1015,818,52
Clinton,8417,944,438,15
Des Moines,7505,639,200,6
Wapello,7317,1149,990,56
Jasper,6612,651,463,31
Sioux,5993,1010,659,3
Marion,5910,607,325,3
Plymouth,5581,867,465,20
Lee,5318,517,129,6
Boone,5205,389,274,5
Carroll,4777,498,226,5
Dickinson,4596,442,377,6
Bremer,4526,398,229,7
Crawford,4399,874,740,3
Benton,4364,227,162,1
Henry,4299,436,139,4
Washington,4092,373,313,11
Mahaska,4090,270,173,18
Tama,4001,655,532,30
Wright,3940,528,466,1
Buchanan,3755,192,136,1
Fayette,3475,164,94,1
Winneshiek,3412,247,136,5
Floyd,3406,243,196,3
Jackson,3367,244,162,2
Delaware,3334,266,224,3
Iowa,3303,141,98,1
Hamilton,3297,297,244,2
Jones,3297,198,144,3
Mills,3266,139,94,1
Clay,3205,244,205,3
Cedar,3200,184,133,1
Hardin,3196,251,185,1
Poweshiek,3023,205,170,8
Madison,3011,173,140,2
Clayton,2880,201,170,3
Butler,2880,232,207,2
Kossuth,2743,140,96,0
Union,2681,95,78,3
Winnebago,2573,179,93,10
Allamakee,2538,202,156,5
O'Brien,2492,231,145,8
Jefferson,2481,123,90,1
Mitchell,2407,145,79,0
Grundy,2379,147,83,2
Page,2366,126,116,0
Hancock,2287,164,148,2
Franklin,2279,313,258,17
Guthrie,2270,182,140,5
Louisa,2211,401,363,14
Cherokee,2193,149,130,2
Sac,2172,128,88,0
Cass,2162,118,109,2
Chickasaw,2152,152,83,0
Harrison,2143,157,139,2
Appanoose,2141,102,83,3
Calhoun,2109,140,98,2
Shelby,2057,226,213,1
Clarke,1986,247,204,3
Humboldt,1923,156,99,2
Emmet,1903,231,192,8
Palo Alto,1849,129,96,0
Howard,1708,156,73,3
Montgomery,1654,83,76,5
Greene,1592,67,42,0
Monona,1476,111,92,1
Pocahontas,1476,140,113,2
Worth,1435,90,69,0
Keokuk,1408,78,38,1
Lyon,1400,172,145,2
Adair,1351,53,37,1
Lucas,1308,110,68,6
Decatur,1271,51,27,0
Ida,1236,55,33,0
Monroe,1180,123,69,8
Davis,1101,101,61,4
Taylor,1083,114,106,1
Pending Investigation,1051,0,0,0
Van Buren,1049,108,38,1
Ringgold,973,34,28,2
Audubon,918,40,29,1
Fremont,916,63,43,0
Wayne,908,69,43,2
Osceola,787,101,87,0
Adams,541,23,21,0
