County,IndTested,IndPositive,IndRec,Deaths,Date,Year,Month,Day,NewIndTested,NewIndPositive,NewIndRec,NewDeaths,PosTestRate,ID,PosTestRate14
Adair,12814,994,841,32,2021-06-21,2021,6,21,4,1,0,0,25,34947,0
Adams,6206,356,339,4,2021-06-21,2021,6,21,1,2,0,0,200,34946,0
Allamakee,22816,1585,1470,52,2021-06-21,2021,6,21,6,0,0,0,0,34945,0
Appanoose,19280,1470,1236,49,2021-06-21,2021,6,21,15,1,0,0,6.66666666666667,34944,0
Audubon,13866,555,504,11,2021-06-21,2021,6,21,60,2,0,0,3.33333333333333,34943,0
Benton,40147,2765,2517,55,2021-06-21,2021,6,21,18,0,1,0,0,34942,0
Black Hawk,228422,17657,15594,312,2021-06-21,2021,6,21,94,0,8,0,0,34941,0
Boone,46766,2877,2643,34,2021-06-21,2021,6,21,15,5,1,0,33.3333333333333,34940,0
Bremer,42357,3024,2800,61,2021-06-21,2021,6,21,17,6,0,0,35.2941176470588,34939,0
Buchanan,33686,2052,1885,33,2021-06-21,2021,6,21,12,0,-1,0,0,34938,0
Buena Vista,47191,4973,4217,40,2021-06-21,2021,6,21,10,2,-1,0,20,34937,0
Butler,31194,1754,1618,35,2021-06-21,2021,6,21,15,0,0,0,0,34936,0
Calhoun,19750,1442,1376,13,2021-06-21,2021,6,21,12,0,0,0,0,34935,0
Carroll,39110,3085,2819,52,2021-06-21,2021,6,21,32,1,0,0,3.125,34934,0
Cass,21813,1478,1340,55,2021-06-21,2021,6,21,4,1,-1,0,25,34933,0
Cedar,33729,2018,1885,23,2021-06-21,2021,6,21,18,1,0,0,5.55555555555556,34932,0
Cerro Gordo,83704,5984,5377,95,2021-06-21,2021,6,21,57,1,3,0,1.75438596491228,34931,0
Cherokee,22273,1697,1551,38,2021-06-21,2021,6,21,10,1,0,0,10,34930,0
Chickasaw,18779,1322,1233,17,2021-06-21,2021,6,21,10,2,0,0,20,34929,0
Clarke,14383,1070,980,24,2021-06-21,2021,6,21,6,0,0,0,0,34928,0
Clay,32772,2280,2134,27,2021-06-21,2021,6,21,5,0,0,0,0,34927,0
Clayton,27250,1800,1656,57,2021-06-21,2021,6,21,23,1,1,0,4.34782608695652,34926,0
Clinton,69461,6100,5502,93,2021-06-21,2021,6,21,22,4,0,0,18.1818181818182,34925,0
Crawford,29904,2929,2641,40,2021-06-21,2021,6,21,7,0,-1,0,0,34924,0
Dallas,136547,12633,11134,99,2021-06-21,2021,6,21,75,0,1,0,0,34923,0
Davis,12017,927,816,25,2021-06-21,2021,6,21,4,2,1,0,50,34922,0
Decatur,10996,632,607,9,2021-06-21,2021,6,21,5,0,0,0,0,34921,0
Delaware,31248,2162,2063,43,2021-06-21,2021,6,21,20,4,1,0,20,34920,0
Des Moines,61605,5049,4572,72,2021-06-21,2021,6,21,32,3,1,0,9.375,34919,0
Dickinson,29138,2685,2447,44,2021-06-21,2021,6,21,1,0,0,0,0,34918,0
Dubuque,205358,14829,13217,211,2021-06-21,2021,6,21,90,0,4,0,0,34917,0
Emmet,18152,1438,1302,41,2021-06-21,2021,6,21,3,1,2,0,33.3333333333333,34916,0
Fayette,38468,1951,1816,43,2021-06-21,2021,6,21,16,0,0,0,0,34915,0
Floyd,27535,1813,1577,42,2021-06-21,2021,6,21,19,0,0,0,0,34914,0
Franklin,21653,1346,1193,23,2021-06-21,2021,6,21,3,1,0,0,33.3333333333333,34913,0
Fremont,8033,662,620,9,2021-06-21,2021,6,21,0,0,0,0,,34912,0
Greene,15771,829,768,11,2021-06-21,2021,6,21,6,0,0,0,0,34911,0
Grundy,20293,1453,1337,33,2021-06-21,2021,6,21,6,1,1,0,16.6666666666667,34910,0
Guthrie,20043,1318,1197,32,2021-06-21,2021,6,21,8,1,0,0,12.5,34909,0
Hamilton,24638,2008,1760,51,2021-06-21,2021,6,21,8,0,0,0,0,34908,0
Hancock,23336,1601,1462,34,2021-06-21,2021,6,21,10,0,0,0,0,34907,0
Hardin,37724,2005,1826,44,2021-06-21,2021,6,21,5,0,0,0,0,34906,0
Harrison,22460,1937,1725,73,2021-06-21,2021,6,21,2,2,0,0,100,34905,0
Henry,38902,3097,2898,37,2021-06-21,2021,6,21,19,0,-1,0,0,34904,0
Howard,17854,1097,1023,22,2021-06-21,2021,6,21,3,0,0,0,0,34903,0
Humboldt,16226,1245,1170,26,2021-06-21,2021,6,21,8,0,0,0,0,34902,0
