EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Polk,102606,11907,9147,217
Linn,38974,2768,2297,91
Johnson,28933,2688,1816,24
Scott,28559,2021,1537,18
Black Hawk,27699,3531,2846,71
Woodbury,23741,3980,3545,54
Dubuque,23177,1918,1405,35
Story,22635,1625,1084,16
Dallas,20051,2132,1689,36
Pottawattamie,17073,1521,1233,32
Webster,9901,701,615,8
Warren,9581,661,491,5
Marshall,9268,1571,1331,28
Cerro Gordo,9164,724,538,20
Buena Vista,8238,1817,1765,12
Muscatine,7594,933,749,48
Pending Investigation,7503,7,0,0
Clinton,7150,692,269,7
Wapello,6523,1023,888,45
Des Moines,5852,436,130,3
Jasper,5647,525,419,30
Sioux,5216,797,569,3
Plymouth,4689,627,418,15
Boone,4623,322,224,3
Marion,4534,335,197,0
Dickinson,4250,403,359,5
Lee,4178,280,82,5
Bremer,4038,266,167,7
Crawford,4014,796,701,3
Carroll,3991,308,186,2
Benton,3881,182,132,1
Wright,3691,494,430,1
Tama,3627,588,495,29
Washington,3497,318,290,11
Buchanan,3352,165,96,1
Henry,3161,205,104,4
Fayette,3103,126,75,1
Floyd,3075,186,165,3
Hamilton,3016,248,231,2
Jackson,3000,182,125,1
Mills,2989,118,75,1
Iowa,2965,107,80,1
Clay,2915,232,168,2
Winneshiek,2908,182,93,1
Hardin,2906,214,148,1
Jones,2901,156,116,2
Delaware,2833,177,138,2
Cedar,2771,146,110,1
Madison,2666,150,93,2
Clayton,2589,164,112,3
Butler,2535,165,136,2
Poweshiek,2441,177,143,8
Mahaska,2416,168,125,18
Union,2416,90,63,3
Kossuth,2410,113,76,0
Allamakee,2304,168,141,4
Jefferson,2233,106,73,0
O'Brien,2182,169,123,7
Page,2164,105,102,0
Winnebago,2160,146,72,5
Grundy,2115,113,68,1
Mitchell,2098,91,76,0
Franklin,2061,274,239,16
Hancock,2042,138,124,2
Guthrie,2040,159,122,5
Louisa,2026,383,360,14
Cass,1950,104,95,2
Cherokee,1920,129,116,1
Sac,1902,103,79,0
Calhoun,1865,103,82,2
Harrison,1862,139,108,1
Chickasaw,1858,87,74,0
Shelby,1827,209,194,1
Appanoose,1804,68,55,3
Clarke,1759,217,168,3
Humboldt,1744,100,86,2
Emmet,1713,213,172,7
Palo Alto,1650,105,72,0
Montgomery,1501,68,59,4
Howard,1465,105,51,1
Greene,1417,48,38,0
Pocahontas,1367,122,110,2
Monona,1300,104,88,1
Worth,1266,75,58,0
Lyon,1244,136,122,2
Keokuk,1228,47,27,1
Adair,1194,43,20,1
Decatur,1088,37,24,0
Lucas,1070,83,36,5
Ida,1061,36,29,0
Taylor,989,107,101,0
Monroe,975,93,58,8
Davis,961,77,48,2
Van Buren,876,47,25,1
Ringgold,821,30,25,1
Fremont,817,54,27,0
Audubon,800,36,24,1
Osceola,716,91,77,0
Wayne,684,39,26,2
Adams,462,20,17,0
