County,IndTested,IndPositive,IndRec,Deaths,Date,Year,Month,Day,NewIndTested,NewIndPositive,NewIndRec,NewDeaths,PosTestRate,ID,PosTestRate14
Adair,3170,697,575,20,2021-01-25,2021,1,25,2,1,-7,0,50,20988,0
Adams,1382,302,255,3,2021-01-25,2021,1,25,2,2,1,0,100,20987,0
Allamakee,5248,1311,1119,30,2021-01-25,2021,1,25,5,2,-9,0,40,20986,0
Appanoose,5212,1128,923,40,2021-01-25,2021,1,25,5,2,-17,0,40,20985,0
Audubon,2234,423,355,8,2021-01-25,2021,1,25,1,1,-6,0,100,20984,0
Benton,10960,2136,1920,50,2021-01-25,2021,1,25,4,0,-18,0,0,20983,0
Black Hawk,61079,14106,12553,243,2021-01-25,2021,1,25,46,16,-32,0,34.7826086956522,20982,0
Boone,11900,2233,1839,17,2021-01-25,2021,1,25,10,4,18,0,40,20981,0
Bremer,10402,2503,2234,48,2021-01-25,2021,1,25,19,2,-23,0,10.5263157894737,20980,0
Buchanan,8152,1622,1400,24,2021-01-25,2021,1,25,9,0,-8,0,0,20979,0
Buena Vista,13484,3968,3635,30,2021-01-25,2021,1,25,11,5,-7,0,45.4545454545455,20978,0
Butler,6087,1520,1239,24,2021-01-25,2021,1,25,10,3,-9,0,30,20977,0
Calhoun,4757,1235,1163,9,2021-01-25,2021,1,25,4,1,1,0,25,20976,0
Carroll,10178,2584,2294,34,2021-01-25,2021,1,25,5,0,1,0,0,20975,0
Cass,5518,1153,977,43,2021-01-25,2021,1,25,6,1,-8,0,16.6666666666667,20974,0
Cedar,7871,1557,1344,19,2021-01-25,2021,1,25,2,1,2,0,50,20973,0
Cerro Gordo,21153,4741,4236,72,2021-01-25,2021,1,25,35,6,0,0,17.1428571428571,20972,0
Cherokee,5294,1401,1188,27,2021-01-25,2021,1,25,1,0,-16,0,0,20971,0
Chickasaw,4686,1138,1024,12,2021-01-25,2021,1,25,7,1,9,0,14.2857142857143,20970,0
Clarke,4150,814,660,9,2021-01-25,2021,1,25,10,2,4,0,20,20969,0
Clay,7299,1726,1503,21,2021-01-25,2021,1,25,6,1,-8,0,16.6666666666667,20968,0
Clayton,6102,1539,1325,49,2021-01-25,2021,1,25,6,1,-27,0,16.6666666666667,20967,0
Clinton,19154,4589,4026,68,2021-01-25,2021,1,25,26,8,-5,0,30.7692307692308,20966,0
Crawford,7845,2355,2062,24,2021-01-25,2021,1,25,13,6,-3,0,46.1538461538462,20965,0
Dallas,46655,9102,7752,72,2021-01-25,2021,1,25,65,14,34,0,21.5384615384615,20964,0
Davis,2807,703,614,21,2021-01-25,2021,1,25,1,0,-10,0,0,20963,0
Decatur,3002,498,419,4,2021-01-25,2021,1,25,16,1,2,0,6.25,20962,0
Delaware,6951,1764,1574,36,2021-01-25,2021,1,25,4,2,-6,0,50,20961,0
Des Moines,18550,3955,3423,43,2021-01-25,2021,1,25,30,3,-12,0,10,20960,0
