EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Polk,86553,10113,7375,206
Linn,33712,2298,1803,87
Johnson,24805,2044,1481,16
Scott,24461,1663,1113,14
Black Hawk,24400,3094,2458,63
Woodbury,21432,3706,3310,51
Dubuque,20469,1644,961,31
Dallas,17083,1856,1401,35
Story,15559,1147,869,14
Pottawattamie,15109,1289,926,26
Marshall,8350,1429,1079,25
Cerro Gordo,7991,598,325,17
Warren,7948,549,336,1
Buena Vista,7894,1791,1731,12
Webster,6822,789,486,7
Muscatine,6744,843,731,48
Pending Investigation,5884,6,0,0
Clinton,5814,366,137,3
Wapello,5799,876,772,33
Jasper,4812,470,358,26
Des Moines,4388,156,99,2
Sioux,4195,617,505,3
Plymouth,4055,454,345,9
Boone,3974,246,170,2
Dickinson,3873,377,294,4
Crawford,3648,726,679,3
Bremer,3490,207,108,7
Marion,3409,165,135,0
Benton,3404,149,101,1
Carroll,3339,185,163,1
Wright,3246,460,401,1
Tama,3227,547,457,29
Washington,3112,294,271,10
Lee,3025,108,53,3
Buchanan,2900,124,63,1
Mills,2725,85,48,0
Iowa,2660,96,62,1
Henry,2656,118,89,3
Jackson,2652,149,65,1
Fayette,2645,82,59,0
Floyd,2595,145,97,2
Hamilton,2585,245,225,1
Hardin,2579,174,100,0
Jones,2554,128,79,2
Clay,2542,179,149,1
Cedar,2443,128,93,1
Delaware,2367,103,84,1
Winneshiek,2290,92,60,1
Madison,2255,114,62,2
Butler,2238,119,103,2
Clayton,2214,104,78,3
Union,2135,75,38,1
Mahaska,2069,139,109,17
Poweshiek,2058,154,109,8
Allamakee,2048,154,137,4
Kossuth,2008,84,49,0
Page,1913,84,67,0
O'Brien,1910,136,99,2
Jefferson,1901,82,64,0
Mitchell,1877,78,67,0
Louisa,1827,378,352,14
Grundy,1821,78,47,1
Hancock,1797,121,102,2
Franklin,1764,235,176,9
Guthrie,1751,131,97,5
Sac,1699,82,69,0
Cherokee,1687,104,89,1
Chickasaw,1634,54,49,0
Shelby,1616,179,149,1
Harrison,1591,103,81,0
Winnebago,1562,78,45,0
Calhoun,1555,83,73,2
Cass,1536,53,40,1
Emmet,1534,190,119,2
Clarke,1509,197,138,3
Appanoose,1452,48,36,3
Palo Alto,1451,82,54,0
Montgomery,1332,54,35,4
Humboldt,1286,105,76,1
Howard,1270,49,37,0
Greene,1236,39,33,0
Pocahontas,1192,115,105,1
Monona,1160,91,79,0
Worth,1119,65,27,0
Keokuk,1076,34,22,1
Lyon,1065,110,93,2
Adair,948,28,17,0
Ida,888,29,23,0
Taylor,881,96,88,0
Monroe,823,72,46,7
Lucas,821,59,32,4
Davis,806,54,42,1
Van Buren,725,34,21,1
Ringgold,721,21,20,1
Audubon,711,28,15,1
Fremont,697,38,15,0
Osceola,629,79,69,0
Decatur,608,23,15,0
Wayne,481,19,12,1
Adams,424,16,10,0
