EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Polk,94772,10921,8315,210
Linn,36630,2531,2031,89
Scott,26809,1842,1338,15
Johnson,26566,2182,1657,21
Black Hawk,26045,3284,2648,66
Woodbury,22612,3803,3435,54
Dubuque,21851,1795,1191,31
Story,20849,1382,976,15
Dallas,18647,1986,1537,35
Pottawattamie,16248,1416,1054,29
Marshall,8886,1494,1175,27
Warren,8815,603,418,2
Cerro Gordo,8521,678,440,19
Buena Vista,8059,1802,1744,12
Webster,7453,880,638,8
Muscatine,7222,887,741,48
Pending Investigation,6502,1,0,0
Clinton,6396,473,182,4
Wapello,6145,947,816,36
Jasper,5234,495,393,28
Des Moines,4987,242,112,2
Sioux,4790,689,535,3
Boone,4333,289,189,3
Plymouth,4305,503,382,12
Dickinson,4081,389,336,4
Marion,3830,198,156,0
Crawford,3827,753,687,3
Bremer,3822,243,132,7
Benton,3661,171,108,1
Carroll,3608,222,166,2
Tama,3461,562,482,29
Wright,3440,488,420,1
Lee,3391,149,60,5
Washington,3304,308,275,10
Buchanan,3124,146,72,1
Henry,2873,148,97,4
Mills,2855,97,58,1
Floyd,2836,177,136,3
Fayette,2835,99,65,0
Iowa,2828,99,66,1
Jackson,2822,169,96,1
Clay,2753,212,160,1
Jones,2740,136,99,2
Hardin,2739,193,125,0
Hamilton,2692,258,241,1
Cedar,2608,137,102,1
Delaware,2579,131,102,1
Winneshiek,2555,108,79,1
Madison,2479,133,82,2
Butler,2392,138,116,2
Clayton,2375,118,93,3
Union,2305,87,54,2
Poweshiek,2266,162,119,8
Mahaska,2234,145,117,17
Kossuth,2224,103,69,0
Allamakee,2176,163,139,4
Page,2093,101,82,0
Jefferson,2088,91,67,0
O'Brien,2063,147,111,5
Mitchell,2004,83,69,0
Winnebago,1945,113,59,0
Grundy,1943,89,56,1
Louisa,1931,378,357,14
Hancock,1911,126,116,2
Guthrie,1900,146,108,5
Franklin,1893,265,211,13
Cass,1832,94,58,2
Cherokee,1808,112,101,1
Sac,1796,88,74,0
Chickasaw,1737,66,53,0
Shelby,1735,194,176,1
Harrison,1716,116,94,1
Calhoun,1660,93,78,2
Emmet,1622,198,142,4
Appanoose,1621,54,44,3
Clarke,1605,211,148,3
Palo Alto,1551,99,63,0
Montgomery,1438,64,47,4
Humboldt,1383,133,90,1
Howard,1346,56,42,0
Greene,1315,42,38,0
Pocahontas,1246,122,108,2
Monona,1215,93,81,1
Worth,1184,71,45,0
Lyon,1168,127,108,2
Keokuk,1156,42,23,1
Adair,1116,38,20,0
Ida,949,33,25,0
Taylor,938,104,90,0
Lucas,930,75,34,4
Davis,884,62,45,2
Monroe,882,77,54,8
Van Buren,791,40,22,1
Audubon,761,30,21,1
Fremont,752,45,19,0
Ringgold,748,24,20,1
Osceola,679,89,73,0
Decatur,639,29,23,0
Wayne,538,21,14,1
Adams,442,17,16,0
