EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Polk,84578,9862,7006,204
Linn,32759,2170,1737,87
Johnson,24241,1992,1442,16
Black Hawk,23937,3038,2376,62
Scott,23835,1631,986,13
Woodbury,21139,3670,3283,51
Dubuque,19978,1583,835,31
Dallas,16661,1807,1327,35
Pottawattamie,14748,1247,867,24
Story,14143,1125,846,14
Marshall,8204,1406,1067,25
Buena Vista,7829,1789,1724,12
Cerro Gordo,7820,584,267,17
Warren,7765,540,311,1
Webster,6719,750,359,7
Muscatine,6622,837,724,48
Pending Investigation,5730,2,0,0
Wapello,5690,856,763,33
Clinton,5625,333,127,3
Jasper,4676,457,349,25
Des Moines,4225,143,93,2
Sioux,4124,607,496,2
Plymouth,3984,448,337,8
Boone,3881,234,166,2
Dickinson,3806,378,280,4
Crawford,3606,726,678,3
Bremer,3400,195,103,7
Benton,3315,145,100,1
Marion,3300,159,129,0
Carroll,3282,183,163,1
Wright,3198,448,394,1
Tama,3181,541,451,29
Washington,3060,288,268,10
Lee,2880,99,52,3
Buchanan,2837,117,61,1
Mills,2678,84,46,0
Iowa,2607,93,61,1
Fayette,2605,81,55,0
Henry,2604,114,85,3
Jackson,2599,146,53,1
Hamilton,2548,243,221,1
Floyd,2537,131,91,2
Hardin,2534,169,92,0
Clay,2497,173,141,1
Jones,2493,125,75,2
Cedar,2391,121,92,1
Delaware,2247,94,80,1
Winneshiek,2233,88,60,1
Butler,2196,117,101,2
Madison,2193,107,53,2
Clayton,2166,98,77,3
Union,2091,74,37,1
Mahaska,2037,137,109,17
Allamakee,2015,151,134,4
Poweshiek,2002,150,108,8
Kossuth,1964,80,42,0
O'Brien,1878,132,95,1
Page,1860,77,63,0
Mitchell,1853,78,67,0
Jefferson,1828,77,63,0
Louisa,1810,379,350,14
Grundy,1794,74,45,1
Hancock,1768,117,96,2
Franklin,1720,227,153,7
Guthrie,1715,128,90,5
Sac,1674,81,66,0
Cherokee,1658,99,88,1
Chickasaw,1589,51,47,0
Shelby,1569,175,139,1
Harrison,1555,99,74,0
Calhoun,1537,82,72,2
Winnebago,1524,76,36,0
Emmet,1498,186,114,2
Clarke,1479,190,136,3
Palo Alto,1420,80,50,0
Cass,1414,48,36,1
Appanoose,1402,43,36,3
Humboldt,1258,92,75,1
Howard,1250,49,37,0
Montgomery,1222,45,33,4
Greene,1211,38,33,0
Pocahontas,1179,114,101,1
Monona,1143,91,78,0
Worth,1099,64,22,0
Keokuk,1060,31,21,1
Lyon,1039,107,92,0
Adair,925,23,17,0
Ida,883,29,23,0
Taylor,862,94,88,0
Monroe,806,70,45,7
Lucas,790,51,30,4
Davis,789,51,41,1
Ringgold,712,21,20,1
Audubon,707,28,15,1
Van Buren,703,34,21,1
Fremont,665,34,10,0
Osceola,616,78,67,0
Decatur,604,23,14,0
Wayne,469,19,12,1
Adams,415,16,10,0
