EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Polk,115071,13993,10242,243
Linn,43259,3179,2546,95
Johnson,34151,4486,2076,26
Scott,31623,2363,1748,23
Black Hawk,30415,3992,3069,78
Story,26508,2875,1249,16
Woodbury,25618,4299,3672,56
Dubuque,25298,2165,1669,36
Dallas,22203,2487,1878,38
Pottawattamie,18548,1717,1443,34
Warren,10774,845,566,5
Webster,10697,1078,652,11
Cerro Gordo,10016,883,607,20
Marshall,9894,1713,1430,32
Buena Vista,8545,1858,1780,12
Muscatine,8327,995,803,52
Clinton,8289,917,405,13
Des Moines,7410,626,177,5
Wapello,7216,1124,970,54
Jasper,6447,629,454,30
Sioux,5866,970,633,3
Marion,5740,578,240,2
Plymouth,5484,837,447,18
Lee,5188,484,112,6
Boone,5090,374,260,4
Carroll,4723,485,222,4
Dickinson,4568,441,374,6
Bremer,4463,375,222,7
Crawford,4349,865,726,3
Benton,4281,220,157,1
Henry,4179,392,124,4
Washington,3964,361,304,11
Mahaska,3946,253,163,18
Tama,3942,650,527,29
Wright,3902,526,455,1
Buchanan,3704,189,126,1
Fayette,3413,157,85,1
Floyd,3362,237,188,3
Winneshiek,3342,239,116,4
Jackson,3315,235,154,2
Delaware,3266,256,191,3
Hamilton,3255,292,243,2
Mills,3236,137,90,1
Iowa,3225,124,96,1
Jones,3217,191,138,2
Hardin,3171,246,183,1
Clay,3164,244,190,3
Cedar,3079,175,130,1
Madison,2969,173,125,2
Poweshiek,2957,200,167,8
Butler,2840,224,190,2
Clayton,2832,191,162,3
Kossuth,2695,130,89,0
Union,2648,93,74,3
Winnebago,2532,171,85,10
Allamakee,2491,189,153,5
O'Brien,2456,224,138,8
Jefferson,2439,123,85,1
Mitchell,2382,137,78,0
Page,2346,125,111,0
Grundy,2322,142,79,1
Hancock,2259,163,141,2
Franklin,2256,308,256,17
Guthrie,2243,179,135,5
Louisa,2185,400,363,14
Cherokee,2142,145,128,2
Cass,2141,118,107,2
Sac,2132,124,87,0
Harrison,2120,156,137,2
Appanoose,2093,93,76,3
Chickasaw,2088,131,83,0
Calhoun,2070,137,94,2
Shelby,2016,223,211,1
Clarke,1945,244,197,3
Humboldt,1889,154,98,2
Emmet,1880,229,191,8
Palo Alto,1817,123,83,0
Howard,1677,150,70,3
Montgomery,1641,83,71,5
Greene,1573,64,42,0
Pocahontas,1460,139,112,2
Monona,1439,110,92,1
Worth,1405,85,67,0
Lyon,1378,165,135,2
Keokuk,1354,71,35,1
Adair,1325,49,32,1
Lucas,1258,100,64,5
Decatur,1248,48,24,0
Ida,1193,49,29,0
Monroe,1149,121,66,8
Davis,1071,92,59,3
Taylor,1060,114,102,1
Van Buren,1029,107,35,1
Ringgold,955,34,27,2
Audubon,903,40,27,1
Fremont,901,63,41,0
Pending Investigation,840,16,0,0
Wayne,814,61,34,2
Osceola,776,100,84,0
Adams,524,23,17,0
