EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Polk,95346,11027,8389,211
Linn,36762,2559,2104,89
Scott,26953,1857,1351,15
Johnson,26749,2197,1678,21
Black Hawk,26131,3315,2656,66
Woodbury,22742,3825,3441,54
Dubuque,22032,1814,1211,31
Story,21357,1409,981,15
Dallas,18718,1992,1541,35
Pottawattamie,16285,1426,1072,30
Marshall,8908,1511,1188,27
Warren,8869,605,421,2
Cerro Gordo,8569,687,451,19
Buena Vista,8087,1806,1746,12
Webster,7661,898,639,8
Muscatine,7253,891,743,48
Pending Investigation,6614,3,0,0
Clinton,6527,530,185,4
Wapello,6204,959,832,38
Jasper,5274,500,398,28
Des Moines,5061,268,113,2
Sioux,4834,695,535,3
Boone,4370,295,190,3
Plymouth,4348,521,384,13
Dickinson,4099,392,337,4
Marion,3887,209,159,0
Crawford,3840,757,687,3
Bremer,3835,245,133,7
Benton,3679,171,109,1
Carroll,3623,223,166,2
Lee,3582,166,63,5
Tama,3466,562,483,29
Wright,3461,496,421,1
Washington,3320,310,279,10
Buchanan,3148,149,73,1
Henry,2918,166,98,4
Mills,2863,99,59,1
Fayette,2857,103,66,0
Jackson,2853,171,100,1
Floyd,2852,178,145,3
Iowa,2836,100,66,1
Clay,2787,217,161,1
Hardin,2752,196,126,0
Jones,2751,138,102,2
Hamilton,2723,264,249,1
Cedar,2631,137,102,1
Delaware,2619,137,111,1
Winneshiek,2584,112,81,1
Madison,2495,136,82,2
Butler,2411,140,117,2
Clayton,2406,122,94,3
Union,2315,88,54,2
Poweshiek,2276,163,123,8
Kossuth,2260,106,69,0
Mahaska,2250,147,117,17
Allamakee,2189,163,139,4
Jefferson,2100,94,67,0
Page,2097,102,94,0
O'Brien,2083,150,111,5
Mitchell,2008,83,69,0
Winnebago,1981,117,62,0
Grundy,1948,91,56,1
Louisa,1943,378,357,14
Hancock,1929,128,116,2
Guthrie,1910,147,110,5
Franklin,1909,270,211,13
Cass,1845,94,74,2
Cherokee,1823,114,101,1
Sac,1807,90,74,0
Chickasaw,1748,68,59,0
Shelby,1741,193,178,1
Harrison,1724,118,96,1
Calhoun,1671,95,78,2
Appanoose,1664,58,44,3
Emmet,1634,199,142,5
Clarke,1630,212,150,3
Palo Alto,1565,103,63,0
Montgomery,1449,64,53,4
Humboldt,1399,134,95,2
Howard,1366,66,42,0
Greene,1323,42,38,0
Pocahontas,1261,122,108,2
Monona,1226,93,81,1
Worth,1189,71,47,0
Lyon,1186,130,113,2
Keokuk,1162,43,23,1
Adair,1128,40,20,0
Ida,1023,34,25,0
Lucas,943,76,35,4
Taylor,941,104,90,0
Davis,895,69,45,2
Monroe,888,79,54,8
Van Buren,803,42,22,1
Fremont,771,46,19,0
Audubon,762,30,21,1
Ringgold,750,25,20,1
Osceola,686,89,73,0
Decatur,643,30,24,0
Wayne,549,26,17,2
Adams,446,17,16,0
